dataset,record_id,block_mode,gamma,m_star,G_star,purity_rule,n_recurrence_control_pairs,recurrence_rejections,recurrence_rejection_rate,n_alt_pairs,alt_rejections,power,graph_density,n_clique_groups,n_cc_groups,overlap_fraction,edge_jaccard_30db,elapsed_sec,arm
LUDB,1,attribute_kmeans,1.0,16,6,exact_phase_and_beat_membership,1,1,1.0,0,0,,0.2,4,3,0.16666666666666666,0.75,43.78748631477356,R0_Kors
LUDB,1,attribute_kmeans,1.0,16,6,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.8,2,1,0.3333333333333333,0.44,52.229804277420044,N003a
LUDB,1,attribute_kmeans,1.0,16,6,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.6666666666666666,3,1,0.6666666666666666,0.75,53.09244632720947,R1_Oracle
LUDB,10,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.39285714285714285,4,3,0.25,0.7333333333333333,43.661561489105225,N002
LUDB,1,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,1.0,1,1,0.0,1.0,129.96560859680176,N002
LUDB,10,attribute_kmeans,1.0,16,6,exact_phase_and_beat_membership,1,1,1.0,0,0,,0.6,3,2,0.5,0.9,71.48032879829407,R1_Oracle
LUDB,10,attribute_kmeans,1.0,16,4,exact_phase_and_beat_membership,0,0,,0,0,,0.5,2,2,0.0,1.0,106.97782897949219,R0_Kors
LUDB,100,attribute_kmeans,1.0,16,6,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.2,4,4,0.0,1.0,40.70773148536682,R1_Oracle
LUDB,100,attribute_kmeans,1.0,32,6,exact_phase_and_beat_membership,1,1,1.0,0,0,,0.5333333333333333,3,2,0.8333333333333334,0.8888888888888888,61.60174298286438,R0_Kors
LUDB,100,attribute_kmeans,1.0,16,6,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.13333333333333333,5,4,0.16666666666666666,0.5,38.05973196029663,N002
LUDB,100,attribute_kmeans,1.0,32,6,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.8666666666666667,2,1,0.5,0.8571428571428571,48.11470341682434,N003a
LUDB,10,attribute_kmeans,1.0,32,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,1.0,1,1,0.0,1.0,136.01726293563843,N003a
LUDB,101,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.5,3,1,0.25,0.0625,62.80972695350647,R0_Kors
LUDB,101,attribute_kmeans,1.0,32,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.5,2,2,0.0,0.25,123.07879900932312,N003a
LUDB,101,attribute_kmeans,1.0,32,6,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.7333333333333333,2,1,0.16666666666666666,0.4166666666666667,196.0712034702301,R1_Oracle
LUDB,102,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.21428571428571427,4,4,0.0,0.0,42.240641832351685,R0_Kors
LUDB,102,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.14285714285714285,5,5,0.0,0.0,41.7341947555542,R1_Oracle
LUDB,102,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,2,0,0.0,0,0,,0.6428571428571429,3,1,0.625,0.4782608695652174,45.87515139579773,N003a
LUDB,101,attribute_kmeans,1.0,32,6,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.5333333333333333,2,1,0.3333333333333333,0.1,204.11290287971497,N002
LUDB,102,attribute_kmeans,1.0,32,4,exact_phase_and_beat_membership,1,1,1.0,0,0,,0.5,2,1,0.5,0.1111111111111111,134.1471688747406,N002
LUDB,103,attribute_kmeans,1.0,32,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.5,2,2,0.0,0.058823529411764705,135.3315908908844,R0_Kors
LUDB,103,attribute_kmeans,1.0,64,6,exact_phase_and_beat_membership,6,1,0.16666666666666666,0,0,,0.7333333333333333,2,1,1.0,0.4166666666666667,200.47984433174133,N002
LUDB,104,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,0,0,,0,0,,0.32142857142857145,3,3,0.0,0.1111111111111111,42.460928201675415,R0_Kors
LUDB,103,attribute_kmeans,1.0,32,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.8333333333333334,2,1,0.5,0.8333333333333334,133.2492334842682,N003a
LUDB,104,attribute_kmeans,1.0,64,6,exact_phase_and_beat_membership,0,0,,0,0,,0.6,2,1,0.16666666666666666,0.25,46.13590455055237,N002
LUDB,103,attribute_kmeans,1.0,32,6,exact_phase_and_beat_membership,6,1,0.16666666666666666,0,0,,0.7333333333333333,3,1,0.6666666666666666,0.6666666666666666,216.3206491470337,R1_Oracle
LUDB,104,attribute_kmeans,1.0,64,6,exact_phase_and_beat_membership,0,0,,0,0,,0.5333333333333333,2,1,0.5,0.2727272727272727,47.285122871398926,N003a
LUDB,104,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,0,0,,0,0,,0.5,2,2,0.0,0.16666666666666666,120.56509780883789,R1_Oracle
LUDB,105,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,1.0,1,1,0.0,0.8333333333333334,123.23124599456787,R0_Kors
LUDB,105,attribute_kmeans,1.0,32,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,1.0,1,1,0.0,1.0,124.21499562263489,R1_Oracle
LUDB,105,attribute_kmeans,1.0,32,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,1.0,1,1,0.0,1.0,107.83937883377075,N003a
LUDB,105,attribute_kmeans,1.0,32,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,1.0,1,1,0.0,1.0,126.5827088356018,N002
LUDB,106,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.17857142857142858,5,4,0.125,0.2857142857142857,39.39253377914429,R0_Kors
LUDB,106,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,1,1,1.0,0,0,,0.03571428571428571,7,7,0.0,1.0,43.23256993293762,R1_Oracle
LUDB,106,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.25,4,3,0.125,0.3333333333333333,38.04430389404297,N002
LUDB,106,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.2857142857142857,4,3,0.25,0.17647058823529413,38.156306982040405,N003a
LUDB,107,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.35714285714285715,3,2,0.25,0.5,48.6721510887146,R0_Kors
LUDB,107,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,2,0,0.0,0,0,,0.25,5,4,0.125,0.08333333333333333,40.79557490348816,R1_Oracle
LUDB,107,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,2,0,0.0,0,0,,0.25,5,3,0.375,0.75,44.58828163146973,N002
LUDB,108,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,0,0,,0,0,,0.5,3,1,0.625,0.4,39.727919578552246,R0_Kors
LUDB,107,attribute_kmeans,1.0,16,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.16666666666666666,3,3,0.0,0.3333333333333333,62.30075287818909,N003a
LUDB,108,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,0,0,,0,0,,0.16666666666666666,3,3,0.0,0.07692307692307693,47.911365270614624,R1_Oracle
LUDB,108,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,0,0,,0,0,,0.39285714285714285,4,1,0.5,0.7857142857142857,54.0335259437561,N002
LUDB,108,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,0,0,,0,0,,0.25,4,2,0.375,0.0,38.569822788238525,N003a
LUDB,109,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,6,0,0.0,0,0,,0.5,2,1,0.25,0.0,75.68252277374268,R1_Oracle
LUDB,109,attribute_kmeans,1.0,64,6,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.8666666666666667,2,1,1.0,0.15384615384615385,201.17871236801147,R0_Kors
LUDB,109,attribute_kmeans,1.0,64,6,exact_phase_and_beat_membership,6,0,0.0,0,0,,0.7333333333333333,2,1,0.16666666666666666,0.4,194.69101762771606,N002
LUDB,109,attribute_kmeans,1.0,64,6,exact_phase_and_beat_membership,6,0,0.0,0,0,,0.8,2,1,0.3333333333333333,0.25,192.9251298904419,N003a
LUDB,11,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,1.0,1,1,0.0,1.0,124.44545722007751,R0_Kors
LUDB,11,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.5357142857142857,4,1,0.25,0.5,44.321166038513184,R1_Oracle
LUDB,11,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,0,0,,1,0,0.0,0.5714285714285714,3,1,0.5,0.7647058823529411,45.536163091659546,N002
LUDB,110,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.5,2,2,0.0,0.08333333333333333,123.07931542396545,R0_Kors
LUDB,110,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.5,2,2,0.0,1.0,119.31825041770935,R1_Oracle
LUDB,11,attribute_kmeans,1.0,32,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,1.0,1,1,0.0,1.0,131.08202409744263,N003a
LUDB,110,attribute_kmeans,1.0,32,6,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.5333333333333333,2,1,0.3333333333333333,0.18181818181818182,177.74745535850525,N002
LUDB,110,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.4642857142857143,3,1,0.25,0.06666666666666667,62.954562187194824,N003a
LUDB,111,attribute_kmeans,1.0,64,6,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.3333333333333333,3,2,0.16666666666666666,0.42857142857142855,37.9257926940918,R0_Kors
LUDB,111,attribute_kmeans,1.0,64,6,exact_phase_and_beat_membership,1,1,1.0,0,0,,0.2,4,3,0.16666666666666666,0.125,39.233898639678955,R1_Oracle
LUDB,111,attribute_kmeans,1.0,64,6,exact_phase_and_beat_membership,0,0,,0,0,,0.3333333333333333,3,2,0.16666666666666666,0.6666666666666666,40.23536992073059,N002
LUDB,111,attribute_kmeans,1.0,16,6,exact_phase_and_beat_membership,0,0,,0,0,,0.26666666666666666,3,3,0.0,0.25,39.77528190612793,N003a
LUDB,112,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.21428571428571427,5,4,0.25,0.8571428571428571,57.64914393424988,R1_Oracle
LUDB,112,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,6,0,0.0,0,0,,0.5,3,1,0.625,0.2857142857142857,57.15137791633606,N002
LUDB,112,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.2857142857142857,4,3,0.125,0.2777777777777778,60.99737620353699,R0_Kors
LUDB,112,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.39285714285714285,3,2,0.25,0.3157894736842105,59.81778430938721,N003a
ISP,1,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,5,0,0.0,0,0,,0.35714285714285715,4,2,0.375,0.1111111111111111,242.30315113067627,R0_Kors
ISP,1,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,5,0,0.0,0,0,,0.25,4,4,0.0,0.16666666666666666,249.39897894859314,R1_Oracle
ISP,1,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,5,0,0.0,0,0,,0.6428571428571429,4,2,0.625,0.85,236.39780116081238,N003a
ISP,2,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.14285714285714285,5,5,0.0,0.125,204.7370846271515,R0_Kors
