waveform,label,sample_rate,ID
101_lead_I.pkl,101_lead_I.pkl,500,101
101_lead_II.pkl,101_lead_II.pkl,500,101
101_lead_III.pkl,101_lead_III.pkl,500,101
101_lead_V1.pkl,101_lead_V1.pkl,500,101
101_lead_V2.pkl,101_lead_V2.pkl,500,101
101_lead_V3.pkl,101_lead_V3.pkl,500,101
101_lead_V4.pkl,101_lead_V4.pkl,500,101
101_lead_V5.pkl,101_lead_V5.pkl,500,101
101_lead_V6.pkl,101_lead_V6.pkl,500,101
101_lead_aVF.pkl,101_lead_aVF.pkl,500,101
101_lead_aVL.pkl,101_lead_aVL.pkl,500,101
101_lead_aVR.pkl,101_lead_aVR.pkl,500,101
119_lead_I.pkl,119_lead_I.pkl,500,119
119_lead_II.pkl,119_lead_II.pkl,500,119
119_lead_III.pkl,119_lead_III.pkl,500,119
119_lead_V1.pkl,119_lead_V1.pkl,500,119
119_lead_V2.pkl,119_lead_V2.pkl,500,119
119_lead_V3.pkl,119_lead_V3.pkl,500,119
119_lead_V4.pkl,119_lead_V4.pkl,500,119
119_lead_V5.pkl,119_lead_V5.pkl,500,119
119_lead_V6.pkl,119_lead_V6.pkl,500,119
119_lead_aVF.pkl,119_lead_aVF.pkl,500,119
119_lead_aVL.pkl,119_lead_aVL.pkl,500,119
119_lead_aVR.pkl,119_lead_aVR.pkl,500,119
161_lead_I.pkl,161_lead_I.pkl,500,161
161_lead_II.pkl,161_lead_II.pkl,500,161
161_lead_III.pkl,161_lead_III.pkl,500,161
161_lead_V1.pkl,161_lead_V1.pkl,500,161
161_lead_V2.pkl,161_lead_V2.pkl,500,161
161_lead_V3.pkl,161_lead_V3.pkl,500,161
161_lead_V4.pkl,161_lead_V4.pkl,500,161
161_lead_V5.pkl,161_lead_V5.pkl,500,161
161_lead_V6.pkl,161_lead_V6.pkl,500,161
161_lead_aVF.pkl,161_lead_aVF.pkl,500,161
161_lead_aVL.pkl,161_lead_aVL.pkl,500,161
161_lead_aVR.pkl,161_lead_aVR.pkl,500,161
182_lead_I.pkl,182_lead_I.pkl,500,182
182_lead_II.pkl,182_lead_II.pkl,500,182
182_lead_III.pkl,182_lead_III.pkl,500,182
182_lead_V1.pkl,182_lead_V1.pkl,500,182
182_lead_V2.pkl,182_lead_V2.pkl,500,182
182_lead_V3.pkl,182_lead_V3.pkl,500,182
182_lead_V4.pkl,182_lead_V4.pkl,500,182
182_lead_V5.pkl,182_lead_V5.pkl,500,182
182_lead_V6.pkl,182_lead_V6.pkl,500,182
182_lead_aVF.pkl,182_lead_aVF.pkl,500,182
182_lead_aVL.pkl,182_lead_aVL.pkl,500,182
182_lead_aVR.pkl,182_lead_aVR.pkl,500,182
197_lead_I.pkl,197_lead_I.pkl,500,197
197_lead_II.pkl,197_lead_II.pkl,500,197
197_lead_III.pkl,197_lead_III.pkl,500,197
197_lead_V1.pkl,197_lead_V1.pkl,500,197
197_lead_V2.pkl,197_lead_V2.pkl,500,197
197_lead_V3.pkl,197_lead_V3.pkl,500,197
197_lead_V4.pkl,197_lead_V4.pkl,500,197
197_lead_V5.pkl,197_lead_V5.pkl,500,197
197_lead_V6.pkl,197_lead_V6.pkl,500,197
197_lead_aVF.pkl,197_lead_aVF.pkl,500,197
197_lead_aVL.pkl,197_lead_aVL.pkl,500,197
197_lead_aVR.pkl,197_lead_aVR.pkl,500,197
37_lead_I.pkl,37_lead_I.pkl,500,37
37_lead_II.pkl,37_lead_II.pkl,500,37
37_lead_III.pkl,37_lead_III.pkl,500,37
37_lead_V1.pkl,37_lead_V1.pkl,500,37
37_lead_V2.pkl,37_lead_V2.pkl,500,37
37_lead_V3.pkl,37_lead_V3.pkl,500,37
37_lead_V4.pkl,37_lead_V4.pkl,500,37
37_lead_V5.pkl,37_lead_V5.pkl,500,37
37_lead_V6.pkl,37_lead_V6.pkl,500,37
37_lead_aVF.pkl,37_lead_aVF.pkl,500,37
37_lead_aVL.pkl,37_lead_aVL.pkl,500,37
37_lead_aVR.pkl,37_lead_aVR.pkl,500,37
72_lead_I.pkl,72_lead_I.pkl,500,72
72_lead_II.pkl,72_lead_II.pkl,500,72
72_lead_III.pkl,72_lead_III.pkl,500,72
72_lead_V1.pkl,72_lead_V1.pkl,500,72
72_lead_V2.pkl,72_lead_V2.pkl,500,72
72_lead_V3.pkl,72_lead_V3.pkl,500,72
72_lead_V4.pkl,72_lead_V4.pkl,500,72
72_lead_V5.pkl,72_lead_V5.pkl,500,72
72_lead_V6.pkl,72_lead_V6.pkl,500,72
72_lead_aVF.pkl,72_lead_aVF.pkl,500,72
72_lead_aVL.pkl,72_lead_aVL.pkl,500,72
72_lead_aVR.pkl,72_lead_aVR.pkl,500,72
