waveform,label,sample_rate,ID
1_lead_I.pkl,1_lead_I.pkl,500,1
1_lead_II.pkl,1_lead_II.pkl,500,1
1_lead_III.pkl,1_lead_III.pkl,500,1
1_lead_V1.pkl,1_lead_V1.pkl,500,1
1_lead_V2.pkl,1_lead_V2.pkl,500,1
1_lead_V3.pkl,1_lead_V3.pkl,500,1
1_lead_V4.pkl,1_lead_V4.pkl,500,1
1_lead_V5.pkl,1_lead_V5.pkl,500,1
1_lead_V6.pkl,1_lead_V6.pkl,500,1
1_lead_aVF.pkl,1_lead_aVF.pkl,500,1
1_lead_aVL.pkl,1_lead_aVL.pkl,500,1
1_lead_aVR.pkl,1_lead_aVR.pkl,500,1
10_lead_I.pkl,10_lead_I.pkl,500,10
10_lead_II.pkl,10_lead_II.pkl,500,10
10_lead_III.pkl,10_lead_III.pkl,500,10
10_lead_V1.pkl,10_lead_V1.pkl,500,10
10_lead_V2.pkl,10_lead_V2.pkl,500,10
10_lead_V3.pkl,10_lead_V3.pkl,500,10
10_lead_V4.pkl,10_lead_V4.pkl,500,10
10_lead_V5.pkl,10_lead_V5.pkl,500,10
10_lead_V6.pkl,10_lead_V6.pkl,500,10
10_lead_aVF.pkl,10_lead_aVF.pkl,500,10
10_lead_aVL.pkl,10_lead_aVL.pkl,500,10
10_lead_aVR.pkl,10_lead_aVR.pkl,500,10
100_lead_I.pkl,100_lead_I.pkl,500,100
100_lead_II.pkl,100_lead_II.pkl,500,100
100_lead_III.pkl,100_lead_III.pkl,500,100
100_lead_V1.pkl,100_lead_V1.pkl,500,100
100_lead_V2.pkl,100_lead_V2.pkl,500,100
100_lead_V3.pkl,100_lead_V3.pkl,500,100
100_lead_V4.pkl,100_lead_V4.pkl,500,100
100_lead_V5.pkl,100_lead_V5.pkl,500,100
100_lead_V6.pkl,100_lead_V6.pkl,500,100
100_lead_aVF.pkl,100_lead_aVF.pkl,500,100
100_lead_aVL.pkl,100_lead_aVL.pkl,500,100
100_lead_aVR.pkl,100_lead_aVR.pkl,500,100
101_lead_I.pkl,101_lead_I.pkl,500,101
101_lead_II.pkl,101_lead_II.pkl,500,101
101_lead_III.pkl,101_lead_III.pkl,500,101
101_lead_V1.pkl,101_lead_V1.pkl,500,101
101_lead_V2.pkl,101_lead_V2.pkl,500,101
101_lead_V3.pkl,101_lead_V3.pkl,500,101
101_lead_V4.pkl,101_lead_V4.pkl,500,101
101_lead_V5.pkl,101_lead_V5.pkl,500,101
101_lead_V6.pkl,101_lead_V6.pkl,500,101
101_lead_aVF.pkl,101_lead_aVF.pkl,500,101
101_lead_aVL.pkl,101_lead_aVL.pkl,500,101
101_lead_aVR.pkl,101_lead_aVR.pkl,500,101
106_lead_I.pkl,106_lead_I.pkl,500,106
106_lead_II.pkl,106_lead_II.pkl,500,106
106_lead_III.pkl,106_lead_III.pkl,500,106
106_lead_V1.pkl,106_lead_V1.pkl,500,106
106_lead_V2.pkl,106_lead_V2.pkl,500,106
106_lead_V3.pkl,106_lead_V3.pkl,500,106
106_lead_V4.pkl,106_lead_V4.pkl,500,106
106_lead_V5.pkl,106_lead_V5.pkl,500,106
106_lead_V6.pkl,106_lead_V6.pkl,500,106
106_lead_aVF.pkl,106_lead_aVF.pkl,500,106
106_lead_aVL.pkl,106_lead_aVL.pkl,500,106
106_lead_aVR.pkl,106_lead_aVR.pkl,500,106
108_lead_I.pkl,108_lead_I.pkl,500,108
108_lead_II.pkl,108_lead_II.pkl,500,108
108_lead_III.pkl,108_lead_III.pkl,500,108
108_lead_V1.pkl,108_lead_V1.pkl,500,108
108_lead_V2.pkl,108_lead_V2.pkl,500,108
108_lead_V3.pkl,108_lead_V3.pkl,500,108
108_lead_V4.pkl,108_lead_V4.pkl,500,108
108_lead_V5.pkl,108_lead_V5.pkl,500,108
108_lead_V6.pkl,108_lead_V6.pkl,500,108
108_lead_aVF.pkl,108_lead_aVF.pkl,500,108
108_lead_aVL.pkl,108_lead_aVL.pkl,500,108
108_lead_aVR.pkl,108_lead_aVR.pkl,500,108
11_lead_I.pkl,11_lead_I.pkl,500,11
11_lead_II.pkl,11_lead_II.pkl,500,11
11_lead_III.pkl,11_lead_III.pkl,500,11
11_lead_V1.pkl,11_lead_V1.pkl,500,11
11_lead_V2.pkl,11_lead_V2.pkl,500,11
11_lead_V3.pkl,11_lead_V3.pkl,500,11
11_lead_V4.pkl,11_lead_V4.pkl,500,11
11_lead_V5.pkl,11_lead_V5.pkl,500,11
11_lead_V6.pkl,11_lead_V6.pkl,500,11
11_lead_aVF.pkl,11_lead_aVF.pkl,500,11
11_lead_aVL.pkl,11_lead_aVL.pkl,500,11
11_lead_aVR.pkl,11_lead_aVR.pkl,500,11
110_lead_I.pkl,110_lead_I.pkl,500,110
110_lead_II.pkl,110_lead_II.pkl,500,110
110_lead_III.pkl,110_lead_III.pkl,500,110
110_lead_V1.pkl,110_lead_V1.pkl,500,110
110_lead_V2.pkl,110_lead_V2.pkl,500,110
110_lead_V3.pkl,110_lead_V3.pkl,500,110
110_lead_V4.pkl,110_lead_V4.pkl,500,110
110_lead_V5.pkl,110_lead_V5.pkl,500,110
110_lead_V6.pkl,110_lead_V6.pkl,500,110
110_lead_aVF.pkl,110_lead_aVF.pkl,500,110
110_lead_aVL.pkl,110_lead_aVL.pkl,500,110
110_lead_aVR.pkl,110_lead_aVR.pkl,500,110
112_lead_I.pkl,112_lead_I.pkl,500,112
112_lead_II.pkl,112_lead_II.pkl,500,112
112_lead_III.pkl,112_lead_III.pkl,500,112
112_lead_V1.pkl,112_lead_V1.pkl,500,112
112_lead_V2.pkl,112_lead_V2.pkl,500,112
112_lead_V3.pkl,112_lead_V3.pkl,500,112
112_lead_V4.pkl,112_lead_V4.pkl,500,112
112_lead_V5.pkl,112_lead_V5.pkl,500,112
112_lead_V6.pkl,112_lead_V6.pkl,500,112
112_lead_aVF.pkl,112_lead_aVF.pkl,500,112
112_lead_aVL.pkl,112_lead_aVL.pkl,500,112
112_lead_aVR.pkl,112_lead_aVR.pkl,500,112
114_lead_I.pkl,114_lead_I.pkl,500,114
114_lead_II.pkl,114_lead_II.pkl,500,114
114_lead_III.pkl,114_lead_III.pkl,500,114
114_lead_V1.pkl,114_lead_V1.pkl,500,114
114_lead_V2.pkl,114_lead_V2.pkl,500,114
114_lead_V3.pkl,114_lead_V3.pkl,500,114
114_lead_V4.pkl,114_lead_V4.pkl,500,114
114_lead_V5.pkl,114_lead_V5.pkl,500,114
114_lead_V6.pkl,114_lead_V6.pkl,500,114
114_lead_aVF.pkl,114_lead_aVF.pkl,500,114
114_lead_aVL.pkl,114_lead_aVL.pkl,500,114
114_lead_aVR.pkl,114_lead_aVR.pkl,500,114
118_lead_I.pkl,118_lead_I.pkl,500,118
118_lead_II.pkl,118_lead_II.pkl,500,118
118_lead_III.pkl,118_lead_III.pkl,500,118
118_lead_V1.pkl,118_lead_V1.pkl,500,118
118_lead_V2.pkl,118_lead_V2.pkl,500,118
118_lead_V3.pkl,118_lead_V3.pkl,500,118
118_lead_V4.pkl,118_lead_V4.pkl,500,118
118_lead_V5.pkl,118_lead_V5.pkl,500,118
118_lead_V6.pkl,118_lead_V6.pkl,500,118
118_lead_aVF.pkl,118_lead_aVF.pkl,500,118
118_lead_aVL.pkl,118_lead_aVL.pkl,500,118
118_lead_aVR.pkl,118_lead_aVR.pkl,500,118
119_lead_I.pkl,119_lead_I.pkl,500,119
119_lead_II.pkl,119_lead_II.pkl,500,119
119_lead_III.pkl,119_lead_III.pkl,500,119
119_lead_V1.pkl,119_lead_V1.pkl,500,119
119_lead_V2.pkl,119_lead_V2.pkl,500,119
119_lead_V3.pkl,119_lead_V3.pkl,500,119
119_lead_V4.pkl,119_lead_V4.pkl,500,119
119_lead_V5.pkl,119_lead_V5.pkl,500,119
119_lead_V6.pkl,119_lead_V6.pkl,500,119
119_lead_aVF.pkl,119_lead_aVF.pkl,500,119
119_lead_aVL.pkl,119_lead_aVL.pkl,500,119
119_lead_aVR.pkl,119_lead_aVR.pkl,500,119
12_lead_I.pkl,12_lead_I.pkl,500,12
12_lead_II.pkl,12_lead_II.pkl,500,12
12_lead_III.pkl,12_lead_III.pkl,500,12
12_lead_V1.pkl,12_lead_V1.pkl,500,12
12_lead_V2.pkl,12_lead_V2.pkl,500,12
12_lead_V3.pkl,12_lead_V3.pkl,500,12
12_lead_V4.pkl,12_lead_V4.pkl,500,12
12_lead_V5.pkl,12_lead_V5.pkl,500,12
12_lead_V6.pkl,12_lead_V6.pkl,500,12
12_lead_aVF.pkl,12_lead_aVF.pkl,500,12
12_lead_aVL.pkl,12_lead_aVL.pkl,500,12
12_lead_aVR.pkl,12_lead_aVR.pkl,500,12
120_lead_I.pkl,120_lead_I.pkl,500,120
120_lead_II.pkl,120_lead_II.pkl,500,120
120_lead_III.pkl,120_lead_III.pkl,500,120
120_lead_V1.pkl,120_lead_V1.pkl,500,120
120_lead_V2.pkl,120_lead_V2.pkl,500,120
120_lead_V3.pkl,120_lead_V3.pkl,500,120
120_lead_V4.pkl,120_lead_V4.pkl,500,120
120_lead_V5.pkl,120_lead_V5.pkl,500,120
120_lead_V6.pkl,120_lead_V6.pkl,500,120
120_lead_aVF.pkl,120_lead_aVF.pkl,500,120
120_lead_aVL.pkl,120_lead_aVL.pkl,500,120
120_lead_aVR.pkl,120_lead_aVR.pkl,500,120
121_lead_I.pkl,121_lead_I.pkl,500,121
121_lead_II.pkl,121_lead_II.pkl,500,121
121_lead_III.pkl,121_lead_III.pkl,500,121
121_lead_V1.pkl,121_lead_V1.pkl,500,121
121_lead_V2.pkl,121_lead_V2.pkl,500,121
121_lead_V3.pkl,121_lead_V3.pkl,500,121
121_lead_V4.pkl,121_lead_V4.pkl,500,121
121_lead_V5.pkl,121_lead_V5.pkl,500,121
121_lead_V6.pkl,121_lead_V6.pkl,500,121
121_lead_aVF.pkl,121_lead_aVF.pkl,500,121
121_lead_aVL.pkl,121_lead_aVL.pkl,500,121
121_lead_aVR.pkl,121_lead_aVR.pkl,500,121
122_lead_I.pkl,122_lead_I.pkl,500,122
122_lead_II.pkl,122_lead_II.pkl,500,122
122_lead_III.pkl,122_lead_III.pkl,500,122
122_lead_V1.pkl,122_lead_V1.pkl,500,122
122_lead_V2.pkl,122_lead_V2.pkl,500,122
122_lead_V3.pkl,122_lead_V3.pkl,500,122
122_lead_V4.pkl,122_lead_V4.pkl,500,122
122_lead_V5.pkl,122_lead_V5.pkl,500,122
122_lead_V6.pkl,122_lead_V6.pkl,500,122
122_lead_aVF.pkl,122_lead_aVF.pkl,500,122
122_lead_aVL.pkl,122_lead_aVL.pkl,500,122
122_lead_aVR.pkl,122_lead_aVR.pkl,500,122
123_lead_I.pkl,123_lead_I.pkl,500,123
123_lead_II.pkl,123_lead_II.pkl,500,123
123_lead_III.pkl,123_lead_III.pkl,500,123
123_lead_V1.pkl,123_lead_V1.pkl,500,123
123_lead_V2.pkl,123_lead_V2.pkl,500,123
123_lead_V3.pkl,123_lead_V3.pkl,500,123
123_lead_V4.pkl,123_lead_V4.pkl,500,123
123_lead_V5.pkl,123_lead_V5.pkl,500,123
123_lead_V6.pkl,123_lead_V6.pkl,500,123
123_lead_aVF.pkl,123_lead_aVF.pkl,500,123
123_lead_aVL.pkl,123_lead_aVL.pkl,500,123
123_lead_aVR.pkl,123_lead_aVR.pkl,500,123
124_lead_I.pkl,124_lead_I.pkl,500,124
124_lead_II.pkl,124_lead_II.pkl,500,124
124_lead_III.pkl,124_lead_III.pkl,500,124
124_lead_V1.pkl,124_lead_V1.pkl,500,124
124_lead_V2.pkl,124_lead_V2.pkl,500,124
124_lead_V3.pkl,124_lead_V3.pkl,500,124
124_lead_V4.pkl,124_lead_V4.pkl,500,124
124_lead_V5.pkl,124_lead_V5.pkl,500,124
124_lead_V6.pkl,124_lead_V6.pkl,500,124
124_lead_aVF.pkl,124_lead_aVF.pkl,500,124
124_lead_aVL.pkl,124_lead_aVL.pkl,500,124
124_lead_aVR.pkl,124_lead_aVR.pkl,500,124
125_lead_I.pkl,125_lead_I.pkl,500,125
125_lead_II.pkl,125_lead_II.pkl,500,125
125_lead_III.pkl,125_lead_III.pkl,500,125
125_lead_V1.pkl,125_lead_V1.pkl,500,125
125_lead_V2.pkl,125_lead_V2.pkl,500,125
125_lead_V3.pkl,125_lead_V3.pkl,500,125
125_lead_V4.pkl,125_lead_V4.pkl,500,125
125_lead_V5.pkl,125_lead_V5.pkl,500,125
125_lead_V6.pkl,125_lead_V6.pkl,500,125
125_lead_aVF.pkl,125_lead_aVF.pkl,500,125
125_lead_aVL.pkl,125_lead_aVL.pkl,500,125
125_lead_aVR.pkl,125_lead_aVR.pkl,500,125
127_lead_I.pkl,127_lead_I.pkl,500,127
127_lead_II.pkl,127_lead_II.pkl,500,127
127_lead_III.pkl,127_lead_III.pkl,500,127
127_lead_V1.pkl,127_lead_V1.pkl,500,127
127_lead_V2.pkl,127_lead_V2.pkl,500,127
127_lead_V3.pkl,127_lead_V3.pkl,500,127
127_lead_V4.pkl,127_lead_V4.pkl,500,127
127_lead_V5.pkl,127_lead_V5.pkl,500,127
127_lead_V6.pkl,127_lead_V6.pkl,500,127
127_lead_aVF.pkl,127_lead_aVF.pkl,500,127
127_lead_aVL.pkl,127_lead_aVL.pkl,500,127
127_lead_aVR.pkl,127_lead_aVR.pkl,500,127
129_lead_I.pkl,129_lead_I.pkl,500,129
129_lead_II.pkl,129_lead_II.pkl,500,129
129_lead_III.pkl,129_lead_III.pkl,500,129
129_lead_V1.pkl,129_lead_V1.pkl,500,129
129_lead_V2.pkl,129_lead_V2.pkl,500,129
129_lead_V3.pkl,129_lead_V3.pkl,500,129
129_lead_V4.pkl,129_lead_V4.pkl,500,129
129_lead_V5.pkl,129_lead_V5.pkl,500,129
129_lead_V6.pkl,129_lead_V6.pkl,500,129
129_lead_aVF.pkl,129_lead_aVF.pkl,500,129
129_lead_aVL.pkl,129_lead_aVL.pkl,500,129
129_lead_aVR.pkl,129_lead_aVR.pkl,500,129
13_lead_I.pkl,13_lead_I.pkl,500,13
13_lead_II.pkl,13_lead_II.pkl,500,13
13_lead_III.pkl,13_lead_III.pkl,500,13
13_lead_V1.pkl,13_lead_V1.pkl,500,13
13_lead_V2.pkl,13_lead_V2.pkl,500,13
13_lead_V3.pkl,13_lead_V3.pkl,500,13
13_lead_V4.pkl,13_lead_V4.pkl,500,13
13_lead_V5.pkl,13_lead_V5.pkl,500,13
13_lead_V6.pkl,13_lead_V6.pkl,500,13
13_lead_aVF.pkl,13_lead_aVF.pkl,500,13
13_lead_aVL.pkl,13_lead_aVL.pkl,500,13
13_lead_aVR.pkl,13_lead_aVR.pkl,500,13
131_lead_I.pkl,131_lead_I.pkl,500,131
131_lead_II.pkl,131_lead_II.pkl,500,131
131_lead_III.pkl,131_lead_III.pkl,500,131
131_lead_V1.pkl,131_lead_V1.pkl,500,131
131_lead_V2.pkl,131_lead_V2.pkl,500,131
131_lead_V3.pkl,131_lead_V3.pkl,500,131
131_lead_V4.pkl,131_lead_V4.pkl,500,131
131_lead_V5.pkl,131_lead_V5.pkl,500,131
131_lead_V6.pkl,131_lead_V6.pkl,500,131
131_lead_aVF.pkl,131_lead_aVF.pkl,500,131
131_lead_aVL.pkl,131_lead_aVL.pkl,500,131
131_lead_aVR.pkl,131_lead_aVR.pkl,500,131
133_lead_I.pkl,133_lead_I.pkl,500,133
133_lead_II.pkl,133_lead_II.pkl,500,133
133_lead_III.pkl,133_lead_III.pkl,500,133
133_lead_V1.pkl,133_lead_V1.pkl,500,133
133_lead_V2.pkl,133_lead_V2.pkl,500,133
133_lead_V3.pkl,133_lead_V3.pkl,500,133
133_lead_V4.pkl,133_lead_V4.pkl,500,133
133_lead_V5.pkl,133_lead_V5.pkl,500,133
133_lead_V6.pkl,133_lead_V6.pkl,500,133
133_lead_aVF.pkl,133_lead_aVF.pkl,500,133
133_lead_aVL.pkl,133_lead_aVL.pkl,500,133
133_lead_aVR.pkl,133_lead_aVR.pkl,500,133
134_lead_I.pkl,134_lead_I.pkl,500,134
134_lead_II.pkl,134_lead_II.pkl,500,134
134_lead_III.pkl,134_lead_III.pkl,500,134
134_lead_V1.pkl,134_lead_V1.pkl,500,134
134_lead_V2.pkl,134_lead_V2.pkl,500,134
134_lead_V3.pkl,134_lead_V3.pkl,500,134
134_lead_V4.pkl,134_lead_V4.pkl,500,134
134_lead_V5.pkl,134_lead_V5.pkl,500,134
134_lead_V6.pkl,134_lead_V6.pkl,500,134
134_lead_aVF.pkl,134_lead_aVF.pkl,500,134
134_lead_aVL.pkl,134_lead_aVL.pkl,500,134
134_lead_aVR.pkl,134_lead_aVR.pkl,500,134
