model_id,mean_mae,mean_pearson,mean_r2,mean_auroc,mean_auprc,n_targets,mask,mse_on,corr_on,deriv_on,vcg_on,energy_on,lead_on,mmd_name
f_1000000_s42,0.3787,0.5772,0.3331,0.7619,0.0181,1,1000000,1,0,0,0,0,0,none
f_1000001_s42,0.3985,0.3909,0.1528,0.5728,0.0066,1,1000001,1,0,0,0,0,0,global_rbf
f_1000002_s42,0.3683,0.4543,0.2064,0.6923,0.0081,1,1000002,1,0,0,0,0,0,anatomical_laplacian
f_1000003_s42,0.3622,0.5655,0.3198,0.7539,0.018,1,1000003,1,0,0,0,0,0,anatomical_imq
f_1000004_s42,0.3473,0.5591,0.3126,0.738,0.0117,1,1000004,1,0,0,0,0,0,temporal_kmeans_imq
f_1000010_s42,0.4487,0.3031,0.0919,0.5062,0.0095,1,1000010,1,0,0,0,0,1,none
f_1000011_s42,0.4075,0.391,0.1528,0.5615,0.0141,1,1000011,1,0,0,0,0,1,global_rbf
f_1000012_s42,0.4038,0.3417,0.1167,0.491,0.014,1,1000012,1,0,0,0,0,1,anatomical_laplacian
f_1000013_s42,0.4154,0.3091,0.0956,0.4886,0.0106,1,1000013,1,0,0,0,0,1,anatomical_imq
f_1000014_s42,0.3959,0.3469,0.1204,0.5168,0.0122,1,1000014,1,0,0,0,0,1,temporal_kmeans_imq
f_1000100_s42,0.5047,0.3693,0.1364,0.6179,0.0147,1,1000100,1,0,0,0,1,0,none
f_1000101_s42,0.5124,0.3784,0.1432,0.635,0.0137,1,1000101,1,0,0,0,1,0,global_rbf
f_1000102_s42,0.5046,0.3684,0.1357,0.6184,0.0148,1,1000102,1,0,0,0,1,0,anatomical_laplacian
f_1000103_s42,0.505,0.3691,0.1362,0.6178,0.0147,1,1000103,1,0,0,0,1,0,anatomical_imq
f_1000104_s42,0.5054,0.3693,0.1364,0.6178,0.0147,1,1000104,1,0,0,0,1,0,temporal_kmeans_imq
f_1000110_s42,0.489,0.3284,0.1078,0.619,0.0057,1,1000110,1,0,0,0,1,1,none
f_1000111_s42,0.496,0.3367,0.1134,0.6499,0.0075,1,1000111,1,0,0,0,1,1,global_rbf
f_1000112_s42,0.4894,0.3281,0.1077,0.6199,0.0056,1,1000112,1,0,0,0,1,1,anatomical_laplacian
f_1000113_s42,0.4884,0.328,0.1076,0.6163,0.0056,1,1000113,1,0,0,0,1,1,anatomical_imq
f_1000114_s42,0.4894,0.3279,0.1075,0.6165,0.0056,1,1000114,1,0,0,0,1,1,temporal_kmeans_imq
f_1001000_s42,0.5207,0.4417,0.1951,0.7803,0.0275,1,1001000,1,0,0,1,0,0,none
f_1001001_s42,0.4968,0.441,0.1945,0.7948,0.0242,1,1001001,1,0,0,1,0,0,global_rbf
f_1001002_s42,0.5412,0.4641,0.2154,0.7765,0.0438,1,1001002,1,0,0,1,0,0,anatomical_laplacian
f_1001003_s42,0.5342,0.4491,0.2017,0.7907,0.0294,1,1001003,1,0,0,1,0,0,anatomical_imq
f_1001004_s42,0.5429,0.4394,0.1931,0.7793,0.0378,1,1001004,1,0,0,1,0,0,temporal_kmeans_imq
f_1001010_s42,0.47,0.4335,0.1879,0.635,0.0128,1,1001010,1,0,0,1,0,1,none
f_1001011_s42,0.4273,0.4428,0.196,0.7129,0.0178,1,1001011,1,0,0,1,0,1,global_rbf
f_1001012_s42,0.524,0.4417,0.1951,0.6333,0.0185,1,1001012,1,0,0,1,0,1,anatomical_laplacian
f_1001013_s42,0.4923,0.4314,0.1861,0.6434,0.0156,1,1001013,1,0,0,1,0,1,anatomical_imq
f_1001014_s42,0.4916,0.4349,0.1891,0.6468,0.0144,1,1001014,1,0,0,1,0,1,temporal_kmeans_imq
f_1001100_s42,0.4903,0.3001,0.0901,0.581,0.0046,1,1001100,1,0,0,1,1,0,none
f_1001101_s42,0.4936,0.3067,0.094,0.5939,0.0045,1,1001101,1,0,0,1,1,0,global_rbf
f_1001102_s42,0.4917,0.301,0.0906,0.5842,0.0047,1,1001102,1,0,0,1,1,0,anatomical_laplacian
f_1001103_s42,0.4908,0.3002,0.0901,0.5807,0.0046,1,1001103,1,0,0,1,1,0,anatomical_imq
f_1001104_s42,0.4922,0.3002,0.0901,0.5827,0.0047,1,1001104,1,0,0,1,1,0,temporal_kmeans_imq
