dataset,model_id,target,mae,pearson_r,r2,bland_bias,loa_low,loa_high,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,f1,sens,spec,ppv,npv,adj_or,adj_or_ci_low,adj_or_ci_high,pval_logistic,fisher_pval,mask,mse_on,corr_on,deriv_on,vcg_on,energy_on,lead_on,mmd_kernel,mmd_name
ptb_xl,f_1000000_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1000000,1,0,0,0,0,0,0,none
ptb_xl,f_1000000_s42,LVH_SokolowLyon,0.3787,0.5772,0.3331,-0.2907,-1.144,0.5626,0.7619,0.5534,0.9026,0.0181,0.0034,0.1006,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1000000,1,0,0,0,0,0,0,none
ptb_xl,f_1000001_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1000001,1,0,0,0,0,0,1,global_rbf
ptb_xl,f_1000001_s42,LVH_SokolowLyon,0.3985,0.3909,0.1528,-0.1635,-1.1911,0.8642,0.5728,0.3319,0.7958,0.0066,0.0018,0.0266,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1000001,1,0,0,0,0,0,1,global_rbf
ptb_xl,f_1000002_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1000002,1,0,0,0,0,0,2,anatomical_laplacian
ptb_xl,f_1000002_s42,LVH_SokolowLyon,0.3683,0.4543,0.2064,-0.1676,-1.1263,0.7912,0.6923,0.4837,0.8665,0.0081,0.0029,0.0237,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1000002,1,0,0,0,0,0,2,anatomical_laplacian
ptb_xl,f_1000003_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1000003,1,0,0,0,0,0,3,anatomical_imq
ptb_xl,f_1000003_s42,LVH_SokolowLyon,0.3622,0.5655,0.3198,-0.2466,-1.1104,0.6172,0.7539,0.5322,0.8997,0.018,0.0033,0.0985,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1000003,1,0,0,0,0,0,3,anatomical_imq
ptb_xl,f_1000004_s42,QRS_Overall,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4966,0.2254,1.0942,0.0824,0.0,1000004,1,0,0,0,0,0,4,temporal_kmeans_imq
ptb_xl,f_1000004_s42,LVH_SokolowLyon,0.3473,0.5591,0.3126,-0.2007,-1.0724,0.6709,0.738,0.5193,0.8836,0.0117,0.0031,0.0492,0.0,0.0,1.0,0.0,0.9967,,,,,1.0,1000004,1,0,0,0,0,0,4,temporal_kmeans_imq
