Linux 6.8.0-134-generic (sci-dang-gpu) 	08/22/26 	_x86_64_	(8 CPU)

19:28:00      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
19:28:01     1003   4033430  114.00    1.00    0.00    0.00  115.00     4  python3
19:28:02     1003   4033430  112.00    1.00    0.00    0.00  113.00     2  python3
19:28:03     1003   4033430  109.00    1.00    0.00    1.00  110.00     2  python3
19:28:04     1003   4033430  112.00    2.00    0.00    0.00  114.00     3  python3
19:28:05     1003   4033430  115.00    1.00    0.00    0.00  116.00     3  python3
19:28:06     1003   4033430  113.00    1.00    0.00    0.00  114.00     3  python3
19:28:07     1003   4033430  109.00    1.00    0.00    0.00  110.00     3  python3
19:28:08     1003   4033430  113.00    2.00    0.00    0.00  115.00     3  python3
19:28:09     1003   4033430  113.00    2.00    0.00    0.00  115.00     3  python3
19:28:10     1003   4033430  108.00    2.00    0.00    0.00  110.00     4  python3
19:28:11     1003   4033430  111.00    1.00    0.00    1.00  112.00     1  python3
19:28:12     1003   4033430  113.00    1.00    0.00    0.00  114.00     5  python3
19:28:13     1003   4033430  109.00    1.00    0.00    1.00  110.00     5  python3
19:28:14     1003   4033430  115.00    1.00    0.00    1.00  116.00     4  python3
19:28:15     1003   4033430  114.00    1.00    0.00    0.00  115.00     4  python3
19:28:16     1003   4033430  111.00    1.00    0.00    0.00  112.00     4  python3
19:28:17     1003   4033430  113.00    2.00    0.00    1.00  115.00     4  python3
19:28:18     1003   4033430  113.00    2.00    0.00    0.00  115.00     4  python3
19:28:19     1003   4033430  116.00    1.00    0.00    0.00  117.00     4  python3
19:28:20     1003   4033430  110.00    1.00    0.00    1.00  111.00     2  python3
19:28:21     1003   4033430  114.00    1.00    0.00    1.00  115.00     4  python3
19:28:22     1003   4033430  113.00    2.00    0.00    1.00  115.00     2  python3
19:28:23     1003   4033430  113.00    0.00    0.00    1.00  113.00     2  python3
19:28:24     1003   4033430  109.00    1.00    0.00    0.00  110.00     2  python3
19:28:25     1003   4033430  113.00    2.00    0.00    0.00  115.00     2  python3
19:28:26     1003   4033430  112.00    1.00    0.00    0.00  113.00     2  python3
19:28:27     1003   4033430  109.00    0.00    0.00    0.00  109.00     2  python3
19:28:28     1003   4033430  113.00    2.00    0.00    0.00  115.00     2  python3
19:28:29     1003   4033430  115.00    1.00    0.00    0.00  116.00     2  python3
19:28:30     1003   4033430  108.00    1.00    0.00    0.00  109.00     2  python3
Average:     1003   4033430  112.07    1.23    0.00    0.30  113.30     -  python3
