procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 2057892  55440 7259124    0    0  2661   453 4815    2 33  3 63  0  0  0
 1  0      0 2026688  55440 7259528    0    0   212     0 5276 7267 19  5 76  0  0  0
 1  0      0 2032480  55440 7259532    0    0     0     0 2731 2238 17  2 82  0  0  0
 1  0      0 2032008  55440 7259532    0    0     0     0 2533 2108 16  1 83  0  0  0
 1  0      0 2035116  55440 7259532    0    0     0   100 2749 2360 17  2 82  0  0  0
 1  0      0 2051384  55440 7260000    0    0     4     0 5553 7190 18  4 77  0  0  0
 1  0      0 2057448  55440 7259760    0    0     0     0 3032 2533 17  2 82  0  0  0
 1  0      0 2058240  55440 7259760    0    0     0     0 2571 2169 16  1 83  0  0  0
 1  0      0 2068092  55440 7259760    0    0     0     0 2792 2232 17  2 82  0  0  0
 1  0      0 2066432  55460 7259788    0    0     0   236 5345 7229 18  5 77  0  0  0
 1  0      0 2059212  55460 7259788    0    0     0   388 2977 2370 16  2 82  0  0  0
 1  0      0 2064072  55460 7259768    0    0     0    32 3369 2603 17  3 80  0  0  0
 1  0      0 2067768  55460 7259768    0    0     0     0 2808 2256 17  2 82  0  0  0
 1  0      0 2059968  55460 7259756    0    0     0     0 5077 6550 17  4 78  0  0  0
 1  0      0 2059844  55460 7259756    0    0     0     0 2776 2302 17  1 82  0  0  0
 1  0      0 2060704  55460 7259756    0    0     0    16 3010 2438 17  2 81  0  0  0
 3  0      0 2055328  55460 7259760    0    0     0     4 2752 2190 16  2 82  0  0  0
 4  0      0 2071576  55460 7259760    0    0     0     0 5322 6839 17  3 79  0  0  0
 1  0      0 2070820  55460 7259760    0    0     0     0 3019 2710 17  1 81  0  0  0
 3  0      0 2079120  55460 7259760    0    0     0     0 3211 2534 18  2 80  0  0  0
 1  0      0 2078780  55460 7259764    0    0     0    20 3054 2415 16  2 81  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 2076236  55460 7259740    0    0     0    12 6068 7500 18  5 77  0  0  0
 1  0      0 2084368  55460 7259752    0    0     0     0 2898 2503 17  2 82  0  0  0
 3  0      0 2080364  55472 7264392    0    0  4660   112 3324 2679 18  2 79  1  0  0
 1  0      0 2086328  55472 7264712    0    0   324     0 3200 2648 17  2 81  0  0  0
 2  0      0 2083844  55472 7264796    0    0     0   200 13922 6936 18  5 77  0  0  0
 1  0      0 2062744  55472 7264788    0    0     0     0 5492 2594 17  2 81  0  0  0
 1  0      0 2068676  55472 7264788    0    0     0    32 2604 2153 16  1 83  0  0  0
 1  0      0 2064896  55472 7264788    0    0     0   268 2839 2410 17  2 82  0  0  0
 1  0      0 2062688  55472 7264784    0    0     0     0 4195 6534 18  4 78  0  0  0
