dimension,eigenvalue,status,is_positive,cumulative_positive_eigenmass
1,1.3623921132099477,positive,True,0.45439409890741145
2,0.8043138352576368,positive,True,0.722654210564662
3,0.2707156308330153,positive,True,0.8129450922717576
4,0.2142169657461027,positive,True,0.884392162595395
5,0.07499360955473897,positive,True,0.9094045311396839
6,0.04410210139405314,positive,True,0.9241137579684111
7,0.041885959667553464,positive,True,0.9380838424363599
8,0.03026510471701871,positive,True,0.9481780618999666
9,0.025558942196335147,positive,True,0.9567026506697642
10,0.02027250118825669,positive,True,0.963464070396669
11,0.016794999619670493,positive,True,0.9690656506204048
12,0.01484788870101357,positive,True,0.9740178174316751
13,0.011563900926871694,positive,True,0.977874686750406
14,0.010270377643106735,positive,True,0.9813001315612856
15,0.008598650619724424,positive,True,0.9841680108320806
16,0.0075410883554678995,positive,True,0.9866831648870983
17,0.006495927682426014,positive,True,0.9888497299877058
18,0.005812856919274084,positive,True,0.9907884727742359
19,0.004958824836044454,positive,True,0.9924423730876377
20,0.004214375045364458,positive,True,0.9938479795445662
21,0.0031485991839677193,positive,True,0.9948981213320496
22,0.002319998078387246,positive,True,0.9956719025555858
23,0.002007106315983971,positive,True,0.9963413260328798
24,0.001827924077501965,positive,True,0.9969509874556186
25,0.0015296190473114105,positive,True,0.9974611561962736
26,0.0012784691064733344,positive,True,0.9978875597345679
27,0.0009992896293514687,positive,True,0.9982208494727233
28,0.0008698210004513856,positive,True,0.9985109579707676
29,0.0006993707249081477,positive,True,0.9987442167567409
30,0.0005111128183691489,positive,True,0.9989146865108528
31,0.00047132938046669796,positive,True,0.9990718874275706
32,0.0004246257581658778,positive,True,0.9992135114408659
33,0.0003010553162722149,positive,True,0.9993139214166962
34,0.00023339547237748105,positive,True,0.99939176503039
35,0.00022741149815116345,positive,True,0.9994676128291123
36,0.00019951175918671873,positive,True,0.9995341553209236
37,0.0001758900969931212,positive,True,0.999592819358505
38,0.0001542973621853473,positive,True,0.9996442816432424
39,0.00014117421930516768,positive,True,0.9996913670098914
40,0.000117350973193878,positive,True,0.9997305066886986
41,0.00010528690668606716,positive,True,0.9997656226796283
42,9.366110914773063e-05,positive,True,0.999796861157069
43,7.956545234274985e-05,positive,True,0.9998233983570944
44,6.748919836343343e-05,positive,True,0.9998459078043961
45,6.057887591147437e-05,positive,True,0.9998661124748912
46,5.3278101838948374e-05,positive,True,0.9998838821425529
47,5.119196139550249e-05,positive,True,0.9999009560267482
48,4.166765051573679e-05,positive,True,0.9999148532992927
49,3.740554415239282e-05,positive,True,0.9999273290457129
50,3.389066664077863e-05,positive,True,0.9999386324867562
51,3.1793660194474934e-05,positive,True,0.9999492365202315
52,2.6572139071247796e-05,positive,True,0.9999580990371767
53,2.371778215250752e-05,positive,True,0.999966009549976
54,1.941229461626889e-05,positive,True,0.9999724840678732
55,1.8426237497364927e-05,positive,True,0.9999786297094272
56,1.6329419473267677e-05,positive,True,0.9999840760062569
57,1.2852448990233857e-05,positive,True,0.9999883626407149
58,1.1601811831748271e-05,positive,True,0.9999922321543313
59,8.658838674696584e-06,positive,True,0.9999951201079234
60,6.075122513200641e-06,positive,True,0.999997146323279
61,3.4282826216454648e-06,positive,True,0.9999982897469508
62,3.1317382479508347e-06,positive,True,0.9999993342651665
63,1.996046799048577e-06,positive,True,1.0
64,7.655311118079391e-17,numerical_zero,False,1.0
