domain_id,n_patient,n_patient_ge2_beats,n_ecg,n_beat,n_microstate
0,1343,787,1343,2734,4920
1,1433,890,1433,3039,6492
2,1822,1194,1822,4255,11790
3,526,128,526,692,1171
4,2389,2245,2389,10368,146341
5,2433,2319,2433,10257,44622
6,1969,1379,1969,5025,21293
7,1090,420,1090,1693,2821
8,2240,1811,2240,6533,23580
9,2055,1645,2055,5571,18305
10,1519,884,1519,3028,5089
11,1105,513,1105,1936,4640
12,1066,487,1066,1873,3592
13,1815,1119,1815,3976,7922
14,2415,2278,2415,9557,42868
15,2112,1693,2112,5737,18387
16,1881,1262,1881,4462,10905
17,1441,664,1441,2460,4214
18,974,547,974,1888,3684
19,2302,1968,2302,7463,26863
20,680,230,680,1009,1435
21,1980,1377,1980,4723,11858
22,1092,512,1092,1917,3543
23,1307,712,1307,2437,4436
24,163,29,163,202,286
25,1795,1275,1795,4666,14882
26,1434,782,1434,2722,5814
27,1059,444,1059,1719,2691
28,1447,785,1447,2842,5471
29,1064,463,1064,1796,2844
30,1488,858,1488,3016,8005
31,69,10,69,79,121
32,1283,609,1283,2173,3628
33,14,3,14,17,30
34,38,1,38,39,44
35,28,1,28,29,33
36,10,1,10,11,32
37,30,2,30,32,115
38,838,307,838,1305,2600
39,161,17,161,179,208
40,26,1,26,28,33
41,115,9,115,132,363
42,60,5,60,65,76
43,31,2,31,33,36
44,24,0,24,24,30
45,312,88,312,426,656
46,633,184,633,878,1179
47,33,0,33,33,41
48,111,10,111,121,150
49,2401,2260,2401,10399,70022
50,18,0,18,18,42
51,1027,457,1027,1693,2541
52,1569,926,1569,3063,5899
53,2432,2349,2432,11932,88369
54,2073,1596,2073,5412,20562
55,1761,1100,1761,3632,7670
56,1737,1130,1737,3703,7721
57,25,2,25,28,34
58,13,1,13,14,31
59,323,95,323,447,757
60,59,5,59,65,144
61,12,0,12,12,33
62,961,413,961,1594,2404
63,111,21,111,136,496
