concept,n_pos_train,n_pos_f8,n_pos_f9,auroc_f8_R0_basic,auprc_f8_R0_basic,auroc_f9_R0_basic,auprc_f9_R0_basic,auroc_f8_R0_rich,auprc_f8_R0_rich,auroc_f9_R0_rich,auprc_f9_R0_rich,auroc_f8_R1,auprc_f8_R1,auroc_f9_R1,auprc_f9_R1,auroc_f8_R2_H,auprc_f8_R2_H,auroc_f9_R2_H,auprc_f9_R2_H,auroc_f8_R3,auprc_f8_R3,auroc_f9_R3,auprc_f9_R3,auroc_f8_R4,auprc_f8_R4,auroc_f9_R4,auprc_f9_R4,delta_auroc_R3_minus_R0rich,ci95_delta_R3_R0rich,delta_auroc_R3_minus_R0basic,ci95_delta_R3_R0basic,delta_auroc_R0rich_minus_R0basic,delta_auroc_R4_minus_R3,ci95_delta_R4_R3,transfer_drop_f8_to_f9_R4
NORM,6664,932,955,0.7679385999799414,0.6491167217693399,0.757144806180398,0.6383358734681868,0.8880194914111215,0.8385070153337707,0.87810341593192,0.8117016650069793,0.8657060448966465,0.8095995237913738,0.8605871719221653,0.7960259045647669,0.8642561204621774,0.8029523015642972,0.8620290942578918,0.7914768497001368,0.8889532531220495,0.8433075858895035,0.8817333765369988,0.8131671389449775,0.8947192316870307,0.8482546127081864,0.8866338659890513,0.826216360220061,0.000772159256541556,"[-0.0088, 0.0105]",0.12060886373644772,"[0.1040, 0.1384]",0.11983670447990616,0.005731021701101793,"[0.0015, 0.0100]",0.008085365697979463
AFIB,1059,152,151,0.6893376129586708,0.17820536317533409,0.6756629034781249,0.17850227380392983,0.7931228677830151,0.24434270073331982,0.7924923084945507,0.28225772400737215,0.7529199979166123,0.21696756199299866,0.7633493247118944,0.2544207210918847,0.7394072762311519,0.17635584800272996,0.7433025238567033,0.21521152717347722,0.77620510950806,0.22594470764021649,0.7694797152839339,0.24144746450313334,0.8221079976041044,0.2935984342688247,0.8088465349116131,0.319021370639929,-0.01751468930330938,"[-0.0462, 0.0101]",0.08632957226337006,"[0.0490, 0.1208]",0.10384426156667942,0.046055502966970384,"[0.0205, 0.0685]",0.013261462692491288
IMI,1875,268,266,0.7268911348767971,0.2690806756731982,0.7249795066696475,0.2556906355801214,0.8353880205272849,0.4683289187937302,0.8243751005055674,0.38506392366995973,0.7671406745798566,0.3580514851986054,0.7229537066453301,0.2769274535569257,0.7620499862890273,0.3193336794670675,0.722457552331533,0.2529061349619309,0.8063109648607356,0.3801346855256639,0.7804330858445017,0.31151292367097744,0.8103204450189996,0.3906865633334375,0.7735634077368695,0.3281548944972665,-0.028876302124270656,"[-0.0551, -0.0036]",0.07997246533382048,"[0.0518, 0.1118]",0.10884876745809113,0.003787026465469922,"[-0.0073, 0.0145]",0.03675703728213009
AMI,247,35,36,0.7395563276760657,0.033787363742896634,0.6496532629508875,0.030778628780249895,0.779647200320727,0.06822267485587284,0.7266987527816592,0.06620676969903246,0.606040358145129,0.025763194513325947,0.572193758733116,0.024961695071191153,0.672056661766671,0.02983814501269377,0.5752471148372406,0.0235090963160893,0.7051316316985166,0.03475812997399956,0.6254075454122031,0.035036889411635436,0.698930910062809,0.033535808976101845,0.6261191326398593,0.028588731569235405,-0.07516630049946585,"[-0.1613, 0.0096]",-0.03566859697953419,"[-0.1176, 0.0545]",0.03949770351993166,-0.006133903984028185,"[-0.0306, 0.0207]",0.07281177742294975
ALMI,203,29,29,0.8063400669068451,0.10203004825404553,0.8921333205263663,0.16970964714948306,0.91437210499228,0.34800624356409193,0.9292094899625397,0.3781230936437988,0.873230828615543,0.15300058616996803,0.8575865270707265,0.08545605752787007,0.8501833504889347,0.1794859093073307,0.8501584862165018,0.1656402636511957,0.8564719505918683,0.19528785492484835,0.9207889091665866,0.2642353700673254,0.8753216675244467,0.2020193164535999,0.9090705343706976,0.26348382695025907,-0.058847986807289435,"[-0.1394, -0.0007]",0.04930369276595391,"[0.0127, 0.0894]",0.10815167957324334,0.018669448583210766,"[0.0031, 0.0400]",-0.03374886684625089
1AVB,554,80,80,0.6902591973244148,0.09992005563127566,0.6715406562054208,0.1178052868056616,0.7625477783086478,0.1625908729180829,0.7155967665240133,0.1550343602375122,0.6899008600095556,0.07260613329111919,0.6626961483594864,0.08478083240845505,0.6979335881509794,0.08617345493165329,0.6813837375178317,0.10211485622073255,0.710212613473483,0.1062871430975573,0.7033820732287209,0.12145660208547181,0.7179407548972767,0.11608910116430018,0.710734664764622,0.12277639565284115,-0.05371899879796048,"[-0.1001, -0.0083]",0.019251493783241515,"[-0.0435, 0.0831]",0.07297049258120201,0.007693331339952132,"[-0.0088, 0.0259]",0.007206090132654719
STACH,578,83,83,0.927111316077708,0.2639303886416644,0.8953471026965003,0.28386290619266924,0.939712918660287,0.34522596830537267,0.9193287435456111,0.307375712347284,0.8470340692915201,0.21796146184822487,0.8410958118187034,0.15973988594134012,0.8381968063642129,0.20440204604888731,0.8604360298336202,0.17076415881597895,0.8976653023577563,0.28749642008287524,0.9101376936316694,0.27582731011445916,0.8987144751253819,0.28986034193648547,0.9095811818703384,0.2709918428321546,-0.04151129095224121,"[-0.0728, -0.0135]",-0.02903836641336772,"[-0.0623, -0.0005]",0.012472924538873489,0.0009762606479017682,"[-0.0051, 0.0068]",-0.01086670674495649
SBRAD,445,64,64,0.9081466334755809,0.2861149595822028,0.8911042944785277,0.3275571667675522,0.9359441678520626,0.3197316546572404,0.9275306748466258,0.3372163927130124,0.7685218112849691,0.13450792970034198,0.752079400660689,0.10354201682091013,0.8019944286391655,0.1260519555631922,0.754350519112789,0.11193502975349276,0.9107693219535326,0.3108518437321759,0.8916868216139688,0.24297563723985818,0.905731389284021,0.27941623229023577,0.8896295422369042,0.25116050179298227,-0.025211379799368223,"[-0.0546, 0.0001]",0.0026453261838217546,"[-0.0220, 0.0239]",0.027856705983189976,-0.0052360813514102395,"[-0.0122, 0.0016]",0.016101847047116813
LBBB,428,62,61,0.9842377103039378,0.8264020488698108,0.9536240169342254,0.6713762201489604,0.9912058189819838,0.8929612558062288,0.9859705505168338,0.8155187490990607,0.9730520621628643,0.6673854941271847,0.9442684754561889,0.5068928300286711,0.9724790269097354,0.7126201406790584,0.9496376755612552,0.5499646431131169,0.9854296236304457,0.8547420855830972,0.9699015775405201,0.6985357864579266,0.984749621796733,0.8690448815478543,0.9698474992660805,0.7250890594428417,-0.005695960648347007,"[-0.0162, 0.0005]",0.0013253384918541452,"[-0.0137, 0.0162]",0.007021299140201153,-0.000740120161380286,"[-0.0061, 0.0046]",0.014902122530652484
RBBB,1161,165,166,0.778805988168538,0.26932424825153944,0.7620108595014666,0.27383259354960987,0.9064107207533502,0.6141291990480554,0.9037339242941025,0.6276758197602493,0.8281570686949172,0.44115265536780474,0.8119836808811844,0.43227614637373923,0.8399281661233853,0.49632616250917494,0.8286402924539009,0.451899247553081,0.8666304479053483,0.5432707175194029,0.8586293612725566,0.5204034152166029,0.8823342991669685,0.5608894338683111,0.8544480350753534,0.4914524102975685,-0.039938940556340646,"[-0.0627, -0.0194]",0.08769181233770086,"[0.0516, 0.1245]",0.1276307528940415,0.015775134099620145,"[0.0019, 0.0312]",0.0278862640916151
