Model,Endpoint,Analysis_Type,Adjusted_Estimate,Contrast_vs_Ref,P_Value,CI_95
D1_theta_mul_currentloss_s42_l0 (Reference),QRS Duration Error (ms),MMRM (REML),0.00 ± 6176774.62,Reference,-,"[-12106478.26, 12106478.26]"
D2_current_id_l1_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.42 ± 0.07,-1.42 ms,< 0.001,"[-1.56, -1.27]"
D3_theta_mul_l1_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.22 ± 0.07,-1.22 ms,< 0.001,"[-1.37, -1.08]"
D4_learned12_mul_l1_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.69 ± 0.07,-1.69 ms,< 0.001,"[-1.84, -1.54]"
D5_permuted_theta_mul_l1_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.95 ± 0.07,-1.95 ms,< 0.001,"[-2.10, -1.81]"
D6_theta_add_l1_s42_l0,QRS Duration Error (ms),MMRM (REML),-2.06 ± 0.07,-2.06 ms,< 0.001,"[-2.21, -1.92]"
D7_learned12_add_l1_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.50 ± 0.07,-1.50 ms,< 0.001,"[-1.64, -1.35]"
D8_random12_mul_l1_s42_l0,QRS Duration Error (ms),MMRM (REML),-0.83 ± 0.07,-0.83 ms,< 0.001,"[-0.98, -0.68]"
conv15e_A0_wave_noSSL_gated_add_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.75 ± 0.07,-1.75 ms,< 0.001,"[-1.90, -1.60]"
conv15e_A0_zscore_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.72 ± 0.07,-1.72 ms,< 0.001,"[-1.87, -1.57]"
conv15e_C1_E1_morlet_mag_morlet_phase_s42_l0,QRS Duration Error (ms),MMRM (REML),1.48 ± 0.07,+1.48 ms,< 0.001,"[+1.34, +1.63]"
conv15e_R5_morlet_mag_ueg_phase_wyatt_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.98 ± 0.07,-1.99 ms,< 0.001,"[-2.13, -1.84]"
conv15e_R7_morlet_mag_ueg_real_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.65 ± 0.07,-1.65 ms,< 0.001,"[-1.80, -1.51]"
conv15e_del_wave_ce_s42_l0,QRS Duration Error (ms),MMRM (REML),-2.25 ± 0.07,-2.26 ms,< 0.001,"[-2.40, -2.11]"
conv15e_ssl_log_magnitude_phase_sin_local_gated_add_s42_l0,QRS Duration Error (ms),MMRM (REML),-1.42 ± 0.07,-1.42 ms,< 0.001,"[-1.57, -1.27]"
