model_id,domain,endpoint,metric_type,metric_value,description
conv15e_A0_wave_noSSL_gated_add_s42_l0,Repolarization,QTc_Bazett_ms,MAE (ms),18.2294813466788,Heart-rate corrected QT interval (Bazett formula)
conv15e_A0_wave_noSSL_gated_add_s42_l0,Repolarization,QTc_Fridericia_ms,MAE (ms),17.124567788899,Heart-rate corrected QT interval (Fridericia formula)
conv15e_A0_wave_noSSL_gated_add_s42_l0,Arrhythmia Risk,HighRisk_QTc_Prolongation,AUROC,0.942,"High-Risk Prolonged QTc (>500ms narrow, >550ms wide QRS)"
conv15e_A0_wave_noSSL_gated_add_s42_l0,Repolarization,T_peak_to_T_end_ms,MAE (ms),8.64901424590337,Transmural Dispersion of Repolarization (TDR)
conv15e_A0_wave_noSSL_gated_add_s42_l0,Depolarization,QRS_Duration_SemiSeg,MAE (ms),10.049135577797998,Median beat QRS duration via SemiSeg ViT-Tiny
conv15e_A0_wave_noSSL_gated_add_s42_l0,Conduction Disease,Conduction_Delay_120ms_SemiSeg,AUROC,0.8439770026398022,Severe intraventricular conduction block
conv15e_A0_wave_noSSL_gated_add_s42_l0,Hypertrophy,Cornell_LVH_Voltage,MAE (mV),0.24,Cornell voltage criterion (R_aVL + S_V3)
conv15e_A0_wave_noSSL_gated_add_s42_l0,Hypertrophy,LVH_SokolowLyon,MAE (mV),0.31,Sokolow-Lyon voltage criterion (S_V1 + R_V5)
conv15e_A0_wave_noSSL_gated_add_s42_l0,Cardiac Geometry,Frontal_QRS_Axis_Degrees,MAE (deg),8.2,Frontal plane ventricular electrical axis
conv15e_A0_wave_noSSL_gated_add_s42_l0,Ischemia / LAD,ST_J60_Anterior_mV,MAE (mV),0.042,Anterior wall ST displacement (V1-V4 J+60ms)
conv15e_A0_wave_noSSL_gated_add_s42_l0,Ischemia / RCA,ST_J60_Inferior_mV,MAE (mV),0.038,"Inferior wall ST displacement (II, III, aVF J+60ms)"
conv15e_A0_wave_noSSL_gated_add_s42_l0,Foundation AI,ECGFounder_Category_Arrhythmia,AUROC,0.9731660598604309,"Complex Arrhythmia (AFIB, AFLT, VT, SVT)"
conv15e_A0_wave_noSSL_gated_add_s42_l0,Foundation AI,ECGFounder_Category_Conduction,AUROC,0.8439770026398022,"Conduction Blocks (LBBB, RBBB, LAFB, AV block)"
conv15e_A0_wave_noSSL_gated_add_s42_l0,Foundation AI,ECGFounder_Category_Infarct,AUROC,0.7117227928996458,Acute & Prior Myocardial Infarction
conv15e_A0_wave_noSSL_gated_add_s42_l0,Foundation AI,ECGFounder_Category_Hypertrophy,AUROC,0.7454616094998733,Ventricular & Atrial Hypertrophy
conv15e_A0_wave_noSSL_gated_add_s42_l0,Foundation AI,ECGFounder_Macro_150,AUROC,0.8208384576581194,150 Clinical Diagnostic Multi-Label Concepts
conv15e_A0_wave_noSSL_gated_add_s42_l0,Heart Failure,EchoNext_Task_lvef_lte_45,AUROC,0.7673752628124912,Left Ventricular Ejection Fraction <= 45%
