model_id,dataset,clinical_endpoint,adjustment_tier,covariates,n_obs,n_events,odds_ratio,ci_low,ci_high,p_value,c_statistic,delta_c_statistic,wald_chi2
conv15e_A0_wave_noSSL_gated_add_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),Model 1 (Unadjusted),None,2198,309,5685.2000000000835,1961.3282316165664,16479.3931576465,4.4243018323780726e-57,0.9869102502822508,0.48691025028225077,253.52561562300403
conv15e_A0_wave_noSSL_gated_add_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,309,6362.942956302673,1843.0887086904852,21966.953014392813,1.1979582696227493e-43,0.9925466977099577,0.2513444383340102,191.9420171664469
conv15e_A0_wave_noSSL_gated_add_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,110,4450.344174252612,772.7206436749848,25630.948818852346,5.231636515730094e-21,0.983898847631242,0.3229673495518566,88.44317544186048
conv15e_A0_wave_noSSL_gated_add_s42_l0,PTB-XL,Severe Conduction Defect,Model 1 (Unadjusted),None,2198,366,92.85860655737737,65.44759551129684,131.75000157629088,3.555284528050759e-142,0.9011292862767556,0.4011292862767556,644.4741873838416
conv15e_A0_wave_noSSL_gated_add_s42_l0,PTB-XL,Severe Conduction Defect,"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,366,92.43443115755872,64.96314339079927,131.52263910664712,1.2206258359022607e-139,0.9219954303576968,0.3044591297396616,632.8150194892913
conv15e_A0_wave_noSSL_gated_add_s42_l0,PTB-XL,Severe Conduction Defect,Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,100,61.96428492069838,32.908080970997695,116.67567638226471,2.1052474885864157e-37,0.910190311418685,0.3068771626297576,163.34293402831375
conv15e_A0_wave_noSSL_gated_add_s42_l0,PTB-XL,Severe Conduction Defect,Model 4 (+ Full Comorbidities),"age_clean, sex_clean, bmi_clean, pacemaker_flag",678,100,63.16591116698616,33.44355073193134,119.30349039601428,2.1717776287857505e-37,0.9114878892733563,0.3037629757785466,163.28108229167225
conv15e_A0_wave_noSSL_gated_add_s42_l0,PTB-XL,Myocardial Infarction,Model 1 (Unadjusted),None,2198,532,5.21162779785087,4.180472955375946,6.4971271416559935,9.085839924841482e-49,0.6519002337777215,0.15190023377772155,215.4066152370465
conv15e_A0_wave_noSSL_gated_add_s42_l0,PTB-XL,Myocardial Infarction,"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,532,5.1491774261024865,4.11392363944443,6.44494902901602,1.88285392123204e-46,0.7498787108828495,0.06501660814701826,204.78903844203603
conv15e_A0_wave_noSSL_gated_add_s42_l0,PTB-XL,Myocardial Infarction,Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,129,8.98382651272107,5.700145772495273,14.159135929490294,3.121293830052306e-21,0.8166786687564423,0.12138348794848985,89.46488736782955
conv15e_A0_wave_noSSL_gated_add_s42_l0,PTB-XL,Myocardial Infarction,Model 4 (+ Full Comorbidities),"age_clean, sex_clean, bmi_clean, pacemaker_flag",678,129,8.97803880272825,5.685928373114105,14.176256796416123,4.621516762902428e-21,0.8197286115700145,0.11932195252820488,88.68846748502486
conv15e_A0_wave_noSSL_gated_add_s42_l0,EchoNext,Structural Heart Disease (Moderate/Severe),Model 1 (Unadjusted),None,5442,2318,6.161336042159389,5.365337586983836,7.075428378730029,2.3276187636360667e-146,0.6624337561962882,0.1624337561962882,663.7127214462489
conv15e_A0_zscore_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),Model 1 (Unadjusted),None,2198,309,3482.629629629702,1389.0617982735303,8731.583542394967,9.69606506008181e-68,0.9831446237028889,0.4831446237028889,302.43811385817
conv15e_A0_zscore_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),"Model 2 (+ Age, Sex)","age_clean, sex_clean",2198,309,3665.9706042901107,1338.3599090082837,10041.649022106229,2.301119386276094e-57,0.9925184298125239,0.2513161704365764,254.82796495229977
conv15e_A0_zscore_s42_l0,PTB-XL,Complex Arrhythmia (AF/AFL),Model 3 (+ BMI),"age_clean, sex_clean, bmi_clean",678,110,2601.1825167541356,558.9778538812558,12104.505462044151,1.1966176697714686e-23,0.9754001280409732,0.31446862996158775,100.47895320183282
conv15e_A0_zscore_s42_l0,PTB-XL,Severe Conduction Defect,Model 1 (Unadjusted),None,2198,366,50.83946488294329,37.05230373997227,69.7568282858398,7.159850768479457e-131,0.8667093206385569,0.3667093206385569,592.5010193928057
