model_id,architecture_family,ptb_n_obs,qrs_error_mean_ms,qrs_error_median_ms,qrs_error_iqr_ms,sokolow_error_mean_mv,sokolow_error_median_mv,r_v3_mean,r_chest_mean,concord_conduction_delay_rate,concord_sokolow_lvh_rate,concord_arrhythmia_rate,concord_conduction_rate,concord_infarct_rate,concord_shd_rate,concord_lvef_45_rate,concord_lvwt_13_rate,concord_pasp_45_rate
D0_current_id_currentloss_s42_l0,Ansari 3DRECON-QT (D-Series),2198,10.317561419472247,8.0,10.0,0.6568454661837917,0.4802093952894211,0.6609825680722072,0.719087825356035,0.9440400363967243,0.8908098271155596,0.859417652411283,0.8334849863512284,0.7579617834394905,0.429,0.22,0.289,0.285
D1_theta_mul_currentloss_s42_l0,Ansari 3DRECON-QT (D-Series),2198,10.92356687898089,8.0,12.0,0.6154819728299853,0.4760282039642334,0.6621702785542635,0.7261423933598242,0.9390354868061874,0.8926296633303002,0.859417652411283,0.8334849863512284,0.7579617834394905,0.454,0.373,0.263,0.538
D2_current_id_l1_s42_l0,Ansari 3DRECON-QT (D-Series),2198,10.21383075523203,8.0,10.0,0.640991983899645,0.46512311697006226,0.6600169176438119,0.7288058985160014,0.943130118289354,0.8912647861692448,0.8598726114649682,0.8334849863512284,0.7579617834394905,0.465,0.333,0.347,0.276
D3_theta_mul_l1_s42_l0,Ansari 3DRECON-QT (D-Series),2198,10.361237488626024,8.0,10.0,0.6227886017252631,0.4508449584245682,0.6791855979764735,0.7381908121518754,0.9444949954504095,0.8935395814376706,0.8598726114649682,0.8334849863512284,0.7579617834394905,0.432,0.234,0.236,0.3
D4_learned12_mul_l1_s42_l0,Ansari 3DRECON-QT (D-Series),2198,10.058234758871702,8.0,10.0,0.6075624849332041,0.46096673607826233,0.6725012518552208,0.7335093044140495,0.9481346678798908,0.8912647861692448,0.8598726114649682,0.8334849863512284,0.7579617834394905,0.473,0.354,0.314,0.362
D5_permuted_theta_mul_l1_s42_l0,Ansari 3DRECON-QT (D-Series),2198,9.929026387625115,8.0,10.0,0.6286155472698539,0.4714720845222473,0.6748759439674263,0.7354324488333364,0.9454049135577798,0.8903548680618745,0.8598726114649682,0.8334849863512284,0.7579617834394905,0.462,0.32,0.281,0.349
D6_theta_add_l1_s42_l0,Ansari 3DRECON-QT (D-Series),2198,9.864422202001819,8.0,10.0,0.6358706178948677,0.4776015281677246,0.6738389095279208,0.7348228436851064,0.9449499545040946,0.8908098271155596,0.8598726114649682,0.8334849863512284,0.7579617834394905,0.468,0.316,0.304,0.356
D7_learned12_add_l1_s42_l0,Ansari 3DRECON-QT (D-Series),2198,10.117379435850774,8.0,10.0,0.618739977736599,0.45986542105674744,0.6711175508135752,0.7328660541761993,0.9394904458598726,0.8926296633303002,0.8598726114649682,0.8334849863512284,0.7579617834394905,0.5,0.428,0.331,0.478
D8_random12_mul_l1_s42_l0,Ansari 3DRECON-QT (D-Series),2198,10.579617834394904,8.0,10.0,0.6198994134695992,0.4562506377696991,0.6788073144499844,0.7377126973424815,0.9426751592356688,0.8939945404913557,0.8598726114649682,0.8334849863512284,0.7579617834394905,0.501,0.42,0.356,0.421
conv15e_A0_raw_s42_l0,Wavelet / MTL / SSL,2198,9.924476797088262,8.0,10.0,0.6978101451712592,0.5581251829862595,0.737715462563573,0.775162249412067,0.9472247497725205,0.8926296633303002,0.859417652411283,0.8334849863512284,0.7579617834394905,0.703,0.803,0.688,0.754
