family,metric,effect,effect_type,bootstrap_unit,endpoint_representation,estimate,ci_low,ci_high,n
unet,mse,correlation,main,paired_ptbxl_record,record_metric,,,,0
unet,mse,mmd,main,paired_ptbxl_record,record_metric,,,,0
unet,mse,derivative,main,paired_ptbxl_record,record_metric,,,,0
unet,mse,correlation:mmd,pairwise,paired_ptbxl_record,record_metric,,,,0
unet,mse,correlation:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
unet,mse,mmd:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
unet,mse,correlation:mmd:derivative,three_way,paired_ptbxl_record,record_metric,,,,0
unet,r2,correlation,main,paired_ptbxl_record,record_metric,,,,0
unet,r2,mmd,main,paired_ptbxl_record,record_metric,,,,0
unet,r2,derivative,main,paired_ptbxl_record,record_metric,,,,0
unet,r2,correlation:mmd,pairwise,paired_ptbxl_record,record_metric,,,,0
unet,r2,correlation:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
unet,r2,mmd:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
unet,r2,correlation:mmd:derivative,three_way,paired_ptbxl_record,record_metric,,,,0
unet,pearson,correlation,main,paired_ptbxl_record,record_metric,,,,0
unet,pearson,mmd,main,paired_ptbxl_record,record_metric,,,,0
unet,pearson,derivative,main,paired_ptbxl_record,record_metric,,,,0
unet,pearson,correlation:mmd,pairwise,paired_ptbxl_record,record_metric,,,,0
unet,pearson,correlation:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
unet,pearson,mmd:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
unet,pearson,correlation:mmd:derivative,three_way,paired_ptbxl_record,record_metric,,,,0
unet,qrs_correlation,correlation,main,paired_ptbxl_record,record_metric,,,,0
unet,qrs_correlation,mmd,main,paired_ptbxl_record,record_metric,,,,0
unet,qrs_correlation,derivative,main,paired_ptbxl_record,record_metric,,,,0
unet,qrs_correlation,correlation:mmd,pairwise,paired_ptbxl_record,record_metric,,,,0
unet,qrs_correlation,correlation:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
unet,qrs_correlation,mmd:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
unet,qrs_correlation,correlation:mmd:derivative,three_way,paired_ptbxl_record,record_metric,,,,0
unet,st_correlation,correlation,main,paired_ptbxl_record,record_metric,,,,0
unet,st_correlation,mmd,main,paired_ptbxl_record,record_metric,,,,0
unet,st_correlation,derivative,main,paired_ptbxl_record,record_metric,,,,0
unet,st_correlation,correlation:mmd,pairwise,paired_ptbxl_record,record_metric,,,,0
unet,st_correlation,correlation:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
unet,st_correlation,mmd:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
unet,st_correlation,correlation:mmd:derivative,three_way,paired_ptbxl_record,record_metric,,,,0
unet,j_point_amplitude_mae,correlation,main,paired_ptbxl_record,record_metric,,,,0
unet,j_point_amplitude_mae,mmd,main,paired_ptbxl_record,record_metric,,,,0
unet,j_point_amplitude_mae,derivative,main,paired_ptbxl_record,record_metric,,,,0
unet,j_point_amplitude_mae,correlation:mmd,pairwise,paired_ptbxl_record,record_metric,,,,0
unet,j_point_amplitude_mae,correlation:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
unet,j_point_amplitude_mae,mmd:derivative,pairwise,paired_ptbxl_record,record_metric,,,,0
