id,family,mask,reconstructed_macro_auroc,reference_macro_auroc,difference,ci_low,ci_high,margin,noninferior,n_records,n_resamples,method
ecgaim__e0c0m0d0__s42,ecgaim,0000,0.8789741772860119,0.8840532586792879,-0.005079081393275953,-0.010082145536117968,-0.0003299882348079233,0.02,True,2198,2000,paired_record_influence_function_BCa
ecgaim__e0c0m0d1__s42,ecgaim,0001,0.8784009291104762,0.8840532586792879,-0.005652329568811676,-0.01048576733257567,-0.00040981249097299974,0.02,True,2198,2000,paired_record_influence_function_BCa
ecgaim__e0c0m1d0__s42,ecgaim,0010,0.8815936464546857,0.8840532586792879,-0.0024596122246021146,-0.006922984994293142,0.0021298020867497928,0.02,True,2198,2000,paired_record_influence_function_BCa
ecgaim__e0c0m1d1__s42,ecgaim,0011,0.8801196172534518,0.8840532586792879,-0.003933641425836076,-0.008733784459649912,0.0013721192817246284,0.02,True,2198,2000,paired_record_influence_function_BCa
ecgaim__e0c1m0d0__s42,ecgaim,0100,0.8793350100848416,0.8840532586792879,-0.0047182485944462504,-0.009244517225043478,-0.00011224316088314347,0.02,True,2198,2000,paired_record_influence_function_BCa
ecgaim__e0c1m0d1__s42,ecgaim,0101,0.8801113274938214,0.8840532586792879,-0.003941931185466485,-0.008309031226148634,0.0006182181738396791,0.02,True,2198,2000,paired_record_influence_function_BCa
ecgaim__e0c1m1d0__s42,ecgaim,0110,0.8802885863685326,0.8840532586792879,-0.0037646723107552793,-0.008072090057125255,0.0009850128413424098,0.02,True,2198,2000,paired_record_influence_function_BCa
ecgaim__e0c1m1d1__s42,ecgaim,0111,0.8787470171777366,0.8840532586792879,-0.005306241501551234,-0.009843689700031036,-0.00046616262176565654,0.02,True,2198,2000,paired_record_influence_function_BCa
ecgaim__e1c0m0d0__s42,ecgaim,1000,0.8799433144273224,0.8840532586792879,-0.004109944251965425,-0.008794256699999729,0.0008370107450282473,0.02,True,2198,2000,paired_record_influence_function_BCa
ecgaim__e1c0m0d1__s42,ecgaim,1001,0.8794856063794259,0.8840532586792879,-0.004567652299862002,-0.009423440371803656,0.0007455883220252543,0.02,True,2198,2000,paired_record_influence_function_BCa
ecgaim__e1c0m1d0__s42,ecgaim,1010,0.8795697357580011,0.8840532586792879,-0.004483522921286731,-0.009360580610906024,0.000684258161817705,0.02,True,2198,2000,paired_record_influence_function_BCa
ecgaim__e1c0m1d1__s42,ecgaim,1011,0.8805088727581617,0.8840532586792879,-0.0035443859211261586,-0.008068532615309819,0.0015205571037210733,0.02,True,2198,2000,paired_record_influence_function_BCa
ecgaim__e1c1m0d0__s42,ecgaim,1100,0.8788106197771689,0.8840532586792879,-0.005242638902118957,-0.01008821211972914,-0.0002698982645033102,0.02,True,2198,2000,paired_record_influence_function_BCa
ecgaim__e1c1m0d1__s42,ecgaim,1101,0.8781790300208343,0.8840532586792879,-0.005874228658453551,-0.01029600042104977,-0.0011514777770251007,0.02,True,2198,2000,paired_record_influence_function_BCa
ecgaim__e1c1m1d0__s42,ecgaim,1110,0.8793493492590947,0.8840532586792879,-0.004703909420193164,-0.009327081203763864,0.00027242929050790243,0.02,True,2198,2000,paired_record_influence_function_BCa
ecgaim__e1c1m1d1__s42,ecgaim,1111,0.8803026576550486,0.8840532586792879,-0.0037506010242392973,-0.008154897847168632,0.0007382358012443525,0.02,True,2198,2000,paired_record_influence_function_BCa
msvae__e0c0m0d0__s42,msvae,0000,0.8566990584094515,0.8840532586792879,-0.02735420026983637,-0.03687921507285397,-0.018851172122548204,0.02,False,2198,2000,paired_record_influence_function_BCa
msvae__e0c0m0d1__s42,msvae,0001,0.8567218999254342,0.8840532586792879,-0.02733135875385362,-0.03679974861842569,-0.01871060851980493,0.02,False,2198,2000,paired_record_influence_function_BCa
msvae__e0c0m1d0__s42,msvae,0010,0.8564610895757699,0.8840532586792879,-0.027592169103517916,-0.037060546434028355,-0.019136736915174868,0.02,False,2198,2000,paired_record_influence_function_BCa
msvae__e0c0m1d1__s42,msvae,0011,0.8567322102766987,0.8840532586792879,-0.0273210484025892,-0.036812800040962455,-0.018704075319066666,0.02,False,2198,2000,paired_record_influence_function_BCa
msvae__e0c1m0d0__s42,msvae,0100,0.8601777990414682,0.8840532586792879,-0.023875459637819674,-0.031033537325129704,-0.01742408745281427,0.02,False,2198,2000,paired_record_influence_function_BCa
msvae__e0c1m0d1__s42,msvae,0101,0.863491367843677,0.8840532586792879,-0.020561890835610885,-0.028107649718222452,-0.014350409569510971,0.02,False,2198,2000,paired_record_influence_function_BCa
msvae__e0c1m1d0__s42,msvae,0110,0.8603060146251523,0.8840532586792879,-0.02374724405413553,-0.03136630271734782,-0.01725874788099488,0.02,False,2198,2000,paired_record_influence_function_BCa
