family,metric,effect,effect_type,protocol,bootstrap_unit,endpoint_representation,estimate,ci_low,ci_high,n
unet,mse,mse,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.19474820822951344,-0.19571605605046524,-0.19382202874769455,2198
unet,mse,correlation,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.08880841878397684,-0.09007361918738342,-0.08753145916870021,2198
unet,mse,mmd,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,6.428905849328504e-06,-9.63193676348444e-07,1.3758099833811222e-05,2198
unet,mse,derivative,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.030033503111797033,-0.03034928785268649,-0.029717447955855923,2198
unet,mse,mse:correlation,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.17766619476363826,0.1750396270142492,0.1803119915749285,2198
unet,mse,mse:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,1.8465278650171297e-05,3.7430959638177066e-06,3.314754279267079e-05,2198
unet,mse,mse:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.0600410176334377,0.059382823870253953,0.060655328895965976,2198
unet,mse,correlation:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-6.753920790488519e-06,-1.9806467622045933e-05,6.341503670224525e-06,2198
unet,mse,correlation:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.06854392512628837,0.06794324189492064,0.0691133125091227,2198
unet,mse,mmd:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-4.66595385074268e-05,-6.10881667206681e-05,-2.8267581482257858e-05,2198
unet,mse,mse:correlation:mmd,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-2.4725907575211966e-05,-5.1202629149259256e-05,1.3114024412079393e-06,2198
