family,metric,effect,effect_type,protocol,bootstrap_unit,endpoint_representation,estimate,ci_low,ci_high,n
unet,mse,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,2.4678597842288915e-05,-0.00014667504498884268,0.0002173975318906258,2198
unet,mse,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,1.5661545174414152e-05,8.87610699161412e-07,3.0320655098949673e-05,2198
unet,mse,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-1.2994295078180595e-05,-3.9946733677063086e-05,1.8047827142538746e-05,2198
unet,mse,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-1.91168745780945e-05,-4.561716877448983e-05,7.046708494186667e-06,2198
unet,mse,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.0001452984670471583,-0.0002118719121653199,-7.847257441158445e-05,2198
unet,mse,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-9.090967517785958e-05,-0.00011991007056018318,-5.4180625964916965e-05,2198
unet,mse,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.0002743370726249529,0.00021648494947532965,0.00033431515151472244,2198
unet,r2,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.02794530656121409,-0.0354784899625022,-0.021160678985113878,2198
unet,r2,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-9.454968307011365e-05,-0.00047043714150693826,0.00021728478266141182,2198
unet,r2,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.004107252629242352,0.0033208778839748693,0.005146378810627979,2198
unet,r2,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.001771363550324664,-0.00240164381042227,-0.0011303440946201341,2198
unet,r2,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.006308667668160703,0.004832183994808362,0.008112400446955603,2198
unet,r2,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.0015627204716901334,0.0007874951732626946,0.002224215137163956,2198
unet,r2,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.013726421531240665,-0.015231361229917329,-0.012380181216889285,2198
unet,pearson,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.038632135119651856,0.0375635220555856,0.03973964434489789,2198
unet,pearson,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.00018604247202864553,-0.0002580774710605048,-0.00012035029686979156,2198
unet,pearson,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.00031612870080889734,0.00012580467389874107,0.0005235693745760193,2198
unet,pearson,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.00028606763175664107,0.00012088633912795449,0.0004410553647785749,2198
unet,pearson,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.0008133887715834287,0.0004126573948990975,0.0012413303511234406,2198
unet,pearson,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.0021921792241309966,0.002026578341774037,0.0023446043503138557,2198
unet,pearson,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.0049062588873291365,-0.005267086243644548,-0.004548162891575598,2198
unet,qrs_correlation,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.011590708440916692,0.010590142954908677,0.012630310290352878,2198
unet,qrs_correlation,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.0002592965291070239,-0.000342315419896339,-0.00018188145539479693,2198
unet,qrs_correlation,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.0007881481848672072,0.0005799477447466125,0.0010049687786094826,2198
unet,qrs_correlation,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.0001546876631396306,-4.426472952435729e-05,0.0003583587090228779,2198
unet,qrs_correlation,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.0012950409935529386,-0.001751853749872943,-0.0008901724012939772,2198
unet,qrs_correlation,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.00233161816325004,0.002149994716724404,0.002511957518290657,2198
unet,qrs_correlation,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.005251091581093098,-0.0057303544518097545,-0.004787744249893678,2198
unet,st_correlation,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.019922677880740338,0.018407172453197555,0.021532332447789425,2198
unet,st_correlation,mmd,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.000511022565205422,-0.0006830184305678918,-0.0003221267510549586,2198
unet,st_correlation,derivative,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.0004041283528963067,1.7302856821369807e-05,0.0008100855960771044,2198
unet,st_correlation,correlation:mmd,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.00041871240447668626,5.460735480906002e-05,0.0007906900134935701,2198
unet,st_correlation,correlation:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.00012919220922274352,-0.000673945537627691,0.0008461676886340106,2198
unet,st_correlation,mmd:derivative,pairwise,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.0005314670486048363,-0.0008758252467441819,-0.00017422108870164638,2198
unet,st_correlation,correlation:mmd:derivative,three_way,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,0.0002330445954488022,-0.0005128821298694244,0.0009430377442331476,2198
unet,j_point_amplitude_mae,correlation,main,prespecified_2x2x2_with_mse_on,paired_ptbxl_record,record_metric,-0.0006321672521984108,-0.0009341360839152043,-0.00034320931418230997,2198
