id,family,mask,mse,r2,pearson,qrs_correlation,st_correlation,ecgfounder_auroc,morphology_coverage
unet__e0c0m0d0__s42,unet,0000,0.36935644019816,-22.559578293773455,-0.02974174864392058,-0.03434283636876815,0.0399135160114519,0.7049855726217665,1.0
unet__e0c0m0d1__s42,unet,0001,0.24068826403106364,-13.999888356086181,0.10343785496066477,0.16630188476908392,-0.09708005768130219,0.7061499202507546,1.0
unet__e0c0m1d0__s42,unet,0010,0.3693532420226169,-22.559184005535016,-0.029755552470030214,-0.0343593985444912,0.039903602937527885,0.7049955698735518,1.0
unet__e0c0m1d1__s42,unet,0011,0.24068024645022343,-13.998616063333284,0.10343812121365178,0.16629950657546627,-0.09707887372718836,0.7061654647978887,1.0
unet__e0c1m0d0__s42,unet,0100,0.12309675052956376,-5.7762832219017834,0.8824838052539827,0.9011143549430967,0.7767458932155237,0.8572262139618917,1.0
unet__e0c1m0d1__s42,unet,0101,0.13165931320599245,-6.392063560057139,0.8827730547777984,0.9016233721939746,0.773940573918755,0.8517347330317283,1.0
unet__e0c1m1d0__s42,unet,0110,0.12309675123781469,-5.776283242044188,0.8824838031207257,0.9011143528994425,0.7767458960428492,0.857227304301286,1.0
unet__e0c1m1d1__s42,unet,0111,0.1316593137042827,-6.392063547718598,0.8827730527289077,0.9016233676163243,0.773940571228821,0.8517331608016063,1.0
unet__e1c0m0d0__s42,unet,1000,0.021338786042822515,0.6996845838641773,0.8709686506555026,0.8921145689054644,0.7495375797067081,0.8648598807758251,1.0
unet__e1c0m0d1__s42,unet,1001,0.021512480037574663,0.6964245354721874,0.868555429731193,0.890598421576785,0.7526552236585311,0.862371805295083,1.0
unet__e1c0m1d0__s42,unet,1010,0.021478045222381045,0.6962627523704217,0.8683169205911166,0.8892784340414744,0.7499327892080488,0.8631560426696329,1.0
unet__e1c0m1d1__s42,unet,1011,0.021423661001149712,0.70142863595188,0.8705490107797128,0.8926405471853528,0.7512270642343443,0.8636350711851318,1.0
unet__e1c1m0d0__s42,unet,1100,0.021514256488791177,0.6660390203774801,0.9078244928546653,0.9276928488112609,0.7969583222910384,0.8674222458447751,1.0
unet__e1c1m0d1__s42,unet,1101,0.021405483518540106,0.675950851732457,0.9086777911052679,0.9286917424038934,0.7981629974596848,0.8687399479169652,1.0
unet__e1c1m1d0__s42,unet,1110,0.02149723052260199,0.667709032953623,0.9079119575215283,0.9278188684258171,0.7967658700111722,0.8677698424883287,1.0
unet__e1c1m1d1__s42,unet,1111,0.02143471615947229,0.6723203747702277,0.9085043087464568,0.928514186034095,0.7967820152933813,0.8695632750450654,1.0
msvae__e0c0m0d0__s42,msvae,0000,0.023930807711557193,0.602324945736722,0.8156899702391096,0.841083485805359,0.6539416689757387,0.8566990584094515,1.0
msvae__e0c0m0d1__s42,msvae,0001,0.02401626153964628,0.6022610255674217,0.8152827163904939,0.8405544023246458,0.6538555151601538,0.8567218999254342,1.0
msvae__e0c0m1d0__s42,msvae,0010,0.02401552236952515,0.5988271925419482,0.8142437320449285,0.8394806334561498,0.6533924848418671,0.8564610895757699,1.0
