id,family,mask,mse,r2,pearson,qrs_correlation,st_correlation,ecgfounder_auroc,morphology_coverage
unet__e1c0m0d0__s42,unet,000,0.021338786042822515,0.6996845838641773,0.8709686506555026,0.8921145689054644,0.7495375797067081,0.8648598807758251,1.0
unet__e1c0m0d1__s42,unet,001,0.021512480037574663,0.6964245354721874,0.868555429731193,0.890598421576785,0.7526552236585311,0.862371805295083,1.0
unet__e1c0m1d0__s42,unet,010,0.021478045222381045,0.6962627523704217,0.8683169205911166,0.8892784340414744,0.7499327892080488,0.8631560426696329,1.0
unet__e1c0m1d1__s42,unet,011,0.021423661001149712,0.70142863595188,0.8705490107797128,0.8926405471853528,0.7512270642343443,0.8636350711851318,1.0
unet__e1c1m0d0__s42,unet,100,0.021514256488791177,0.6660390203774801,0.9078244928546653,0.9276928488112609,0.7969583222910384,0.8674222458447751,1.0
unet__e1c1m0d1__s42,unet,101,0.021405483518540106,0.675950851732457,0.9086777911052679,0.9286917424038934,0.7981629974596848,0.8687399479169652,1.0
unet__e1c1m1d0__s42,unet,110,0.02149723052260199,0.667709032953623,0.9079119575215283,0.9278188684258171,0.7967658700111722,0.8677698424883287,1.0
unet__e1c1m1d1__s42,unet,111,0.02143471615947229,0.6723203747702277,0.9085043087464568,0.928514186034095,0.7967820152933813,0.8695632750450654,1.0
msvae__e1c0m0d0__s42,msvae,000,0.018343281349901028,0.8002009851760659,0.9122897969400086,0.9313920251954738,0.8050830173425036,0.8795495820097171,1.0
msvae__e1c0m0d1__s42,msvae,001,0.01838107116571657,0.7998366282919327,0.9120988782912194,0.9313133370819702,0.8045428305222946,0.879575398934111,1.0
msvae__e1c0m1d0__s42,msvae,010,0.01831209769303921,0.801129676263767,0.9125550709218133,0.9316483442891759,0.8056205612915442,0.8796960177839792,1.0
msvae__e1c0m1d1__s42,msvae,011,0.018348388977159732,0.8006336470155742,0.9123209699703629,0.9314946361888484,0.8047273004234791,0.8796039245326048,1.0
msvae__e1c1m0d0__s42,msvae,100,0.017921197518274548,0.8155215841407012,0.9219244689023502,0.9401939974628493,0.8216660080796859,0.8799918914774811,1.0
msvae__e1c1m0d1__s42,msvae,101,0.017917268262667815,0.8157762851106205,0.9219354891268432,0.9402160829433658,0.8216498901054522,0.8800052006034728,1.0
msvae__e1c1m1d0__s42,msvae,110,0.017913346340832005,0.8158957394987373,0.9219525282092023,0.9401996339522389,0.8218681516664487,0.8804299787545312,1.0
msvae__e1c1m1d1__s42,msvae,111,0.017925185949989694,0.8165041925017434,0.9218998599879217,0.9401631312340683,0.8216308951064277,0.8798020858294676,1.0
ecgaim__e1c0m0d0__s42,ecgaim,000,0.018692084018647904,0.8075978690989036,0.9168895449993669,0.9355578602653333,0.8115540712977178,0.8799433144273224,1.0
ecgaim__e1c0m0d1__s42,ecgaim,001,0.018852367072173023,0.8072292165855778,0.9157539574155769,0.9342157385810699,0.8113043725461855,0.8794856063794259,1.0
ecgaim__e1c0m1d0__s42,ecgaim,010,0.018737727106607618,0.8051842371188839,0.9161457881299806,0.9345667246306346,0.8116757939574017,0.8795697357580011,1.0
ecgaim__e1c0m1d1__s42,ecgaim,011,0.01865338310301123,0.8083107566799749,0.9171837878870827,0.9356040527964437,0.8124381939633899,0.8805088727581617,1.0
ecgaim__e1c1m0d0__s42,ecgaim,100,0.018055258002919683,0.820707273762287,0.9246991143020771,0.9420278154177587,0.8325106216491396,0.8788106197771689,1.0
ecgaim__e1c1m0d1__s42,ecgaim,101,0.01807110228585777,0.8219467579667626,0.9247838668883023,0.9422126346284784,0.8319511074103599,0.8781790300208343,1.0
ecgaim__e1c1m1d0__s42,ecgaim,110,0.018024486352141465,0.8212482766583962,0.9248503383907024,0.9422816127818444,0.8325160563209036,0.8793493492590947,1.0
ecgaim__e1c1m1d1__s42,ecgaim,111,0.017998908507748504,0.823839008603247,0.9248552084595837,0.9422511169389703,0.8327761884847876,0.8803026576550486,1.0
