id,family,mask,reconstructed_macro_auroc,reference_macro_auroc,difference,ci_low,ci_high,margin,noninferior,n_records,n_patients,n_resamples,method
ecgaim__e0c0m0d0__s42,ecgaim,0000,0.8794722043464505,0.8840509462462809,-0.00457874189983043,-0.009574591377190517,0.00018965983298419432,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
ecgaim__e0c0m0d1__s42,ecgaim,0001,0.8781024762469943,0.8840509462462809,-0.005948469999286554,-0.011207923757768566,-0.0012390492868994438,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
ecgaim__e0c0m1d0__s42,ecgaim,0010,0.8791624629809945,0.8840509462462809,-0.0048884832652863475,-0.010208114504553457,-0.0006087251378804796,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
ecgaim__e0c0m1d1__s42,ecgaim,0011,0.8795771953771944,0.8840509462462809,-0.0044737508690865235,-0.00932406252452987,-0.00026812235281661146,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
ecgaim__e0c1m0d0__s42,ecgaim,0100,0.8784714926368307,0.8840509462462809,-0.0055794536094502245,-0.010694370468506686,-0.0012412544433335814,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
ecgaim__e0c1m0d1__s42,ecgaim,0101,0.8794425462546325,0.8840509462462809,-0.004608399991648415,-0.009698119080427886,-0.00012136288124694065,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
ecgaim__e0c1m1d0__s42,ecgaim,0110,0.8797296649209936,0.8840509462462809,-0.004321281325287307,-0.009273637968920606,-8.2458841885813e-05,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
ecgaim__e0c1m1d1__s42,ecgaim,0111,0.8794667561868589,0.8840509462462809,-0.004584190059422011,-0.009178672877243825,-0.0002357617053660884,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
ecgaim__e1c0m0d0__s42,ecgaim,1000,0.8793847976304898,0.8840509462462809,-0.004666148615791066,-0.010035103282800972,9.528926032568866e-05,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
ecgaim__e1c0m0d1__s42,ecgaim,1001,0.8796449639132785,0.8840509462462809,-0.004405982333002378,-0.00976234106504589,0.00024643864956410875,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
ecgaim__e1c0m1d0__s42,ecgaim,1010,0.8795757067768677,0.8840509462462809,-0.004475239469413195,-0.009919900307598997,-0.00013876954687108069,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
ecgaim__e1c0m1d1__s42,ecgaim,1011,0.8801594717652705,0.8840509462462809,-0.0038914744810103485,-0.008919457158875481,0.0004997609120267967,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
ecgaim__e1c1m0d0__s42,ecgaim,1100,0.8795691983960444,0.8840509462462809,-0.004481747850236473,-0.00935881733595566,-0.00012526330240735493,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
ecgaim__e1c1m0d1__s42,ecgaim,1101,0.8792774760087184,0.8840509462462809,-0.004773470237562472,-0.009772359327987517,-0.0003129757909071294,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
ecgaim__e1c1m1d0__s42,ecgaim,1110,0.8791832699369279,0.8840509462462809,-0.004867676309353031,-0.009994546419422897,-0.00043184077639836434,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
ecgaim__e1c1m1d1__s42,ecgaim,1111,0.8794940266864143,0.8840509462462809,-0.00455691955986659,-0.009695402263384032,-0.00020746244623747378,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
msvae__e0c0m0d0__s42,msvae,0000,0.87955263978029,0.8840509462462809,-0.00449830646599092,-0.010220402043187993,0.0010594335177945625,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
msvae__e0c0m0d1__s42,msvae,0001,0.8795733678014287,0.8840509462462809,-0.004477578444852193,-0.01020093768718179,0.0010858265059231075,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
msvae__e0c0m1d0__s42,msvae,0010,0.879386662252746,0.8840509462462809,-0.004664283993534912,-0.010427087021335778,0.0007963117927357431,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
msvae__e0c0m1d1__s42,msvae,0011,0.8792821588205341,0.8840509462462809,-0.004768787425746823,-0.010460134220171894,0.0005830304672457151,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
msvae__e0c1m0d0__s42,msvae,0100,0.8799993986489346,0.8840509462462809,-0.004051547597346272,-0.00973049207929041,0.000657231335592652,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
msvae__e0c1m0d1__s42,msvae,0101,0.8800080764907418,0.8840509462462809,-0.004042869755539136,-0.009560323267203111,0.0006726062362035307,0.02,True,2198,1904,2000,paired_patient_cluster_influence_function_BCa
