id,family,mask,inference_status,mse,r2,pearson,qrs_correlation,st_correlation,ecgfounder_auroc,morphology_coverage
unet__e0c0m0d0__s42,unet,0000,valid,0.369317338264426,-22.557069933675994,-0.029748908788969117,-0.03434969433704355,0.039898093692210604,0.7049866218750166,1.0
unet__e0c0m0d1__s42,unet,0001,valid,0.14190921019335365,-7.608751538006893,0.2610409556749725,0.3421085104416953,0.1338904433124274,0.7514985415548635,1.0
unet__e0c0m1d0__s42,unet,0010,valid,0.037077864450044545,-0.12148516250866725,0.6586467161806273,0.6758068958176244,0.562347781578424,0.8280577523908532,1.0
unet__e0c0m1d1__s42,unet,0011,valid,0.039758244317405426,-0.18553747477322682,0.618398325506663,0.6386833944763682,0.5106595317912993,0.8174190253492772,1.0
unet__e0c1m0d0__s42,unet,0100,valid,0.09856112763028141,-4.667465606788909,0.8996900546515799,0.9171468565821984,0.8064608101789619,0.8657546632086311,1.0
unet__e0c1m0d1__s42,unet,0101,valid,0.09830497060167742,-4.677869923573246,0.9122767925214242,0.9304221174511668,0.8141228334097925,0.8651840478151,1.0
unet__e0c1m1d0__s42,unet,0110,valid,0.030577366688012617,0.11062591858211945,0.9117625073274893,0.930747382330232,0.8122214803977412,0.8665979978522438,1.0
unet__e0c1m1d1__s42,unet,0111,valid,0.030507080602332513,0.11631085327645188,0.9117919175403808,0.9303998612979952,0.814103326358692,0.8638048691233996,1.0
unet__e1c0m0d0__s42,unet,1000,valid,0.021338816459392736,0.6996671764183643,0.8709652103026442,0.8921105876036751,0.749540037218894,0.864848864329016,1.0
unet__e1c0m0d1__s42,unet,1001,valid,0.021512480142439307,0.6964364777126203,0.8685557122732388,0.8906000025980978,0.752656079298068,0.8623679612195351,1.0
unet__e1c0m1d0__s42,unet,1010,valid,0.02133767702802466,0.6937846553878854,0.8703410454556164,0.8912121773300916,0.7568614332537289,0.8667387909205383,1.0
unet__e1c0m1d1__s42,unet,1011,valid,0.021426660222431584,0.6875021778383796,0.8676630265429991,0.8887385892124422,0.754012276883037,0.8614581639893701,1.0
unet__e1c1m0d0__s42,unet,1100,valid,0.021514313088624257,0.6660497249914319,0.90782281306549,0.9276917910764847,0.7969514854233328,0.8674165560160595,1.0
unet__e1c1m0d1__s42,unet,1101,valid,0.021405458112660168,0.6759422108396917,0.9086795389778801,0.9286930316336335,0.7981725770828341,0.8687347904207434,1.0
unet__e1c1m1d0__s42,unet,1110,valid,0.021390747980039315,0.6624078841484686,0.9084979450602633,0.9286258457466253,0.79463324430097,0.8681695010793837,1.0
unet__e1c1m1d1__s42,unet,1111,valid,0.021354301081927287,0.6603835195034801,0.9088068082665015,0.9285798198383736,0.798075490466889,0.8687698725113572,1.0
msvae__e0c0m0d0__s42,msvae,0000,invalid_msvae_mse_toggle_quarantined,0.018343294567339172,0.8002013596349702,0.9122898469932063,0.9313919722328281,0.8050831397272307,0.87955263978029,1.0
msvae__e0c0m0d1__s42,msvae,0001,invalid_msvae_mse_toggle_quarantined,0.018381085211788842,0.7998364486825466,0.9120987629025087,0.9313132412494032,0.8045429222048084,0.8795733678014287,1.0
msvae__e0c0m1d0__s42,msvae,0010,invalid_msvae_mse_toggle_quarantined,0.018304414856247057,0.7973377676417982,0.9126873109883262,0.9316181001326288,0.8064059233313737,0.879386662252746,1.0
msvae__e0c0m1d1__s42,msvae,0011,invalid_msvae_mse_toggle_quarantined,0.018280828228349717,0.7981570277533678,0.9129905061429654,0.9319004006291877,0.8070838574501393,0.8792821588205341,1.0
msvae__e0c1m0d0__s42,msvae,0100,invalid_msvae_mse_toggle_quarantined,0.017921200428504626,0.8155224764386849,0.9219244672632377,0.9401940147780273,0.8216656378811131,0.8799993986489346,1.0
msvae__e0c1m0d1__s42,msvae,0101,invalid_msvae_mse_toggle_quarantined,0.017917277640089227,0.8157767961943865,0.9219353900207883,0.9402159592013978,0.8216498117134201,0.8800080764907418,1.0
msvae__e0c1m1d0__s42,msvae,0110,invalid_msvae_mse_toggle_quarantined,0.017937717499355493,0.8107716498945253,0.9218935540804498,0.940132171735595,0.8217574656672105,0.8798809397847582,1.0
msvae__e0c1m1d1__s42,msvae,0111,invalid_msvae_mse_toggle_quarantined,0.017950182848899408,0.8098879948555188,0.9218771404883049,0.9401183292724545,0.8216881391491333,0.8797582784749105,1.0
msvae__e1c0m0d0__s42,msvae,1000,valid,0.018343294567339172,0.8002013596349702,0.9122898469932063,0.9313919722328281,0.8050831397272307,0.87955263978029,1.0
msvae__e1c0m0d1__s42,msvae,1001,valid,0.018381085211788842,0.7998364486825466,0.9120987629025087,0.9313132412494032,0.8045429222048084,0.8795733678014287,1.0
msvae__e1c0m1d0__s42,msvae,1010,valid,0.018304414856247057,0.7973377676417982,0.9126873109883262,0.9316181001326288,0.8064059233313737,0.879386662252746,1.0
msvae__e1c0m1d1__s42,msvae,1011,valid,0.018280828228349717,0.7981570277533678,0.9129905061429654,0.9319004006291877,0.8070838574501393,0.8792821588205341,1.0
msvae__e1c1m0d0__s42,msvae,1100,valid,0.017921200428504626,0.8155224764386849,0.9219244672632377,0.9401940147780273,0.8216656378811131,0.8799993986489346,1.0
msvae__e1c1m0d1__s42,msvae,1101,valid,0.017917277640089227,0.8157767961943865,0.9219353900207883,0.9402159592013978,0.8216498117134201,0.8800080764907418,1.0
msvae__e1c1m1d0__s42,msvae,1110,valid,0.017937717499355493,0.8107716498945253,0.9218935540804498,0.940132171735595,0.8217574656672105,0.8798809397847582,1.0
msvae__e1c1m1d1__s42,msvae,1111,valid,0.017950182848899408,0.8098879948555188,0.9218771404883049,0.9401183292724545,0.8216881391491333,0.8797582784749105,1.0
ecgaim__e0c0m0d0__s42,ecgaim,0000,valid,0.01884221515547288,0.8065583011328108,0.9162691778920199,0.934761699776058,0.811105684778856,0.8794722043464505,1.0
ecgaim__e0c0m0d1__s42,ecgaim,0001,valid,0.018918448437864385,0.8050528122216671,0.91556951840815,0.9338989849650581,0.8112530778569149,0.8781024762469943,1.0
ecgaim__e0c0m1d0__s42,ecgaim,0010,valid,0.01871403106702084,0.8033332031183664,0.9162407262707828,0.9346376114477704,0.8120353362291268,0.8791624629809945,1.0
ecgaim__e0c0m1d1__s42,ecgaim,0011,valid,0.018801768067507156,0.804619505315998,0.9162726679485592,0.9346844610206748,0.8107480402509705,0.8795771953771944,1.0
ecgaim__e0c1m0d0__s42,ecgaim,0100,valid,0.018094113750824634,0.8219117225933914,0.9248389120760466,0.9423394912648959,0.8328165003563454,0.8784714926368307,1.0
ecgaim__e0c1m0d1__s42,ecgaim,0101,valid,0.01809901022980493,0.819832019600537,0.9246628634694155,0.9420208283062201,0.8321236387834601,0.8794425462546325,1.0
ecgaim__e0c1m1d0__s42,ecgaim,0110,valid,0.018036340427683116,0.8202479765709509,0.9250083692321377,0.9424046927194373,0.8325111110353498,0.8797296649209936,1.0
ecgaim__e0c1m1d1__s42,ecgaim,0111,valid,0.01802312648368429,0.8219355921715893,0.9250721443098365,0.9423806003927063,0.8329182031638428,0.8794667561868589,1.0
