id,family,mask,inference_status,mse,r2,pearson,qrs_correlation,st_correlation,ecgfounder_auroc,morphology_coverage
unet__e1c0m0d0__s42,unet,000,valid,0.021338816459392736,0.6996671764183643,0.8709652103026442,0.8921105876036751,0.749540037218894,0.864848864329016,1.0
unet__e1c0m0d1__s42,unet,001,valid,0.021512480142439307,0.6964364777126203,0.8685557122732388,0.8906000025980978,0.752656079298068,0.8623679612195351,1.0
unet__e1c0m1d0__s42,unet,010,valid,0.02133767702802466,0.6937846553878854,0.8703410454556164,0.8912121773300916,0.7568614332537289,0.8667387909205383,1.0
unet__e1c0m1d1__s42,unet,011,valid,0.021426660222431584,0.6875021778383796,0.8676630265429991,0.8887385892124422,0.754012276883037,0.8614581639893701,1.0
unet__e1c1m0d0__s42,unet,100,valid,0.021514313088624257,0.6660497249914319,0.90782281306549,0.9276917910764847,0.7969514854233328,0.8674165560160595,1.0
unet__e1c1m0d1__s42,unet,101,valid,0.021405458112660168,0.6759422108396917,0.9086795389778801,0.9286930316336335,0.7981725770828341,0.8687347904207434,1.0
unet__e1c1m1d0__s42,unet,110,valid,0.021390747980039315,0.6624078841484686,0.9084979450602633,0.9286258457466253,0.79463324430097,0.8681695010793837,1.0
unet__e1c1m1d1__s42,unet,111,valid,0.021354301081927287,0.6603835195034801,0.9088068082665015,0.9285798198383736,0.798075490466889,0.8687698725113572,1.0
msvae__e1c0m0d0__s42,msvae,000,valid,0.018343294567339172,0.8002013596349702,0.9122898469932063,0.9313919722328281,0.8050831397272307,0.87955263978029,1.0
msvae__e1c0m0d1__s42,msvae,001,valid,0.018381085211788842,0.7998364486825466,0.9120987629025087,0.9313132412494032,0.8045429222048084,0.8795733678014287,1.0
msvae__e1c0m1d0__s42,msvae,010,valid,0.018304414856247057,0.7973377676417982,0.9126873109883262,0.9316181001326288,0.8064059233313737,0.879386662252746,1.0
msvae__e1c0m1d1__s42,msvae,011,valid,0.018280828228349717,0.7981570277533678,0.9129905061429654,0.9319004006291877,0.8070838574501393,0.8792821588205341,1.0
msvae__e1c1m0d0__s42,msvae,100,valid,0.017921200428504626,0.8155224764386849,0.9219244672632377,0.9401940147780273,0.8216656378811131,0.8799993986489346,1.0
msvae__e1c1m0d1__s42,msvae,101,valid,0.017917277640089227,0.8157767961943865,0.9219353900207883,0.9402159592013978,0.8216498117134201,0.8800080764907418,1.0
msvae__e1c1m1d0__s42,msvae,110,valid,0.017937717499355493,0.8107716498945253,0.9218935540804498,0.940132171735595,0.8217574656672105,0.8798809397847582,1.0
msvae__e1c1m1d1__s42,msvae,111,valid,0.017950182848899408,0.8098879948555188,0.9218771404883049,0.9401183292724545,0.8216881391491333,0.8797582784749105,1.0
ecgaim__e1c0m0d0__s42,ecgaim,000,valid,0.018787472891899155,0.806887189149495,0.9164030559864919,0.9346141623700321,0.8115190307081747,0.8793847976304898,1.0
ecgaim__e1c0m0d1__s42,ecgaim,001,valid,0.01894355190037934,0.8036252931159615,0.9158008057865524,0.9343645814858325,0.8106686507537688,0.8796449639132785,1.0
ecgaim__e1c0m1d0__s42,ecgaim,010,valid,0.01854654363880335,0.8101405773687358,0.9178355948506322,0.9364136759517008,0.8122924877995663,0.8795757067768677,1.0
ecgaim__e1c0m1d1__s42,ecgaim,011,valid,0.018665937853317483,0.8068300803912178,0.9163924134207887,0.9348170593726496,0.8122340142552964,0.8801594717652705,1.0
ecgaim__e1c1m0d0__s42,ecgaim,100,valid,0.01800790827334976,0.8207427952530869,0.92468997921383,0.942238692030756,0.8318718554558684,0.8795691983960444,1.0
ecgaim__e1c1m0d1__s42,ecgaim,101,valid,0.018044366507530336,0.8213559712236517,0.9249823703019592,0.9422308304406039,0.8332156291290109,0.8792774760087184,1.0
ecgaim__e1c1m1d0__s42,ecgaim,110,valid,0.018046564650363237,0.819567949824188,0.925127493577085,0.9425737804056493,0.8324669333768528,0.8791832699369279,1.0
ecgaim__e1c1m1d1__s42,ecgaim,111,valid,0.018089362551194327,0.8186546013432632,0.9248024435547602,0.9422305455204528,0.8323174737817192,0.8794940266864143,1.0
