family,metric,effect,estimate,ci_low,ci_high,bootstrap_unit,n,n_patients,n_resamples,method
ecgaim,ecgfounder_auroc,correlation,-0.00031024226445039394,-0.0021073192298263865,0.0017889041083189619,paired_ptbxl_patient_cluster,2198,1904,2000,paired_patient_cluster_BCa
ecgaim,ecgfounder_auroc,derivative,0.00021574140833799355,-0.0005278160228074346,0.0010939489620771813,paired_ptbxl_patient_cluster,2198,1904,2000,paired_patient_cluster_BCa
ecgaim,ecgfounder_auroc,mmd,0.00013400980423730827,-0.0007840738165584922,0.0010383107257953452,paired_ptbxl_patient_cluster,2198,1904,2000,paired_patient_cluster_BCa
msvae,ecgfounder_auroc,correlation,0.00046296618608659485,-0.0018390783294813951,0.002857697670772551,paired_ptbxl_patient_cluster,2198,1904,2000,paired_patient_cluster_BCa
msvae,ecgfounder_auroc,derivative,-4.943971977844308e-05,-0.00023165245821152552,0.00011879146504950942,paired_ptbxl_patient_cluster,2198,1904,2000,paired_patient_cluster_BCa
msvae,ecgfounder_auroc,mmd,-0.0002063608471115634,-0.0007076136614229953,0.00019026005930950412,paired_ptbxl_patient_cluster,2198,1904,2000,paired_patient_cluster_BCa
unet,ecgfounder_auroc,correlation,0.004419234892271081,0.0004737307719168513,0.008644934914035998,paired_ptbxl_patient_cluster,2198,1904,2000,paired_patient_cluster_BCa
unet,ecgfounder_auroc,derivative,-0.001460731050997922,-0.0029804534164414843,-8.126020219767765e-05,paired_ptbxl_patient_cluster,2198,1904,2000,paired_patient_cluster_BCa
unet,ecgfounder_auroc,mmd,0.00044203912882384485,-0.0005877834094924762,0.0014742370545242024,paired_ptbxl_patient_cluster,2198,1904,2000,paired_patient_cluster_BCa
ecgaim,qrs_correlation,correlation,0.007805096807695502,0.007194155035260664,0.008420636241245201,paired_ptbxl_patient_cluster,2198,1904,2000,paired_patient_cluster_BCa
ecgaim,qrs_correlation,derivative,-0.0009013750837388105,-0.0011719087124666783,-0.0006424753245180374,paired_ptbxl_patient_cluster,2198,1904,2000,paired_patient_cluster_BCa
ecgaim,qrs_correlation,mmd,0.0010574822731027344,0.0007914387586114853,0.0013287601497512535,paired_ptbxl_patient_cluster,2198,1904,2000,paired_patient_cluster_BCa
msvae,qrs_correlation,correlation,0.004370851508655347,0.0037877352017567385,0.004995766083224912,paired_ptbxl_patient_cluster,2198,1904,2000,paired_patient_cluster_BCa
msvae,qrs_correlation,derivative,2.6140966387257835e-05,-4.277666556404918e-06,5.568865146354904e-05,paired_ptbxl_patient_cluster,2198,1904,2000,paired_patient_cluster_BCa
msvae,qrs_correlation,mmd,0.0002296973116447702,0.00015957996929092993,0.0002931874220515615,paired_ptbxl_patient_cluster,2198,1904,2000,paired_patient_cluster_BCa
unet,qrs_correlation,correlation,0.012084775740160963,0.01086058809596844,0.013346561301122316,paired_ptbxl_patient_cluster,2198,1904,2000,paired_patient_cluster_BCa
unet,qrs_correlation,derivative,-0.0005302097224140121,-0.0007140932392418139,-0.0003477340602617077,paired_ptbxl_patient_cluster,2198,1904,2000,paired_patient_cluster_BCa
unet,qrs_correlation,mmd,-0.0002658349935995452,-0.0004143455634755673,-0.00010830793965856177,paired_ptbxl_patient_cluster,2198,1904,2000,paired_patient_cluster_BCa
