figure,role,purpose,path,png_sha256,data_hash_gate,visual_review,review_hash_matches
factorial_heatmaps,main,Architecture × loss-mask result overview,results/factorial_v4/plots/factorial_heatmaps.png,8e4201398b231abe26c1e2ff146e4ff4a53c4f2d9c0d06eb079cbd2bd3bb484d,PASS,PASS,True
factorial_heatmaps_4factor_supplementary,supplementary,Exploratory MSE-toggle context with MSVAE quarantine,results/factorial_v4/plots/factorial_heatmaps_4factor_supplementary.png,a0379a8ed134b64a07af2009fa440ea4f4065706cd6dc3da01653c25ce1f6120,PASS,PASS,True
factorial_effect_forest,main,Component marginal effects and intervals,results/factorial_v4/plots/factorial_effect_forest.png,a0c808637c67d28352a52c060fa73ea5d8def3f77ba68598f2720d002eb8fa24,PASS,PASS,True
morphology_diagnostic_pareto,main,Morphology versus frozen-classifier utility trade-off,results/factorial_v4/plots/morphology_diagnostic_pareto.png,7bbbe29e0c98bbb8d153a88dd00ae641036808b1166637f000cf69c0f316958a,PASS,PASS,True
nstdb_degradation,main,Noise robustness and ranking changes,results/factorial_v4/plots/nstdb_degradation.png,567af1fe87f6e53608f4135f85e493e703a13d87cb9a9c07ca152d2f55636db7,PASS,PASS,True
echonext_external_heatmap,main,External waveform generalization,results/factorial_v4/plots/echonext_external_heatmap.png,2a35bb65602e041edf92003dd8e79a21d5ca4c6ddda689ffffab5fb779dd1b8c,PASS,PASS,True
echonext_representative_reconstructions,main,Representative external reconstructions,results/factorial_v4/plots/echonext_representative_reconstructions.png,e4d566d9773e4947ae6093ff2dc89003e22fc4ad912580b16e9ce35bcc68cff5,PASS,PASS,True
ptbxl_ecgfounder_task_rank,optional,Per-task ECGFounder retention distribution,results/factorial_v4_clinical/figures/ptbxl_ecgfounder_task_rank.png,aa97a4ca2f620afa3c6f056ad518183ad5b8cb8c5e2a745c8cbda5a1d39382a5,PASS,PASS,True
ptbxl_five_superclasses,optional,Paper-parity diagnostic analysis,results/factorial_v4_clinical/figures/ptbxl_five_superclasses.png,f502c731c9bed4d35afc3b4a811d7a4a962ef0468f29776d47b2c7264c86b4e4,PASS,PASS,True
echonext_shd_tasks,optional,Per-task external SHD performance,results/factorial_v4_clinical/figures/echonext_shd_tasks.png,62c51a84687173325ecc6cd27e08b154f65c3138101aa842d7b599fe23ab2273,PASS,PASS,True
echonext_shd_stress,optional,External SHD robustness,results/factorial_v4_clinical/figures/echonext_shd_stress.png,ab54752840700c8cf4e3c99c999d7be28cc65c5dc3ddeaa9701bbb47afff1201,PASS,PASS,True
smartwatch_radar,optional,Relative-only smartwatch profile,results/factorial_v4_clinical/figures/smartwatch_radar.png,07d10545e38d68b3d852a324eb2711db4ca79c3e947f1cc8ff84dcd165e85ec5,PASS,PASS,True
smartwatch_protocol_accuracy,optional,Calibrated device protocol characterization,results/factorial_v4_clinical/figures/smartwatch_protocol_accuracy.png,e70b591627e850baa2333831f305d992be06b70aee8bbb2a7a7f283d78ca543f,PASS,PASS,True
smartwatch_task_rank,supplementary,Smartwatch probability-fidelity proxy task distribution,results/factorial_v4_clinical/figures/smartwatch_task_rank.png,761acc860eb80253d7c56a52318457296ceaeb78c13a17a1a3aed09cd84ba810,PASS,PASS,True
echonext_shd_calibration,optional,External SHD calibration,results/factorial_v4_clinical/figures/echonext_shd_calibration.png,57349517dd2004946372fe7ce29d9a1c3555105b4efea42a49bac95bbcf6373a,PASS,PASS,True
