family,model_id,condition,source,noise_type,snr_db,missing_lead_mse
unet,unet__e1c1m1d0__s42,clean,PTB-XL,clean,,0.021390747980039315
unet,unet__e1c1m1d0__s42,gaussian_24db,synthetic,gaussian,24.0,0.021496044217789334
unet,unet__e1c1m1d0__s42,gaussian_12db,synthetic,gaussian,12.0,0.022884647325649383
unet,unet__e1c1m1d0__s42,gaussian_6db,synthetic,gaussian,6.0,0.026212360596591718
unet,unet__e1c1m1d0__s42,gaussian_0db,synthetic,gaussian,0.0,0.03429249204759614
unet,unet__e1c1m1d0__s42,baseline_drift,synthetic,baseline_drift,,0.022641013853986973
unet,unet__e1c1m1d0__s42,nstdb_bw_24db,NSTDB,bw,24.0,0.021473710113824672
unet,unet__e1c1m1d0__s42,nstdb_bw_12db,NSTDB,bw,12.0,0.022655843160974642
unet,unet__e1c1m1d0__s42,nstdb_bw_6db,NSTDB,bw,6.0,0.025541915451418505
unet,unet__e1c1m1d0__s42,nstdb_bw_0db,NSTDB,bw,0.0,0.033698537150645164
unet,unet__e1c1m1d0__s42,nstdb_em_24db,NSTDB,em,24.0,0.0214834301940159
unet,unet__e1c1m1d0__s42,nstdb_em_12db,NSTDB,em,12.0,0.022740948066406745
unet,unet__e1c1m1d0__s42,nstdb_em_6db,NSTDB,em,6.0,0.0259980335868486
unet,unet__e1c1m1d0__s42,nstdb_em_0db,NSTDB,em,0.0,0.03484795480330327
unet,unet__e1c1m1d0__s42,nstdb_ma_24db,NSTDB,ma,24.0,0.0214772388946129
unet,unet__e1c1m1d0__s42,nstdb_ma_12db,NSTDB,ma,12.0,0.022649414857604626
unet,unet__e1c1m1d0__s42,nstdb_ma_6db,NSTDB,ma,6.0,0.025711366236953494
unet,unet__e1c1m1d0__s42,nstdb_ma_0db,NSTDB,ma,0.0,0.03402129129015053
msvae,msvae__e1c1m0d0__s42,clean,PTB-XL,clean,,0.017921200428504626
msvae,msvae__e1c1m0d0__s42,gaussian_24db,synthetic,gaussian,24.0,0.01793292218754909
msvae,msvae__e1c1m0d0__s42,gaussian_12db,synthetic,gaussian,12.0,0.018114253797715286
msvae,msvae__e1c1m0d0__s42,gaussian_6db,synthetic,gaussian,6.0,0.018701491675368696
msvae,msvae__e1c1m0d0__s42,gaussian_0db,synthetic,gaussian,0.0,0.02103143520708116
msvae,msvae__e1c1m0d0__s42,baseline_drift,synthetic,baseline_drift,,0.01931156547653604
msvae,msvae__e1c1m0d0__s42,nstdb_bw_24db,NSTDB,bw,24.0,0.018009592144497242
msvae,msvae__e1c1m0d0__s42,nstdb_bw_12db,NSTDB,bw,12.0,0.01931022413248192
msvae,msvae__e1c1m0d0__s42,nstdb_bw_6db,NSTDB,bw,6.0,0.023034010097575785
msvae,msvae__e1c1m0d0__s42,nstdb_bw_0db,NSTDB,bw,0.0,0.03690920559612471
msvae,msvae__e1c1m0d0__s42,nstdb_em_24db,NSTDB,em,24.0,0.018023077662395352
msvae,msvae__e1c1m0d0__s42,nstdb_em_12db,NSTDB,em,12.0,0.019377838942983155
msvae,msvae__e1c1m0d0__s42,nstdb_em_6db,NSTDB,em,6.0,0.023510085248730203
msvae,msvae__e1c1m0d0__s42,nstdb_em_0db,NSTDB,em,0.0,0.038185104309335034
msvae,msvae__e1c1m0d0__s42,nstdb_ma_24db,NSTDB,ma,24.0,0.0179906207680425
msvae,msvae__e1c1m0d0__s42,nstdb_ma_12db,NSTDB,ma,12.0,0.019140954722823997
msvae,msvae__e1c1m0d0__s42,nstdb_ma_6db,NSTDB,ma,6.0,0.022398918631479123
msvae,msvae__e1c1m0d0__s42,nstdb_ma_0db,NSTDB,ma,0.0,0.033514177112311305
ecgaim,ecgaim__e1c1m1d0__s42,clean,PTB-XL,clean,,0.018046564650363237
ecgaim,ecgaim__e1c1m1d0__s42,gaussian_24db,synthetic,gaussian,24.0,0.018456780303475494
ecgaim,ecgaim__e1c1m1d0__s42,gaussian_12db,synthetic,gaussian,12.0,0.019996560118820533
ecgaim,ecgaim__e1c1m1d0__s42,gaussian_6db,synthetic,gaussian,6.0,0.023634554485073827
ecgaim,ecgaim__e1c1m1d0__s42,gaussian_0db,synthetic,gaussian,0.0,0.03739778701493742
ecgaim,ecgaim__e1c1m1d0__s42,baseline_drift,synthetic,baseline_drift,,0.019461541292643526
ecgaim,ecgaim__e1c1m1d0__s42,nstdb_bw_24db,NSTDB,bw,24.0,0.01815862278956613
ecgaim,ecgaim__e1c1m1d0__s42,nstdb_bw_12db,NSTDB,bw,12.0,0.019536254112853788
ecgaim,ecgaim__e1c1m1d0__s42,nstdb_bw_6db,NSTDB,bw,6.0,0.023488328345370794
ecgaim,ecgaim__e1c1m1d0__s42,nstdb_bw_0db,NSTDB,bw,0.0,0.038497167415848375
ecgaim,ecgaim__e1c1m1d0__s42,nstdb_em_24db,NSTDB,em,24.0,0.018199890171443835
ecgaim,ecgaim__e1c1m1d0__s42,nstdb_em_12db,NSTDB,em,12.0,0.01980204084375343
ecgaim,ecgaim__e1c1m1d0__s42,nstdb_em_6db,NSTDB,em,6.0,0.024220348650880533
ecgaim,ecgaim__e1c1m1d0__s42,nstdb_em_0db,NSTDB,em,0.0,0.04116342446262899
ecgaim,ecgaim__e1c1m1d0__s42,nstdb_ma_24db,NSTDB,ma,24.0,0.018311860627296925
ecgaim,ecgaim__e1c1m1d0__s42,nstdb_ma_12db,NSTDB,ma,12.0,0.019996657730023865
ecgaim,ecgaim__e1c1m1d0__s42,nstdb_ma_6db,NSTDB,ma,6.0,0.024442508550413865
ecgaim,ecgaim__e1c1m1d0__s42,nstdb_ma_0db,NSTDB,ma,0.0,0.03963160702511871
