family,model_id,device,n_paired_records,r2,pearson,mse,snr_db,probability_mae_proxy,probability_pearson_proxy,threshold_agreement_proxy
unet,unet__e1c1m1d0__s42,applewatch_serie8,180,-4.518795757823519,0.6518423520555401,0.023736971235949585,1.0378268806250013,0.04923060566044478,0.5999898469047777,0.9727777777777779
unet,unet__e1c1m1d0__s42,fitbitsense2,180,-4.443719215465315,0.620314616130458,0.025747884166987256,0.5603875432702933,0.04880445741337348,0.6641469842205268,0.9719629629629628
unet,unet__e1c1m1d0__s42,samsunggalaxy6,179,-4.4371753015029,0.6041836820016845,0.027058190849773043,0.27738124864504976,0.059341019174549745,0.5373492804424336,0.9678957169459962
unet,unet__e1c1m1d0__s42,withingsscanwatch,180,-4.427620134088728,0.6322247718018715,0.02498533286508888,0.7625703814365571,0.0497860286136636,0.6334863698396722,0.9702962962962963
msvae,msvae__e1c1m0d0__s42,applewatch_serie8,180,-0.5629577411846682,0.42177664613482935,0.0295912584832702,1.304943411166533,0.043786921564974164,0.6285461118490986,0.9772592592592594
msvae,msvae__e1c1m0d0__s42,fitbitsense2,180,-0.702843610265038,0.40720907229967795,0.02964924357982597,0.7703711913837215,0.04522040291952032,0.6629372024262161,0.977111111111111
msvae,msvae__e1c1m0d0__s42,samsunggalaxy6,179,-0.7541978614714135,0.3913305111876474,0.03058090793034218,0.6895975584618196,0.0557666499025677,0.5654632743509395,0.9659217877094971
msvae,msvae__e1c1m0d0__s42,withingsscanwatch,180,-0.34321667401477546,0.4387001598498435,0.02946312657365895,1.1139752898135205,0.043746487574715776,0.6298967740772349,0.9778148148148148
ecgaim,ecgaim__e1c1m1d0__s42,applewatch_serie8,180,-0.5555389363055278,0.39542048352986875,0.03481987286288329,0.8760139217561655,0.06197273256514227,0.4536492556374856,0.96
ecgaim,ecgaim__e1c1m1d0__s42,fitbitsense2,180,-0.7432068930731878,0.38116510799436853,0.03520299115961248,0.21754426783780598,0.06346799514531185,0.47364773903197377,0.9584444444444445
ecgaim,ecgaim__e1c1m1d0__s42,samsunggalaxy6,179,-0.7705655905605877,0.33963197790589533,0.03616817354945255,0.15501580583917782,0.07185513731910427,0.423915257299896,0.953221601489758
ecgaim,ecgaim__e1c1m1d0__s42,withingsscanwatch,180,-0.4122974535732558,0.4373533582898102,0.034370968544699926,0.34970027721321933,0.059315708102146245,0.4704476212587838,0.9631851851851853
