dataset,evaluation_type,device,experiment_type,n_records,n_watch_measurements,n_reference_measurements,watch_vs_simulator_mae,watch_vs_simulator_rmse,watch_vs_simulator_bias,watch_vs_simulator_unit,philips_vs_simulator_mae,philips_vs_simulator_rmse,philips_vs_simulator_bias,philips_vs_simulator_unit,watch_vs_philips_max_aligned_cross_correlation
PhysioNet_smartwatch_simulator,simulation_only_calibrated_protocol,applewatch_serie8,heart_rate,75,75,75,5.942596614978385,35.78326226058575,-5.566407129511736,bpm,0.211283148530426,0.36354216962105557,0.211283148530426,bpm,
PhysioNet_smartwatch_simulator,simulation_only_calibrated_protocol,applewatch_serie8,r_wave_amplitude,20,20,20,541.4572911393407,592.584206780708,-541.4572911393407,uV,57.37764061195776,61.853146327244346,-57.37764061195776,uV,
PhysioNet_smartwatch_simulator,paired_device_reference_under_simulated_2hz_stimulus,applewatch_serie8,square_wave,5,0,0,,,,,,,,,0.9967725168517377
PhysioNet_smartwatch_simulator,simulation_only_calibrated_protocol,applewatch_serie8,st_offset,80,80,80,313.9558936269623,372.7556769963268,-64.07885559351598,uV,283.43681966362055,392.3181562953121,-109.47050026443321,uV,
PhysioNet_smartwatch_simulator,simulation_only_calibrated_protocol,fitbitsense2,heart_rate,76,76,76,0.22147949300811545,0.3774462524774897,0.1963169851448314,bpm,0.2085031071023941,0.3611425251155375,0.2085031071023941,bpm,
PhysioNet_smartwatch_simulator,simulation_only_calibrated_protocol,fitbitsense2,r_wave_amplitude,20,20,20,483.42125120107085,530.0279421477248,-483.42125120107085,uV,57.37764061195776,61.853146327244346,-57.37764061195776,uV,
PhysioNet_smartwatch_simulator,paired_device_reference_under_simulated_2hz_stimulus,fitbitsense2,square_wave,5,0,0,,,,,,,,,0.9805812246790946
PhysioNet_smartwatch_simulator,simulation_only_calibrated_protocol,fitbitsense2,st_offset,79,79,79,370.7811999670147,430.1817856716277,-58.80542981746968,uV,282.8791492294426,393.07021528140046,-106.71072452140477,uV,
PhysioNet_smartwatch_simulator,simulation_only_calibrated_protocol,samsunggalaxy6,heart_rate,75,75,75,3.626966169812974,18.580736175804702,-3.366077862792917,bpm,0.211283148530426,0.36354216962105557,0.211283148530426,bpm,
PhysioNet_smartwatch_simulator,simulation_only_calibrated_protocol,samsunggalaxy6,r_wave_amplitude,20,20,20,470.484464551555,513.9875349669345,-470.484464551555,uV,57.37764061195776,61.853146327244346,-57.37764061195776,uV,
PhysioNet_smartwatch_simulator,paired_device_reference_under_simulated_2hz_stimulus,samsunggalaxy6,square_wave,5,0,0,,,,,,,,,0.9631030731154888
PhysioNet_smartwatch_simulator,simulation_only_calibrated_protocol,samsunggalaxy6,st_offset,79,79,79,298.25219907505107,354.7221810171764,-81.38345089916895,uV,282.8791492294426,393.07021528140046,-106.71072452140477,uV,
PhysioNet_smartwatch_simulator,simulation_only_calibrated_protocol,withingsscanwatch,heart_rate,75,75,75,0.211283148530426,0.36354216962105557,0.211283148530426,bpm,0.211283148530426,0.36354216962105557,0.211283148530426,bpm,
PhysioNet_smartwatch_simulator,simulation_only_calibrated_protocol,withingsscanwatch,r_wave_amplitude,20,20,20,588.3337860112078,645.8075221533473,-588.3337860112078,uV,57.37764061195776,61.853146327244346,-57.37764061195776,uV,
PhysioNet_smartwatch_simulator,paired_device_reference_under_simulated_2hz_stimulus,withingsscanwatch,square_wave,5,0,0,,,,,,,,,0.9018379260948801
PhysioNet_smartwatch_simulator,simulation_only_calibrated_protocol,withingsscanwatch,st_offset,80,80,80,401.78281577562416,454.7321616003167,-72.15333891825253,uV,283.43681966362055,392.3181562953121,-109.47050026443321,uV,
