target,tier,n_concepts,residual_auroc_mean,residual_auroc_sd,residual_auroc_ci95_low,residual_auroc_ci95_high,incremental_delta_mean,incremental_delta_sd,incremental_delta_ci95_low,incremental_delta_ci95_high,residual_retention_mean,residual_retention_sd,residual_retention_ci95_low,residual_retention_ci95_high,target_minus_b1_mean,target_minus_b1_sd,target_minus_b1_ci95_low,target_minus_b1_ci95_high,incremental_positive_n,incremental_positive_fraction,recovery_Q_stable_n,recovery_Q_median,interpretation_gate
model_001,anchor,25,0.6516177342579877,0.0935623532626519,0.6149412917790282,0.6882941767369473,-0.0010461076091106093,0.018114035002899008,-0.00814680933024702,0.006054594112025802,0.39980161935954955,0.22675780420737413,0.3109125601102589,0.4886906786088402,-0.018652691704084953,0.02427733393754932,-0.028169406607604287,-0.009135976800565618,14,0.56,21,-0.13085084252132706,complementary but redundant accessibility
model_001,P1,8,0.7323702187237981,0.05896290455903532,0.6915110104646921,0.7732294269829042,0.008575356599153983,0.00857719148193533,0.0026316661439502575,0.014519047054357708,0.5817134030610471,0.1513457206657763,0.47683616938243845,0.6865906367396558,-0.004142075235113826,0.024224602785842098,-0.020928868518504912,0.01264471804827726,6,0.75,7,-0.23793901968351097,incrementally useful complementary structure
model_001,P2,4,0.7480081897210521,0.1982816833460608,0.5536921400419125,0.9423242394001917,-0.003944639432481939,0.013626430331470624,-0.017298541157323148,0.009409262292359272,0.5350085527730145,0.3829330650436105,0.15973414903027622,0.9102829565157529,-0.017817623620643486,0.018748799012137198,-0.03619144665253794,0.0005561994112509676,2,0.5,2,-0.017745569691949133,complementary but redundant accessibility
model_001,P3,2,0.7086457504920252,0.16232251981570872,0.4836782156701135,0.9336132853139368,0.0075440376706853995,0.005499216801049555,-7.748797213938223e-05,0.015165563313510181,0.44803848871602003,0.3106856192674113,0.017450188641808417,0.8786267887902317,-0.0023592865822761877,0.01393928725302821,-0.02167815308366215,0.016959579919109773,2,1.0,1,-0.29924269233491213,incrementally useful complementary structure
model_101,anchor,25,0.7430608786893913,0.09391515683735559,0.7062461372091479,0.7798756201696347,0.021988247998086314,0.026835282994206223,0.011468817064357475,0.03250767893181515,0.588625877221385,0.20842285815693923,0.5069241168238648,0.6703276376189052,0.015989797628733225,0.030422865918826543,0.004064034188553219,0.02791556106891323,21,0.84,12,1.0314013275973397,incrementally useful complementary structure
model_101,P1,8,0.7905751782044392,0.07460381419343225,0.7388773725442532,0.8422729838646252,0.018865960566407103,0.02061554434018826,0.004580117189624018,0.033151803943190186,0.682477906844509,0.16327969440239656,0.5693308512853473,0.7956249624036708,0.018000389539906597,0.016637752159111445,0.00647101551200595,0.029529763567807246,7,0.875,5,1.0625931445603547,incrementally useful complementary structure
model_101,P2,4,0.7776724681182801,0.15727869894834387,0.6235393431489031,0.931805593087657,-0.00537231560560561,0.03207449943842193,-0.0368053250552591,0.026060693844047883,0.609630206684498,0.32019674282547333,0.2958373987155341,0.9234230146534619,-0.014523128774297206,0.030457264199339924,-0.04437124768965033,0.01532499014105592,1,0.25,3,0.9006772009029369,predictive residual with negative incremental accessibility
model_101,P3,2,0.6783250460912346,0.07629764190297808,0.5725819093340827,0.7840681828483864,0.01129213216711672,0.0025510656617142953,0.007756535542962082,0.014827728791271358,0.39308942727910123,0.14553414560357314,0.19138939202816646,0.5947894625300361,-0.0016197260238683953,0.009829935029420764,-0.015243320911004546,0.012003868863267755,2,1.0,0,,incrementally useful complementary structure
model_m,anchor,25,0.7284393656879595,0.11173950828322365,0.6846374784409358,0.7722412529349832,0.0094091283340444,0.019599069196406974,0.0017262932090528664,0.017091963459035936,0.5747699107236129,0.24590680833762316,0.4783744418552647,0.6711653795919612,-0.005623159444467177,0.032575396170063456,-0.018392714743132053,0.007146395854197699,19,0.76,22,0.266663738861809,incrementally useful complementary structure
model_m,P1,8,0.7637561211884174,0.11674585990212175,0.6828553677604173,0.8446568746164175,0.011438440614771603,0.019968722254881846,-0.002399177924924922,0.02527605915446813,0.6231736670413044,0.19499641689099612,0.48804804412441605,0.7582992899581927,-4.1533769427198886e-05,0.04441057697604669,-0.030816493502873573,0.030733425964019175,7,0.875,5,0.20638881956576036,incrementally useful complementary structure
model_m,P2,4,0.8240548175268645,0.10994215194076068,0.716311508624919,0.93179812642881,-0.0194893986815228,0.04423208617038729,-0.06283684312850235,0.02385804576545674,0.7811319966285131,0.14592755229189205,0.6381229953824589,0.9241409978745673,-0.05596924323133054,0.07163505264979761,-0.1261715948281322,0.01423310836547112,2,0.5,2,0.40296084989179615,predictive residual with negative incremental accessibility
model_m,P3,2,0.7533181422616809,0.2032379670393296,0.4716446906730481,1.0349915938503138,0.008086659558118325,0.0027252888088207393,0.004309601971196777,0.011863717145039874,0.568312283388267,0.4322571620926425,-0.03076557885476683,1.167390145631301,-0.014283644049222277,0.011740117844881548,-0.030554617251710357,0.0019873291532658023,2,1.0,1,-0.27272727272727854,incrementally useful complementary structure
