model,tier,fraction,auroc_mean,auroc_std,auprc_mean,n_valid,n_concepts,n_ineligible,auroc_ci95_half_width
b0,P1,0.01,0.5852525183689197,0.062210815778093544,0.09412907800846837,51,5,109.0,0.01707406300365917
b0,P1,0.05,0.651216704414419,0.09369054345441032,0.08660101065700768,126,8,34.0,0.0163593693193961
b0,P1,0.1,0.6759027930527564,0.09595743146266106,0.08597898687180514,155,8,5.0,0.015106673285718642
b0,P1,0.25,0.7346184810058856,0.077006844322687,0.10175599477526354,160,8,0.0,0.011932334150603165
b0,P1,0.5,0.7690482058450194,0.06815532391564796,0.11742017215483662,160,8,0.0,0.010560776853759668
b0,P1,1.0,0.7973061385859086,0.06276906955868873,0.13513131753844532,160,8,0.0,0.009726168094334825
b0,P2,0.01,0.571192798035669,0.06609630459921091,0.06731589341240705,16,1,64.0,0.03238718925361335
b0,P2,0.05,0.6898024524794718,0.07957421810557776,0.10035063563796903,25,2,55.0,0.03119309349738648
b0,P2,0.1,0.7570734351955173,0.12838247638295644,0.09575891070714994,40,4,40.0,0.03978614162824593
b0,P2,0.25,0.7376289833261103,0.18877342697008917,0.09148548667323508,68,4,12.0,0.04486859547843231
b0,P2,0.5,0.7811234509794374,0.1782212720664402,0.10543127708448216,80,4,0.0,0.039054458178950376
b0,P2,1.0,0.7977115137989561,0.1587631437040805,0.09898669993433702,80,4,0.0,0.03479050780110139
b0,P3,0.01,0.7410434329486434,0.050492347394329735,0.5563314027207855,23,2,17.0,0.020635629173338065
b0,P3,0.05,0.8212805088273984,0.06561258030021891,0.47207385531790286,40,2,0.0,0.02033354929711984
b0,P3,0.1,0.8513082129537841,0.07066728541802679,0.5688086395873928,40,2,0.0,0.02190001864225254
b0,P3,0.25,0.8677092319999039,0.07069007077231412,0.6396066282038699,40,2,0.0,0.02190707989670304
b0,P3,0.5,0.8778234176315319,0.07294985919359731,0.6738045864172544,40,2,0.0,0.022607395583953478
b0,P3,1.0,0.8867236240895743,0.07579458949666991,0.710432815541567,40,2,0.0,0.023488986638441307
b0,anchor,0.01,0.6161032552188764,0.08073601873030349,0.1288440134805675,154,13,346.0,0.012751551831704908
b0,anchor,0.05,0.6622892242241036,0.12533068403178765,0.13014729295468286,382,24,118.0,0.012568452260578337
b0,anchor,0.1,0.672681391550673,0.12883611259033104,0.12471961540471425,469,25,31.0,0.011660233898715667
b0,anchor,0.25,0.7074914115783414,0.12685253942254976,0.137031698466659,497,25,3.0,0.011152623538225893
b0,anchor,0.5,0.7324602471910424,0.11888430472983076,0.14638234868628128,500,25,0.0,0.010420668763881093
b0,anchor,1.0,0.7535335816901431,0.1120873019720212,0.1555279072199896,500,25,0.0,0.009824885203660236
b1,P1,0.01,0.7436734539048511,0.09737484712297692,0.2137984758448293,51,5,109.0,0.026725003585869038
b1,P1,0.05,0.831595504584754,0.09716773307043905,0.2577691876541063,126,8,34.0,0.016966523755957384
b1,P1,0.1,0.8551598576645658,0.08190342471510888,0.2657381892997017,155,8,5.0,0.012894137111559274
b1,P1,0.25,0.8868051722475696,0.05473220706087626,0.29944980213405803,160,8,0.0,0.008480843348335631
b1,P1,0.5,0.9020017294732368,0.04430312093718672,0.32465510610967235,160,8,0.0,0.006864839711154774
b1,P1,1.0,0.9076166870058551,0.04070342441242686,0.34339530779783645,160,8,0.0,0.006307060955876714
b1,P2,0.01,0.6664001537910363,0.05937117515035878,0.11615360711748071,16,1,64.0,0.0290918758236758
b1,P2,0.05,0.8170283110675564,0.09240568873192052,0.2533292281831387,25,2,55.0,0.036223029982912845
b1,P2,0.1,0.8732943870489958,0.05487021022194597,0.23653873758997018,40,4,40.0,0.017004454319373034
b1,P2,0.25,0.9185574887172707,0.05671708105547651,0.23006408414413576,68,4,12.0,0.013480794449945828
b1,P2,0.5,0.9493004132914237,0.044746078754455715,0.27946956790328314,80,4,0.0,0.009805416834509166
b1,P2,1.0,0.9628198874182102,0.04419691147795395,0.30184234674722893,80,4,0.0,0.00968507524910408
b1,P3,0.01,0.8574748191129323,0.02737904149103944,0.705469899847136,23,2,17.0,0.011189492596138918
b1,P3,0.05,0.9196221732901636,0.029804748388739907,0.5687939730492442,40,2,0.0,0.009236587219671867
b1,P3,0.1,0.9348325542676796,0.02063387398264539,0.6532606004003441,40,2,0.0,0.006394503796328808
b1,P3,0.25,0.9446992561335635,0.025052475210220252,0.7383375436211512,40,2,0.0,0.0077638425035417595
b1,P3,0.5,0.9495827297372628,0.02781101230644226,0.7794675325602883,40,2,0.0,0.008618722006486362
b1,P3,1.0,0.9500757655886488,0.027136012348293725,0.8018522624634317,40,2,0.0,0.008409537352236127
b1,anchor,0.01,0.73847302613508,0.09924461821193124,0.23027620240655583,154,13,346.0,0.015674824112576712
b1,anchor,0.05,0.8103508122654118,0.10532758706790792,0.2287393001554136,382,24,118.0,0.010562495210264328
b1,anchor,0.1,0.8383102505635728,0.09243300511526928,0.22091393147621322,469,25,31.0,0.008365592829025704
b1,anchor,0.25,0.8703296064915509,0.07699904101257567,0.24502802469248378,497,25,3.0,0.006769602887942023
b1,anchor,0.5,0.8862469754325987,0.06803107257240676,0.26598306632807484,500,25,0.0,0.005963186431881621
b1,anchor,1.0,0.8951323496707662,0.06324784959440238,0.28081482700189564,500,25,0.0,0.005543918452051636
model_001,P1,0.01,0.7401569801851973,0.09057091099470013,0.18209762093268744,51,5,109.0,0.02485763000019781
model_001,P1,0.05,0.8106425350224203,0.09284061428012363,0.20085241087820366,126,8,34.0,0.016210962609979892
model_001,P1,0.1,0.8306087349324992,0.0960688325753569,0.20896704421135343,155,8,5.0,0.015124211273006437
model_001,P1,0.25,0.8700790303303302,0.06646216443664292,0.24160718943121956,160,8,0.0,0.010298419074377228
model_001,P1,0.5,0.8912160549268162,0.055764065919593125,0.2649740818823856,160,8,0.0,0.008640731534986623
model_001,P1,1.0,0.9034709702195004,0.050931854247787026,0.290542437891511,160,8,0.0,0.007891972579057716
model_001,P2,0.01,0.6620193483978645,0.04404975539678897,0.1113278246612979,16,1,64.0,0.021584380144426596
model_001,P2,0.05,0.7949856223301163,0.10987390356003685,0.25518258167777874,25,2,55.0,0.04307057019553444
model_001,P2,0.1,0.8667284232001535,0.09177040520470271,0.3256826283900719,40,4,40.0,0.02843994321985627
model_001,P2,0.25,0.8965294936862773,0.10686066807263932,0.3249224793512057,68,4,12.0,0.025399168544341735
model_001,P2,0.5,0.9056824024260542,0.13741424925627535,0.3148423953900103,80,4,0.0,0.030112225036584898
model_001,P2,1.0,0.9450110019246365,0.0579337914212142,0.3309611084428629,80,4,0.0,0.01269530178958865
model_001,P3,0.01,0.8611204461533493,0.028965350133795614,0.7219797964845407,23,2,17.0,0.011837798301768555
model_001,P3,0.05,0.904381559466158,0.03284487948637379,0.5323810681562886,40,2,0.0,0.010178733607766884
model_001,P3,0.1,0.9244359498990029,0.030517736383724143,0.6312405150939564,40,2,0.0,0.009457544488505542
model_001,P3,0.25,0.9379859121790277,0.03232421722558829,0.6996402542454371,40,2,0.0,0.01001737870146096
model_001,P3,0.5,0.9442661715597767,0.03567079684532167,0.7375268221350322,40,2,0.0,0.01105449447046781
model_001,P3,1.0,0.9477104309354326,0.03710851572992165,0.7715042725603724,40,2,0.0,0.011500048168884338
model_001,anchor,0.01,0.7259900889821042,0.08890917854212362,0.20652068342533858,154,13,346.0,0.014042431325247655
model_001,anchor,0.05,0.7950054751373281,0.10897778782839074,0.20957722451646796,382,24,118.0,0.010928545825515251
model_001,anchor,0.1,0.8184451518921938,0.10128252336167685,0.2004465936929501,469,25,31.0,0.009166513087867856
model_001,anchor,0.25,0.8516382034672187,0.08231834815268678,0.2162355172965558,497,25,3.0,0.007237265815999344
model_001,anchor,0.5,0.8667258576118909,0.07404038921508356,0.23040482192372816,500,25,0.0,0.00648992625992639
model_001,anchor,1.0,0.8764838217073773,0.06697829989555089,0.24030289010909792,500,25,0.0,0.0058709068380856985
model_101,P1,0.01,0.7506836521023547,0.0888678336387794,0.18722235552573097,51,5,109.0,0.02439021208079905
model_101,P1,0.05,0.8411062987437492,0.07745564934177164,0.2498677544951037,126,8,34.0,0.013524583450327227
model_101,P1,0.1,0.8589384665076444,0.081217404765846,0.2651911950055757,155,8,5.0,0.012786136312840186
model_101,P1,0.25,0.8983178122031964,0.05259186489724725,0.32497757706937747,160,8,0.0,0.008149193894086769
model_101,P1,0.5,0.9146307585526212,0.042464008338225064,0.3609900533750716,160,8,0.0,0.006579866261529472
model_101,P1,1.0,0.925611942736665,0.03592896289015173,0.3896796965670527,160,8,0.0,0.005567250478326732
model_101,P2,0.01,0.6998294972955497,0.05654140462490524,0.14419533063017698,16,1,64.0,0.027705288266203568
model_101,P2,0.05,0.8287054859071668,0.05767360154708933,0.3194406500215624,25,2,55.0,0.022608051806459018
model_101,P2,0.1,0.8573057754578366,0.0775359838009366,0.3122161913998104,40,4,40.0,0.024028650324422154
model_101,P2,0.25,0.8999007240000202,0.055033949482663345,0.30774192657299054,68,4,12.0,0.013080739469275814
model_101,P2,0.5,0.9284963167689902,0.04333525925600339,0.31809305853887204,80,4,0.0,0.009496257380862053
model_101,P2,1.0,0.9482888780590768,0.0316556924341404,0.38424975591515187,80,4,0.0,0.006936859455441245
model_101,P3,0.01,0.8807655095661866,0.03561471761415183,0.7503714712182873,23,2,17.0,0.014555316671241176
model_101,P3,0.05,0.9354029432493448,0.025462255913124714,0.5821480920377179,40,2,0.0,0.007890834859053321
model_101,P3,0.1,0.9425142707401324,0.023475929415902465,0.605281036807451,40,2,0.0,0.007275265900072611
model_101,P3,0.25,0.9461936293956785,0.021498493595519946,0.6289459509516387,40,2,0.0,0.006662452190389798
model_101,P3,0.5,0.9479991918244597,0.021193563608547707,0.6449278411645304,40,2,0.0,0.006567953408389459
model_101,P3,1.0,0.9484547426735153,0.020097963075723292,0.6563169688712874,40,2,0.0,0.006228423285626375
model_101,anchor,0.01,0.7543989670139629,0.09901616989505763,0.2518128404454802,154,13,346.0,0.01563874268821009
model_101,anchor,0.05,0.8308816878027582,0.09840154998935176,0.2585672237982884,382,24,118.0,0.009867936116062383
model_101,anchor,0.1,0.8568480938309616,0.08511485007592898,0.2595008515443878,469,25,31.0,0.0077032676645191756
model_101,anchor,0.25,0.8861670715624732,0.06826436569739341,0.28346652791616606,497,25,3.0,0.006001667567432819
model_101,anchor,0.5,0.900724317564122,0.06019833849699761,0.30186042454211454,500,25,0.0,0.005276617018863703
model_101,anchor,1.0,0.9111249022310104,0.05323020163190266,0.3125605186030696,500,25,0.0,0.0046658328927542195
model_m,P1,0.01,0.7743814435205959,0.10753919550159226,0.26391476506007805,51,5,109.0,0.029514658767801738
model_m,P1,0.05,0.8412054541618822,0.1058736247492246,0.2731413104395404,126,8,34.0,0.0184866654050152
model_m,P1,0.1,0.8634957623996741,0.08981996731158537,0.2556083421811409,155,8,5.0,0.014140446237746972
model_m,P1,0.25,0.8905227811718609,0.07423226259742638,0.27668604663933183,160,8,0.0,0.011502408258104115
model_m,P1,0.5,0.9019327954773612,0.06975707014552686,0.30148962636727183,160,8,0.0,0.01080897000343991
model_m,P1,1.0,0.9075669860795352,0.06789066290400822,0.3191778903763358,160,8,0.0,0.010519767205132997
model_m,P2,0.01,0.6770587573509493,0.05877929235258999,0.13594533723848384,16,1,64.0,0.028801853252769093
model_m,P2,0.05,0.7607278950661125,0.0595116187032455,0.20043651157398668,25,2,55.0,0.023328554531672235
model_m,P2,0.1,0.8269596568937603,0.06552412709846642,0.24898634165323866,40,4,40.0,0.020306137365900357
model_m,P2,0.25,0.8420927759058132,0.09642020927663168,0.2720704221146777,68,4,12.0,0.022917629008581058
model_m,P2,0.5,0.8890662456248061,0.0798015388165037,0.29968199837937276,80,4,0.0,0.017487283219273456
model_m,P2,1.0,0.9068550132504146,0.061918231411476315,0.3513687935001602,80,4,0.0,0.01356843069929713
model_m,P3,0.01,0.8278529213127838,0.041852074931908415,0.7030342485149016,23,2,17.0,0.017104451327739356
model_m,P3,0.05,0.8938126886629151,0.02605362492323248,0.662399287453818,40,2,0.0,0.00807410201399213
model_m,P3,0.1,0.9141252285283521,0.019494407588891587,0.693633927043557,40,2,0.0,0.006041379502423741
model_m,P3,0.25,0.920227342332306,0.016827318218583534,0.6910973082471175,40,2,0.0,0.005214839943350765
model_m,P3,0.5,0.9334532918168416,0.01901729218067133,0.7953581969474292,40,2,0.0,0.0058935199055435115
model_m,P3,1.0,0.9357908246481615,0.018730052749437277,0.8194164716574959,40,2,0.0,0.005804503483565441
model_m,anchor,0.01,0.7699123169054861,0.0922763993002429,0.2596880733460853,154,13,346.0,0.014574254552367405
model_m,anchor,0.05,0.8118992137706452,0.10032417644514019,0.21966973906640844,382,24,118.0,0.010060741565192247
model_m,anchor,0.1,0.8336094201686608,0.09436369824858318,0.21434278113303226,469,25,31.0,0.00854032903511311
model_m,anchor,0.25,0.8640152888043154,0.07996921654615435,0.22603746379729872,497,25,3.0,0.007030734826799874
model_m,anchor,0.5,0.8790607053030679,0.07032827282292665,0.23657633891069638,500,25,0.0,0.006164544911870829
model_m,anchor,1.0,0.8895098931022452,0.06488817437098351,0.2440190641542091,500,25,0.0,0.005687699258111648
ub,P1,0.01,0.8600839866178168,0.08765511507737012,0.33019606290365316,51,5,109.0,0.024057375533580838
ub,P1,0.05,0.8922941046056984,0.06563558042181795,0.296108157254619,126,8,34.0,0.011460673201622876
ub,P1,0.1,0.9018803227914726,0.07289344547615573,0.2941131053203421,155,8,5.0,0.011475687173922744
ub,P1,0.25,0.92257205797627,0.0520601177787436,0.3377212868001108,160,8,0.0,0.008066798824435322
ub,P1,0.5,0.9400212704306556,0.03272381872809421,0.36991011322954276,160,8,0.0,0.005070608245043346
ub,P1,1.0,0.9474629430224972,0.030427097045143507,0.3896756092800947,160,8,0.0,0.004714727533231998
ub,P2,0.01,0.6729424168348757,0.06631776634701189,0.11211435324040606,16,1,64.0,0.032495705510035826
ub,P2,0.05,0.7681122421301511,0.07729115943472949,0.16424932644027543,25,2,55.0,0.03029813449841396
ub,P2,0.1,0.8090740352091345,0.09002825167361572,0.1664976668734179,40,4,40.0,0.027900044247046167
ub,P2,0.25,0.8618137860011563,0.061105549822958044,0.17156803850628607,68,4,12.0,0.014523867265109916
ub,P2,0.5,0.8841788719368843,0.06329437863582031,0.21625252706926018,80,4,0.0,0.013869992255883852
ub,P2,1.0,0.8968579665757673,0.05841980242037586,0.25186437824021235,80,4,0.0,0.012801803645518582
ub,P3,0.01,0.9233983304314769,0.019059045722112988,0.8079317896813747,23,2,17.0,0.007789208072417439
ub,P3,0.05,0.9290550931469925,0.031919395655574376,0.7155019539393181,40,2,0.0,0.00989192319715445
ub,P3,0.1,0.9325877203635315,0.02184755444576921,0.7760589344438164,40,2,0.0,0.006770627268610497
ub,P3,0.25,0.9457149527106632,0.010915948411479155,0.8078494760376392,40,2,0.0,0.0033828874605147615
ub,P3,0.5,0.9538857483521888,0.010812627945092804,0.8356179473378148,40,2,0.0,0.003350868116250972
ub,P3,1.0,0.9590854880124328,0.013837053336148217,0.8514612025593282,40,2,0.0,0.004288147255451065
ub,anchor,0.01,0.7923903943136721,0.1059204195399917,0.2795390834684012,154,13,346.0,0.01672920885920747
ub,anchor,0.05,0.8627789833835484,0.08773020219983794,0.2597335798104412,382,24,118.0,0.008797788559742377
ub,anchor,0.1,0.8779467423752312,0.07612879454482703,0.2572713010780256,469,25,31.0,0.006889990181887649
ub,anchor,0.25,0.8904627172025649,0.06739678253701982,0.2723690601617263,497,25,3.0,0.005925391377615913
ub,anchor,0.5,0.8988105350434711,0.06368730852160016,0.287531890703271,500,25,0.0,0.005582438725405345
ub,anchor,1.0,0.9076625249770963,0.05897091832752744,0.2966020372983278,500,25,0.0,0.005169028897376831
