model,tier,n_concepts,n_stable,n_unstable,full_auroc_mean,d95_median,d95_q1,d95_q3,d95_mean,d95_n_reached,d95_reach_fraction,d95_fraction_le_8,d95_fraction_le_16,d95_fraction_le_24,d95_fraction_le_32,d95_sustained_median,d95_sustained_q1,d95_sustained_q3,d95_sustained_mean,d95_sustained_n_reached,d95_sustained_reach_fraction,d95_sustained_fraction_le_8,d95_sustained_fraction_le_16,d95_sustained_fraction_le_24,d95_sustained_fraction_le_32,auroc_k8_mean,auroc_k16_mean,auroc_k24_mean,auroc_k32_mean
b0,P1,8,8,0,0.7973211316645965,48.0,42.0,52.0,45.0,8,1.0,0.0,0.125,0.25,0.25,48.0,48.0,64.0,59.42857142857143,7,0.875,0.0,0.0,0.0,0.0,0.6557457413668046,0.7231981524401021,0.7363553553310622,0.7452346944149221
b0,P2,4,4,0,0.7977136983307236,20.0,16.0,30.0,26.0,4,1.0,0.0,0.5,0.75,0.75,24.0,20.0,36.0,29.333333333333332,3,0.75,0.0,0.25,0.5,0.5,0.6799870304204382,0.7723361443072723,0.8024751659745418,0.832260907321667
b0,P3,2,2,0,0.8867322659430449,36.0,30.0,42.0,36.0,2,1.0,0.0,0.0,0.5,0.5,36.0,30.0,42.0,36.0,2,1.0,0.0,0.0,0.5,0.5,0.6832346259688424,0.8417302911152688,0.8627118052864822,0.8745380042428423
b0,anchor,25,24,1,0.7535409190430797,32.0,16.0,48.0,33.708333333333336,24,1.0,0.20833333333333334,0.375,0.4583333333333333,0.5416666666666666,48.0,36.0,64.0,48.0,22,0.9166666666666666,0.041666666666666664,0.16666666666666666,0.20833333333333334,0.25,0.6581704592021731,0.7146434887952304,0.7263429906701923,0.7368478295519093
b1,P1,8,8,0,0.9076085198489625,20.0,7.0,36.0,24.75,8,1.0,0.375,0.5,0.625,0.75,32.0,12.0,48.0,31.428571428571427,7,0.875,0.25,0.375,0.375,0.5,0.8376084203449692,0.8819550055923459,0.88993334516799,0.8927912626036596
b1,P2,4,4,0,0.9628242564817452,20.0,16.0,30.0,26.0,4,1.0,0.0,0.5,0.75,0.75,20.0,16.0,30.0,26.0,4,1.0,0.0,0.5,0.75,0.75,0.8823440274955376,0.9327423972272881,0.9413981209078539,0.9502408124386316
b1,P3,2,2,0,0.9500744686973838,12.0,10.0,14.0,12.0,2,1.0,0.5,1.0,1.0,1.0,20.0,18.0,22.0,20.0,2,1.0,0.0,0.5,1.0,1.0,0.9179288740418358,0.9260158366180906,0.9451053608450111,0.9446680571390558
b1,anchor,25,25,0,0.8951329297652205,24.0,16.0,24.0,22.72,25,1.0,0.08,0.48,0.84,0.88,24.0,16.0,48.0,30.4,20,0.8,0.08,0.36,0.52,0.56,0.8299931101805481,0.8727325266528382,0.8847285458540255,0.8902914749146997
model_001,P1,8,8,0,0.9034664446138486,36.0,22.0,48.0,36.0,8,1.0,0.0,0.25,0.5,0.5,48.0,24.0,48.0,40.0,5,0.625,0.0,0.125,0.25,0.25,0.7061081688464508,0.8533409611863307,0.8770563858719883,0.8801299457958258
model_001,P2,4,4,0,0.9450066328611016,24.0,22.0,30.0,28.0,4,1.0,0.0,0.25,0.75,0.75,24.0,20.0,36.0,29.333333333333332,3,0.75,0.0,0.25,0.5,0.5,0.7799210144004409,0.9101191097661355,0.9339471099152492,0.9368302739626295
model_001,P3,2,2,0,0.9477151821151075,20.0,18.0,22.0,20.0,2,1.0,0.0,0.5,1.0,1.0,20.0,18.0,22.0,20.0,2,1.0,0.0,0.5,1.0,1.0,0.8859899088951846,0.9258712749117238,0.939558100076973,0.9410294788598499
model_001,anchor,25,25,0,0.8764802380611353,24.0,16.0,24.0,22.08,25,1.0,0.04,0.44,0.92,0.92,24.0,16.0,24.0,28.0,20,0.8,0.04,0.28,0.64,0.64,0.7323769856943001,0.8491478702064811,0.8699277026110178,0.8709211728892212
model_101,P1,8,8,0,0.9256089093888691,24.0,16.0,26.0,27.0,8,1.0,0.0,0.375,0.75,0.875,24.0,20.0,40.0,32.0,7,0.875,0.0,0.25,0.5,0.625,0.8635681245503855,0.8973304847327046,0.9117717487066261,0.912058853797853
model_101,P2,4,4,0,0.9483011277074479,20.0,8.0,36.0,24.0,4,1.0,0.5,0.5,0.5,0.75,32.0,20.0,40.0,29.333333333333332,3,0.75,0.25,0.25,0.25,0.5,0.8709847302434139,0.9205991476353479,0.9213572192512659,0.93814840852801
model_101,P3,2,2,0,0.9484547426735154,12.0,10.0,14.0,12.0,2,1.0,0.5,1.0,1.0,1.0,12.0,10.0,14.0,12.0,2,1.0,0.5,1.0,1.0,1.0,0.9300349809048034,0.9411823058122002,0.9439588723332988,0.94585628966701
model_101,anchor,25,25,0,0.9111227273939536,24.0,16.0,24.0,21.16,25,1.0,0.16,0.36,0.88,0.96,24.0,20.0,28.0,29.608695652173914,23,0.92,0.12,0.24,0.68,0.76,0.8297384456304475,0.8722841469023921,0.8980176128441001,0.9024970505067791
model_m,P1,8,8,0,0.9075669860795352,20.0,4.0,40.0,30.25,8,1.0,0.375,0.5,0.625,0.75,64.0,28.0,80.0,56.0,7,0.875,0.0,0.125,0.25,0.375,0.8661006913386629,0.872491156548197,0.8747338648763044,0.8845530915171895
model_m,P2,4,4,0,0.9068550132504145,32.0,14.0,60.0,42.0,4,1.0,0.25,0.5,0.5,0.5,56.0,14.0,96.0,54.0,4,1.0,0.25,0.5,0.5,0.5,0.8105267183323872,0.8314079578696358,0.8392665250734592,0.8505017489377142
model_m,P3,2,2,0,0.9357908246481614,16.0,16.0,16.0,16.0,2,1.0,0.0,1.0,1.0,1.0,16.0,16.0,16.0,16.0,2,1.0,0.0,1.0,1.0,1.0,0.9088768077517765,0.9226472049344314,0.9269785119505747,0.9262248976014276
model_m,anchor,25,25,0,0.8895097703207534,16.0,8.0,32.0,27.04,25,1.0,0.44,0.52,0.6,0.76,48.0,20.0,80.0,47.82608695652174,23,0.92,0.2,0.24,0.32,0.4,0.8429870910620798,0.8596909543434701,0.8710686808956954,0.8752622831242679
ub,P1,8,8,0,0.9474638252664073,12.0,8.0,18.0,14.5,8,1.0,0.5,0.75,0.875,1.0,8.0,8.0,20.0,14.285714285714286,7,0.875,0.5,0.625,0.75,0.875,0.9183128013654445,0.9365982408731806,0.9427559890404457,0.9454568885105537
ub,P2,4,4,0,0.8968579665757672,28.0,19.0,36.0,27.0,4,1.0,0.25,0.25,0.5,0.75,56.0,44.0,80.0,68.0,4,1.0,0.0,0.0,0.0,0.25,0.8767138518675325,0.8760092577269584,0.8811824412527884,0.8920859579623979
ub,P3,2,2,0,0.9590932652717266,4.5,2.75,6.25,4.5,2,1.0,1.0,1.0,1.0,1.0,4.5,2.75,6.25,4.5,2,1.0,1.0,1.0,1.0,1.0,0.9418063388771176,0.9469362703240062,0.9490946397438114,0.9483070486590435
ub,anchor,25,25,0,0.9076603859032026,8.0,4.0,16.0,12.32,25,1.0,0.68,0.84,0.88,0.92,16.0,8.0,48.0,37.411764705882355,17,0.68,0.28,0.4,0.44,0.48,0.8883872618958929,0.901458552078844,0.9028936792565109,0.903600048045162
