model_id,study_track,architecture,observed_lead,factorial_mask,seed,epochs_trained,status,val_missing_pearson,val_missing_pearson_p05,val_recon_loss,miou_wave,P_iou,QRS_iou,T_iou,macro_f1_wave,boundary_f1_smoke,train_recon,train_ssl,train_ce,train_dice,train_boundary,train_fid,train_total,train_grad_norm,train_consistency,mean_all_missing_r,p05_all_missing_r,mean_chest_r,p05_chest_r,mean_limb_r,p05_limb_r,mean_septal_r,mean_anterior_r,mean_lateral_chest_r,mean_high_lateral_r,mean_inferior_r,pearson_lead_I,p05_lead_I,p50_lead_I,p95_lead_I,rmse_lead_I,mae_lead_I,snr_lead_I,pearson_lead_II,p05_lead_II,p50_lead_II,p95_lead_II,rmse_lead_II,mae_lead_II,snr_lead_II,pearson_lead_III,p05_lead_III,p50_lead_III,p95_lead_III,rmse_lead_III,mae_lead_III,snr_lead_III,pearson_lead_aVR,p05_lead_aVR,p50_lead_aVR,p95_lead_aVR,rmse_lead_aVR,mae_lead_aVR,snr_lead_aVR,pearson_lead_aVL,p05_lead_aVL,p50_lead_aVL,p95_lead_aVL,rmse_lead_aVL,mae_lead_aVL,snr_lead_aVL,pearson_lead_aVF,p05_lead_aVF,p50_lead_aVF,p95_lead_aVF,rmse_lead_aVF,mae_lead_aVF,snr_lead_aVF,pearson_lead_V1,p05_lead_V1,p50_lead_V1,p95_lead_V1,rmse_lead_V1,mae_lead_V1,snr_lead_V1,pearson_lead_V2,p05_lead_V2,p50_lead_V2,p95_lead_V2,rmse_lead_V2,mae_lead_V2,snr_lead_V2,pearson_lead_V3,p05_lead_V3,p50_lead_V3,p95_lead_V3,rmse_lead_V3,mae_lead_V3,snr_lead_V3,pearson_lead_V4,p05_lead_V4,p50_lead_V4,p95_lead_V4,rmse_lead_V4,mae_lead_V4,snr_lead_V4,pearson_lead_V5,p05_lead_V5,p50_lead_V5,p95_lead_V5,rmse_lead_V5,mae_lead_V5,snr_lead_V5,pearson_lead_V6,p05_lead_V6,p50_lead_V6,p95_lead_V6,rmse_lead_V6,mae_lead_V6,snr_lead_V6,rdb_boundary_micro_f1_20ms,rdb_signal_pearson_p05,rdb_miou_wave,rdb_p_iou,rdb_qrs_iou,rdb_t_iou,rdb_p_dice,rdb_qrs_dice,rdb_t_dice,rdb_mae_P_onset_ms,rdb_f1_P_onset,rdb_mae_P_offset_ms,rdb_f1_P_offset,rdb_mae_QRS_onset_ms,rdb_f1_QRS_onset,rdb_mae_QRS_offset_ms,rdb_f1_QRS_offset,rdb_mae_T_onset_ms,rdb_f1_T_onset,rdb_mae_T_offset_ms,rdb_f1_T_offset
conv15e_tf_sc16_cy8_s42_l0,15-Epoch Convergence,tf_sc16_cy8,I,1110000,42,15,completed,0.747773056497445,0.4090964198112488,0.8336233539857726,0.8362969756126404,0.7883730530738831,0.8838370442390442,0.8366807103157043,0.9103603959083557,0.8739811109996785,1.4784580086115087,0.19582745159270568,0.18550321273733675,0.1342218743689641,0.0,0.0,1.740966073521202,0.4978714487908666,0.00205084337743747,0.7477809992941814,0.40915939807891843,0.775230957887231,0.28342431361476583,0.6992187080105786,0.19708608463406563,0.7817845470570642,0.7520936794435149,0.7918146471611135,0.8302736162995997,0.5902788047640394,0.9999463285430003,0.9998922407627105,0.9999563097953796,0.9999746680259705,0.0031496778982016012,0.0014333425597827395,38.18153061650513,0.7140517240591548,0.1947570413351059,0.7954077124595642,0.9516856729984283,0.13493663892394195,0.07184210876698306,3.462417150960243,0.5561190751388471,-0.122810248285532,0.6375598907470703,0.941171008348465,0.13686861905512981,0.0720211551799872,1.9715216796898873,0.8949835094611749,0.6512207448482513,0.9401462078094482,0.9854275047779083,0.07131514591979299,0.03737720553505103,8.002057233856043,0.8302736162995997,0.4295973151922226,0.9032972455024719,0.9848299622535706,0.06802149025078842,0.03724664419337397,6.390633235908652,0.5006656150941164,-0.1673344299197197,0.577383816242218,0.9146460592746735,0.13558192952996068,0.07123950199555543,1.4380980718498955,0.7904468594478171,0.3451465457677842,0.8657585978507996,0.9725894093513489,0.1652197683264946,0.0797389867974499,4.4663662408005855,0.7731222346663114,0.3018354713916779,0.8510149717330933,0.9678805053234101,0.2499814256904692,0.11868790269369005,4.010120600205238,0.7388197904305709,0.25697008073329924,0.8147775530815125,0.9594383120536805,0.26207806380806836,0.12510799618793692,3.5778479841659627,0.765367568456459,0.20012124329805375,0.8639562129974365,0.9693386316299438,0.34528935519736953,0.11649917695113295,4.040732821094045,0.8022925802237333,0.3233410924673081,0.8888970017433167,0.978393304347992,0.1971932837574013,0.09684189413454464,4.7838186569313725,0.7813367140984937,0.27313144803047185,0.8796597719192505,0.977923446893692,0.20155944460715305,0.09347238797102289,4.70945482281648,0.6048229984244756,0.2690363001971516,0.5901298191473504,0.4649877226154195,0.7545533091411785,0.5508484256854531,0.6348008456825621,0.8601087299086039,0.7103833186560264,24.191194610494353,0.4215881365610562,16.110099573257468,0.5487013548822481,9.731579234277616,0.8838341403414554,9.587221979938944,0.8672551040737309,28.68837405223252,0.4290713135978725,27.088025808614045,0.47722023934495067
conv15e_tf_sc16_cy4_s42_l0,15-Epoch Convergence,tf_sc16_cy4,I,1110000,42,15,completed,0.7476769664490778,0.4086740076541901,0.8334944213646046,0.8388490080833435,0.7904500365257263,0.8849055171012878,0.8411914110183716,0.9118826985359192,0.8785176112598257,1.4767454912933902,0.2055467122771311,0.18455263198954094,0.13346374144314843,0.0,0.0,1.7384105241575907,0.4969199531081257,0.002063810902524704,0.7476760336913363,0.40895443558692934,0.7754773151851039,0.28612585638960203,0.6974658281272095,0.1939645352959633,0.7821798441273322,0.7525914847171586,0.7916606167108213,0.8300597759495278,0.5872512191411672,0.999945240451063,0.9998970866203308,0.9999535083770752,0.9999715566635132,0.0023110037133330023,0.0013104435213899305,38.84132450870893,0.7144652885475302,0.18273421674966814,0.7970684170722961,0.951368898153305,0.1406995509726167,0.07186095790397436,3.461545992556503,0.5476337489359502,-0.1378761202096939,0.6222010850906372,0.9407678604125976,0.1342432148234624,0.07231076629264975,1.926858080837507,0.8955157072630173,0.6530227899551392,0.9400027990341187,0.985767251253128,0.07218877103605506,0.03737813364193902,8.023714974080606,0.8300597759495278,0.43159386515617376,0.90286785364151,0.9849229574203491,0.06635454159820911,0.03736744691164284,6.341963979055951,0.4996546199400212,-0.15965207517147065,0.5787565112113953,0.9153033375740052,0.13650784770957922,0.07118368056439378,1.4432901688882347,0.7901869438536571,0.3277403265237809,0.8692864775657654,0.9726435422897339,0.1614741333841242,0.07959759763373293,4.49786568678953,0.7741727444010075,0.3176413714885712,0.8559662699699402,0.9673725187778474,0.2507870225967023,0.1188911996385918,4.026787091704854,0.7389373387701437,0.2554486274719238,0.8141162395477295,0.9614560961723327,0.2626917157462947,0.12531544340657522,3.5979526926256953,0.7662456306641735,0.21606882065534594,0.864238977432251,0.9702506303787232,0.34435590475426575,0.11638080776744597,4.076246600619322,0.8018886170998912,0.32795305550098425,0.8893182277679443,0.9778990328311921,0.19664939012033814,0.09681330057926753,4.807925612254553,0.7814326163217514,0.2719029366970062,0.876987636089325,0.9776830315589905,0.2010738161713371,0.09340594308019927,4.718804904804542,0.7011946088280991,0.43574161513039233,,,,,,,,,,,,,,,,,,,
conv15e_A0_wave_noSSL_gated_add_s42_l0,15-Epoch Convergence,A0_wave_noSSL_gated_add,I,1110000,42,15,completed,0.7473844447153127,0.40804702043533325,0.8376972087915393,0.8377607464790344,0.7914786338806152,0.884173572063446,0.8376300930976868,0.9112573266029358,0.8736841193838587,1.4796582485937868,0.0,0.18565619703167946,0.1343339440872211,0.0,0.0,1.7325841899017371,0.4918532289810834,0.002055370479689927,0.7473752500418535,0.4087283700704575,0.7751285391217194,0.28238300532102584,0.6950125668763736,0.18915736913681033,0.7809674746087705,0.7518142013940375,0.7926039413623505,0.8282041307080126,0.5840705446188873,0.9999397363457394,0.9998709738254548,0.999954879283905,0.9999753177165985,0.004255235454962544,0.0017128864033684173,37.2931625883458,0.7116583368028085,0.18950830698013307,0.7920088768005371,0.9503946363925934,0.1378369358605865,0.07219326165063196,3.4349977839214447,0.5462720466844235,-0.14780456274747844,0.6339243054389954,0.9375099658966064,0.14005451629118487,0.07238179967839799,1.9327432274149166,0.894647069817193,0.6488977909088135,0.9396951198577881,0.9857056736946106,0.07264772444172327,0.03741296135320871,8.006176138510462,0.8282041307080126,0.4286809951066971,0.9004217982292175,0.9851220071315766,0.06843412967572124,0.03754576966354211,6.299601187290853,0.4942812503694298,-0.1734956845641136,0.5773108005523682,0.9145090818405152,0.13846998262388427,0.0715382406419801,1.407373223510608,0.7903179041409897,0.3240500658750534,0.8681496381759644,0.972746878862381,0.16643722351994847,0.07988243473269663,4.477095682882485,0.7716170450765512,0.29616205394268036,0.8536336421966553,0.966795927286148,0.25039070045354817,0.11863883147191084,4.012956335546771,0.7374815165444498,0.2711866497993469,0.8097469210624695,0.9602470099925995,0.26142585410186714,0.12511457074169058,3.592943405872952,0.7661468862436253,0.2217235237360001,0.8612454533576965,0.9693863987922668,0.3447453589446363,0.11639528295884452,4.058386712278309,0.8030454123287538,0.31276359856128694,0.8911094069480896,0.978829151391983,0.19880736195405385,0.09689680970582362,4.788391671631532,0.7821624703959472,0.2684121400117874,0.8791866898536682,0.9779033660888672,0.2030896077001311,0.09353599050715805,4.6903787169744575,0.7223644393084024,0.4710945119698821,,,,,,,,,,,,,,,,,,,
conv15e_del_wave_ce_s42_l0,15-Epoch Convergence,del_wave_ce,I,1110000,42,15,completed,0.7473064300220629,0.4087363779544831,0.8335691146228624,0.8298010230064392,0.7741606831550598,0.8829206824302673,0.8323217034339905,0.9063384532928467,0.8671058358608016,1.490336583906755,0.13379941233222897,0.18823330664284518,0.0,0.0,0.0,1.68536091857616,0.4720016600817187,0.002021118994145922,0.7473116954972014,0.4090469062328339,0.7752131388673799,0.2848732250432174,0.6963365844061089,0.19575261682271958,0.7817627261562089,0.7524706714699024,0.7914060189760284,0.8301917836023132,0.5855474817611733,0.999966584675038,0.9999436736106873,0.999970018863678,0.9999803841114044,0.002073569437693019,0.0013153896805396421,39.000967512423436,0.7113769537092737,0.18885296136140825,0.7898969650268555,0.9495295703411103,0.14248489582250512,0.07227134041017176,3.3964025606121826,0.5502675580593882,-0.13869479596614834,0.6327398419380188,0.9398572385311127,0.13039445097392535,0.07224953822634578,1.9462777380763547,0.8948486931447112,0.6460931360721588,0.9395256042480469,0.9854451537132263,0.07929371895621433,0.03743902898504067,8.020409631494653,0.8301917836023132,0.44125030338764193,0.9019904732704163,0.9850960433483124,0.06712860272786647,0.03724420804997963,6.400050997802543,0.4949979335148582,-0.1587385207414627,0.575310468673706,0.9127596318721772,0.13410509035208604,0.07151501247189185,1.4019638786188497,0.7900432639582419,0.32221710979938506,0.8694939613342285,0.9715323448181152,0.1606077316749452,0.07962809259390208,4.489293839444216,0.7734821883541759,0.30743341445922856,0.853278398513794,0.9681548833847046,0.2501219639738085,0.11891674201046443,4.028849558084794,0.7393464819795657,0.282784515619278,0.8134620189666748,0.9606768190860748,0.26154096391042964,0.12540235999242952,3.596011926206107,0.7655948609602392,0.21035622507333757,0.8616694211959839,0.9695088386535645,0.3432952561759684,0.1159863759837345,4.078477657790567,0.8011941511906681,0.3083348751068115,0.8898271322250366,0.9779544591903686,0.19620737905016117,0.09686568806880502,4.8015405234409965,0.7816178867613885,0.27811321020126345,0.8786317110061646,0.9771913945674896,0.20081938822399392,0.09352831957086177,4.6963043286261605,0.7224521236005822,0.4519096021932053,,,,,,,,,,,,,,,,,,,
conv15e_R5_morlet_mag_ueg_phase_wyatt_s42_l0,15-Epoch Convergence,R5_morlet_mag_ueg_phase_wyatt,I,1110000,42,15,completed,0.7472216434711936,0.40253992378711706,0.8390709308610447,0.8366556167602539,0.7882049679756165,0.8843302726745605,0.8374317288398743,0.9105663895606995,0.8745153654477859,1.487865081761429,0.2609357839698745,0.18758170673283983,0.13562447160956617,0.0,0.0,1.7564088705849619,0.5490817514817017,0.0020611569688072933,0.7472167105929763,0.4025851041078568,0.775164325743222,0.27444094866514207,0.6942770383225398,0.18669719487428665,0.7822245730605937,0.7523929530216764,0.7908754511473959,0.8288912082942518,0.5825888608509578,0.9999461282681174,0.9998988807201385,0.999954879283905,0.9999690592288971,0.0028455251280891285,0.001373379202604386,38.6660336159371,0.7110272875991366,0.16481787115335467,0.7927796244621277,0.9510497152805328,0.13693146945793933,0.07233508818100692,3.421222829676745,0.5435851865650545,-0.13471386730670928,0.624471127986908,0.9375993728637696,0.13820929480459512,0.07254272744706326,1.894078369355307,0.8947274007655738,0.6514059126377105,0.9395870566368103,0.9855183482170105,0.07440544285915476,0.037678186228584994,7.9780241556438325,0.8288912082942518,0.4314377337694168,0.8999328017234802,0.9847571671009063,0.06793779299120246,0.03764679767763088,6.278356997449692,0.4931541083886824,-0.17946167588233938,0.5669848918914795,0.9112364411354066,0.13616301201432368,0.07183119162287438,1.3690861956979201,0.7906885719399488,0.3157203018665314,0.8690164089202881,0.9724655508995056,0.16312275597140424,0.07949953360898583,4.49731481582992,0.7737605741812387,0.3035213589668274,0.8567891716957092,0.9673110663890838,0.2510158305077928,0.11863181642348401,4.033461748171669,0.7378269509432399,0.2692893832921982,0.8124865889549255,0.9608471095561982,0.26141635826015214,0.12526666779332188,3.5920140127493556,0.7669589551001129,0.19886300563812256,0.8627749681472778,0.9695082187652588,0.3460219562918265,0.11640499566864705,4.0665934838768845,0.8004558931196136,0.29991984367370605,0.8884486556053162,0.9792667031288147,0.20181084552377834,0.09696379503336758,4.813204162105252,0.7812950091751781,0.25933179855346683,0.8771932721138,0.977566933631897,0.20446729548613837,0.09338977479726158,4.72654394076873,0.728808429451814,0.42797157148097525,,,,,,,,,,,,,,,,,,,
conv15e_ssl_log_magnitude_real_both_gated_add_s42_l0,15-Epoch Convergence,ssl_log_magnitude_real_both_gated_add,I,1110000,42,15,completed,0.7470307278639261,0.4096869558095932,0.8377618055412734,0.8360959887504578,0.7872705459594727,0.8845524787902832,0.8364647626876831,0.9102221131324768,0.8750443494860652,1.488743166590846,0.05811785207092397,0.1880269007919176,0.13606249943211438,0.0,0.0,1.7478098462232032,0.5647817010395092,0.002052719762070461,0.7470425162711822,0.4097917675971985,0.7747464956478539,0.28270449067155523,0.6966933020443126,0.19158343493938448,0.7812062866842452,0.7517513802470149,0.7912818200123017,0.830129251411258,0.586460609336202,0.9999704203417801,0.9999452948570251,0.9999743700027466,0.9999845027923584,0.0020558367297233765,0.0010760616120224582,40.746112404970525,0.7111714116446555,0.173111392557621,0.7916429042816162,0.9494445323944092,0.144496994195977,0.07226925795753643,3.4369615027461813,0.5505151621029131,-0.14583037197589874,0.6353877782821655,0.9407003879547119,0.14006581654741912,0.07242068576025365,1.9398430917665672,0.8939554308016984,0.643693333864212,0.940314531326294,0.9861383736133575,0.07462028666115549,0.03744502633893662,8.039757380829428,0.830129251411258,0.43843892216682434,0.9027802348136902,0.9850005388259888,0.06608827253788029,0.03719744644781802,6.411977998994247,0.4976952542610376,-0.15149610191583632,0.566395103931427,0.9137266993522645,0.13979886101249372,0.07147905462776856,1.4260909880389447,0.7887569208826957,0.31848719120025637,0.8685141801834106,0.9712264835834503,0.164030603886924,0.0797401247516213,4.458029375875845,0.7736556524857947,0.3126655161380768,0.854464590549469,0.9673527538776397,0.250861126989231,0.1190982605942853,3.9949778043601,0.7389529826060162,0.2782778561115265,0.8128608465194702,0.9603695273399353,0.2617604540755012,0.12528349150038753,3.593397499831966,0.7645497778880137,0.20117381960153582,0.8630107045173645,0.9702123165130615,0.34486744102416905,0.1164869496882972,4.0815436358486705,0.8007909600348632,0.3146851420402527,0.8881697058677673,0.9780490636825562,0.19741756155334772,0.0971029314169412,4.797893038985523,0.7817726799897402,0.27093741893768314,0.8772841691970825,0.977662318944931,0.2015284958620088,0.09353984233317876,4.716606674430038,0.7294920134026787,0.45546647914741795,,,,,,,,,,,,,,,,,,,
conv15e_ssl_log_magnitude_phase_sin_local_gated_add_s42_l0,15-Epoch Convergence,ssl_log_magnitude_phase_sin_local_gated_add,I,1110000,42,15,completed,0.7468112377954141,0.40478457510471344,0.8387162806331248,0.8368632197380066,0.7902225852012634,0.8833539485931396,0.8370130062103271,0.9107204079627991,0.8741427806402304,1.4848168199036083,0.1419503280261447,0.18706960784615617,0.13536202374987094,0.0,0.0,1.7467669031173538,0.4797006457168586,0.0020388964632680785,0.7467988107218635,0.4048397958278656,0.7749048279612561,0.2835272120932738,0.6944408821778363,0.18957915723323826,0.7819017260276906,0.7526817383965616,0.790131019459516,0.8292229792787478,0.5831381255925759,0.999963790710727,0.9999209821224213,0.9999732375144958,0.9999866485595703,0.003080710115036466,0.0011358902920452934,40.690507238740175,0.7114603038206594,0.19470997005701066,0.7922067642211914,0.9501150965690613,0.1400531629239191,0.07232573798563685,3.4016743645917127,0.5442544792969731,-0.13685488700866696,0.6237217783927917,0.9408920407295227,0.13426735583769664,0.0726414635748463,1.8868864025356205,0.8935670548327057,0.6410235345363617,0.9398024082183838,0.9857086896896362,0.07307759001715783,0.03773126614749759,7.961283533325384,0.8292229792787478,0.42506943941116343,0.9021512269973755,0.9852993726730347,0.06792965209819238,0.03741801370543642,6.339164285413516,0.4936995936600953,-0.1760522708296776,0.57371985912323,0.9110181868076325,0.13489049660502808,0.07171056101519309,1.3875444222116213,0.790220367739065,0.3165082573890686,0.8693440556526184,0.9726253092288971,0.1656366044599198,0.07965114370220526,4.5003145356125875,0.7735830843163163,0.30974969863891605,0.8544656038284302,0.9665492713451386,0.2516865362109614,0.11917995666445967,3.995921799786341,0.739603335597133,0.27881686091423036,0.8126536011695862,0.9611726641654968,0.2632816498298194,0.12538375999595913,3.5881854282305765,0.7657601411959903,0.2090609505772591,0.8620052933692932,0.9694483757019043,0.3435711797264617,0.11600758359467579,4.073671100066443,0.8008093688670295,0.31651576161384587,0.8876532912254333,0.9780433654785157,0.20102966655917215,0.09713641650534473,4.775512987631107,0.7794526700520026,0.27051174342632295,0.8763420581817627,0.9776879787445069,0.20443560640164407,0.09383717658142403,4.6772478752845466,0.7288339621180847,0.4290381521474865,,,,,,,,,,,,,,,,,,,
conv15e_R7_morlet_mag_ueg_real_s42_l0,15-Epoch Convergence,R7_morlet_mag_ueg_real,I,1110000,42,15,completed,0.7468031945148166,0.4087526172399521,0.8380672629328741,0.8366022706031799,0.7864255905151367,0.885456919670105,0.8379243612289429,0.9105036854743958,0.8784085705166457,1.4822212284022767,0.20107072197821907,0.18597394994014335,0.1343761485530522,0.0,0.0,1.7455389889246684,0.5218271928653577,0.0020439807817231887,0.746805484790186,0.40850971043109896,0.7748692022059842,0.2842287411292394,0.6965615259336544,0.189746185541153,0.781420672005662,0.7512772170735549,0.7919097175387357,0.8305595272698064,0.5856634307485219,0.9999495996721174,0.9999071002006531,0.9999638795852661,0.9999790787696838,0.0036790828487402384,0.002184329710023429,35.86577882910889,0.7126012467787751,0.18111360371112828,0.7960116863250732,0.9500135123729706,0.14234663054464136,0.07209207637698838,3.427877390931266,0.5472141198167718,-0.15009865462779995,0.6309154629707336,0.9386308848857879,0.1404541210787376,0.07240489121028182,1.9258310033745025,0.8952578101528998,0.6457649111747742,0.9400904178619385,0.9861523091793061,0.07364341684511318,0.03732982435038862,8.014218199752404,0.8305595272698064,0.4358257085084915,0.9028540253639221,0.9853099405765533,0.0676048507258279,0.037257909665137624,6.384665241200039,0.4971749256500188,-0.16387464106082916,0.5690616965293884,0.9137178301811218,0.13577425085739236,0.07152560687454548,1.3954889059888131,0.7902296219020335,0.322818723320961,0.867464542388916,0.9717164218425751,0.16191160382781125,0.07953876951744374,4.490454494338389,0.7726117221092906,0.31275185346603396,0.853729248046875,0.9670012176036835,0.251937116312271,0.11910485799381261,4.00647335794579,0.7367141763786873,0.2659183144569397,0.8109402656555176,0.959876435995102,0.2632604125045652,0.12581138076978268,3.565473186771814,0.7658402577684224,0.20685634911060333,0.8638935685157776,0.969270396232605,0.3453602188947298,0.11634740082907993,4.051486653836586,0.8021952388070069,0.32659327387809756,0.8885983228683472,0.9780669271945953,0.19861634601818892,0.09697002229893831,4.774601424517783,0.7816241962704645,0.2704339325428009,0.8786232471466064,0.9770124077796936,0.2032313432241056,0.09360851547661597,4.696549846761401,0.731753592687876,0.467651010063601,,,,,,,,,,,,,,,,,,,
conv15e_conv_control_s42_l0,15-Epoch Convergence,conv_control,I,1110000,42,15,completed,0.746096775759962,0.4026222497224808,0.8425241052240565,0.8353404998779297,0.7880141735076904,0.8846120834350586,0.8333951830863953,0.9097806811332703,0.8737932784335792,1.5003778652870523,0.2450043858191958,0.19183681075400794,0.13906817606934135,0.0,0.0,1.7741030269328646,0.5548955240039521,0.002080850718499331,0.7460892519227174,0.403073188662529,0.7744174130670328,0.2834358322123686,0.6921888826858565,0.19244689792394645,0.7802261424305722,0.7518170750621125,0.791209021708414,0.8290729426213148,0.5789944941423446,0.9999568177864085,0.9999244928359985,0.9999631643295288,0.9999756753444672,0.006741921165282888,0.0016220200969266996,37.747312338702784,0.7094558500874646,0.20402096360921862,0.7919455170631409,0.9478538453578949,0.14225511627026663,0.07248009909225941,3.380063174121795,0.5400665161953447,-0.14885388612747188,0.623343288898468,0.9403552651405335,0.14003980176087888,0.07263942744559,1.8782375739378394,0.8948879883809342,0.6462901949882508,0.9403575658798218,0.9860020935535431,0.07590922491739713,0.037536437424182195,7.966223594432665,0.8290729426213148,0.4359995722770691,0.9038553237915039,0.9849633753299714,0.06706771820643102,0.03743080022107883,6.326496946956259,0.4874611161442247,-0.1752223551273345,0.5591810941696167,0.916139030456543,0.1466272572910975,0.0718298386803739,1.3620269986163258,0.7889010246563234,0.3223890960216522,0.8683704733848572,0.9712918519973756,0.1642472221833554,0.07966028643661936,4.455467685388996,0.771551260204821,0.3100891441106796,0.8553306460380554,0.9656946778297425,0.25274365356604134,0.11904543883282823,3.9897255153568874,0.7374869521341039,0.27554281055927277,0.8104941248893738,0.9602939307689666,0.2610431082544455,0.1252473760430372,3.5828218043471876,0.766147197990121,0.21027290076017383,0.8622464537620544,0.9690757274627686,0.343632160852062,0.1160083478099086,4.079071711805793,0.8020236888035204,0.31972033977508546,0.8886123299598694,0.9775532424449921,0.19801276331343023,0.09675875045461525,4.8027775935091475,0.7803943546133075,0.26260070204734803,0.8746097683906555,0.9776748716831207,0.2036347683198434,0.09367361809525927,4.688419070259501,0.7222613730586458,0.44504136705313935,,,,,,,,,,,,,,,,,,,
conv15e_A0_raw_s42_l0,15-Epoch Convergence,A0_raw,I,1110000,42,15,completed,0.7455612604621076,0.4047018468379975,0.8392043597456338,0.8355143666267395,0.7881250977516174,0.8835763931274414,0.834841787815094,0.9098959565162659,0.8724678408660801,1.4816865545299676,0.0,0.1871837034292583,0.13550699683706502,0.0,0.0,1.7367276432610492,0.47285791235717156,0.0020776903107336286,0.7455623356119461,0.4047704607248307,0.7734146232697968,0.27219298556447036,0.6970533884849696,0.18431521892547612,0.7791431322455449,0.7495213896276658,0.7915793479361797,0.8290105602958684,0.5876425339483103,0.9999327899063065,0.999876868724823,0.999945342540741,0.9999687016010285,0.005540493066907273,0.002782580209216035,33.84065955088219,0.7121565826405719,0.17722607553005224,0.7956051826477051,0.9502244532108307,0.13677976708477393,0.07202996023808168,3.4796741113507803,0.5528861977357504,-0.12609132677316665,0.6359222531318665,0.9380616426467896,0.13206443212649585,0.07221984249837031,1.9423214016197248,0.8933287802840482,0.6286012291908264,0.9410874247550964,0.9857766449451446,0.07439497314720231,0.03768202718889125,7.976040998703287,0.8290105602958684,0.4259251356124878,0.9010469317436218,0.9847973704338073,0.0685156743443085,0.03760541730103447,6.269074854773315,0.4978848214686086,-0.1840850189328193,0.5713410973548889,0.9129865229129791,0.13172795362046405,0.07131976569246329,1.4468405921280516,0.78798481050857,0.304325532913208,0.8658736944198608,0.9716127753257752,0.16975302616313975,0.07984695227861924,4.454155772300697,0.7703014539825196,0.2953593820333481,0.8511826992034912,0.9664722383022308,0.25282751551303545,0.11921477203133234,3.9719294821574596,0.7351362432741001,0.2526308357715607,0.8101047873497009,0.959635716676712,0.2640681818124436,0.1259072475481746,3.5499070262189454,0.7639065359812315,0.19297471493482599,0.8626338243484497,0.9699423611164093,0.3445354218284614,0.11665289704246336,4.032479048132567,0.8013751798331143,0.3049052566289902,0.888980507850647,0.9789117753505707,0.19851296472199959,0.09705550548591939,4.772161954057378,0.781783516039245,0.28296219110488896,0.878530740737915,0.9769166707992554,0.20330503871001196,0.09342496438857222,4.742355680044854,0.7234161280900512,0.4532748629135774,,,,,,,,,,,,,,,,,,,
