model_id,family,effective_rank,participation_ratio,ev_10,spectral_slope,spearman_P1_phys,p_val_P1,spearman_P2_prec,spearman_P3_alg,spearman_P4_func_H4,p_val_P4,spearman_P4_func_H5,spearman_P4_func_H6,mean_v_step,std_v_step,fvec_stability,crystal_residual
conv15e_A0_raw_s42_l0,Wavelet/SSL,1.9,1.25,0.9759,-2.03,0.4424,0.0125,0.5625,0.3853,0.5718,0.0005,0.5718,0.5724,0.0012,0.0008,0.9696,1.9203
conv15e_A0_wave_noSSL_gated_add_s42_l0,Wavelet/SSL,1.49,1.13,0.9895,-2.208,0.4115,0.0335,0.5939,0.3061,0.4765,0.0065,0.4765,0.53,0.0013,0.0011,0.9815,1.9546
conv15e_A0_zscore_s42_l0,Wavelet/SSL,1.25,1.07,0.994,-2.208,0.5325,0.0055,0.5975,0.3739,0.5911,0.0005,0.5911,0.5182,0.0006,0.0005,0.9747,1.9754
conv15e_C1_E1_morlet_mag_morlet_phase_s42_l0,Wavelet/SSL,1.09,1.02,0.9979,-2.23,0.4162,0.033,0.5201,0.2969,0.562,0.0005,0.562,0.5954,0.0003,0.0002,0.8833,1.9927
conv15e_R5_morlet_mag_ueg_phase_wyatt_s42_l0,Wavelet/SSL,1.47,1.13,0.9899,-2.244,0.5357,0.0065,0.586,0.3318,0.5934,0.0005,0.5934,0.5446,0.0014,0.0013,0.9819,1.9554
conv15e_R7_morlet_mag_ueg_real_s42_l0,Wavelet/SSL,1.33,1.09,0.9926,-2.233,0.4214,0.028,0.5638,0.3567,0.5332,0.0015,0.5332,0.5484,0.0014,0.0012,0.9652,1.9648
conv15e_conv_control_s42_l0,Wavelet/SSL,1.42,1.12,0.9912,-2.262,0.3443,0.05,0.552,0.3506,0.4757,0.003,0.4757,0.5076,0.0015,0.0014,0.9519,1.9648
conv15e_del_wave_ce_s42_l0,Wavelet/SSL,1.26,1.07,0.9946,-2.256,0.5208,0.007,0.5891,0.3558,0.5787,0.0005,0.5787,0.5467,0.001,0.0008,0.9673,1.9704
conv15e_ssl_log_magnitude_phase_sin_local_gated_add_s42_l0,Wavelet/SSL,1.28,1.08,0.9945,-2.307,0.4729,0.0085,0.5857,0.3785,0.577,0.001,0.577,0.5896,0.0013,0.001,0.9804,1.9601
conv15e_ssl_log_magnitude_real_both_gated_add_s42_l0,Wavelet/SSL,1.34,1.09,0.9931,-2.251,0.5026,0.0075,0.6163,0.3206,0.5435,0.0005,0.5435,0.5343,0.0009,0.0009,0.9779,1.9604
conv15e_tf_sc16_cy4_s42_l0,Wavelet/SSL,1.42,1.12,0.9909,-2.197,0.4769,0.018,0.5488,0.3668,0.5705,0.001,0.5705,0.5226,0.0013,0.0011,0.9372,1.9514
conv15e_tf_sc16_cy8_s42_l0,Wavelet/SSL,1.38,1.1,0.9915,-2.194,0.414,0.0285,0.5901,0.3098,0.4884,0.004,0.4884,0.524,0.0014,0.0012,0.9774,1.9661
D0_current_id_currentloss_s42_l0,3D-Theta Factorial,17.02,7.68,0.8112,-1.635,0.5002,0.0005,0.0938,0.1004,0.6295,0.0005,0.7386,0.732,0.0006,0.0002,0.9999,1.8796
D1_theta_mul_currentloss_s42_l0,3D-Theta Factorial,4.3,2.17,0.9463,-1.94,0.8546,0.0005,0.4608,0.3233,0.6964,0.0005,0.7111,0.7166,0.0202,0.0113,0.9626,0.6457
D2_current_id_l1_s42_l0,3D-Theta Factorial,19.35,8.51,0.7838,-1.575,0.5171,0.001,0.1485,0.098,0.5988,0.0005,0.6607,0.6576,0.0008,0.0003,0.9999,1.8571
D3_theta_mul_l1_s42_l0,3D-Theta Factorial,23.27,8.55,0.7288,-1.398,0.8229,0.0005,0.5291,0.3071,0.6729,0.0005,0.6306,0.6412,0.0123,0.0069,0.8268,0.6754
D4_learned12_mul_l1_s42_l0,3D-Theta Factorial,7.15,2.8,0.8881,-1.731,0.4379,0.0065,0.0492,0.1417,0.4503,0.004,0.5341,0.5486,0.0453,0.077,0.9557,1.9943
D5_permuted_theta_mul_l1_s42_l0,3D-Theta Factorial,14.15,5.7,0.8272,-1.654,0.0562,0.3128,0.166,-0.0779,0.0089,0.4153,0.6086,0.6303,0.0458,0.0309,0.8992,1.8891
D6_theta_add_l1_s42_l0,3D-Theta Factorial,8.42,4.06,0.9131,-2.031,0.9236,0.0005,0.4837,0.4312,0.7748,0.0005,0.8055,0.8072,0.0085,0.0048,1.0,0.6284
D7_learned12_add_l1_s42_l0,3D-Theta Factorial,7.51,3.09,0.8976,-1.844,0.3856,0.0115,-0.0258,0.1226,0.4991,0.0025,0.6744,0.6581,0.0537,0.0795,1.0,1.9999
D8_random12_mul_l1_s42_l0,3D-Theta Factorial,42.03,17.32,0.6182,-1.229,0.3693,0.0065,0.1402,0.0408,0.5451,0.0005,0.5658,0.5837,0.0635,0.0321,0.7907,1.4936
