dataset,record_id,block_mode,gamma,m_star,G_star,purity_rule,n_recurrence_control_pairs,recurrence_rejections,recurrence_rejection_rate,n_alt_pairs,alt_rejections,power,graph_density,n_clique_groups,n_cc_groups,overlap_fraction,edge_jaccard_30db,elapsed_sec
LUDB,102,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.21428571428571427,4,4,0.0,0.0,14.59424877166748
LUDB,104,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,0,0,,0,0,,0.32142857142857145,3,3,0.0,0.1111111111111111,15.217513799667358
LUDB,1,attribute_kmeans,1.0,16,6,exact_phase_and_beat_membership,1,1,1.0,0,0,,0.2,4,3,0.16666666666666666,0.75,17.899213552474976
LUDB,100,attribute_kmeans,1.0,32,6,exact_phase_and_beat_membership,1,1,1.0,0,0,,0.5333333333333333,3,2,0.8333333333333334,0.7777777777777778,20.08611536026001
LUDB,101,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.5,3,1,0.25,0.0625,19.577011585235596
LUDB,10,attribute_kmeans,1.0,16,4,exact_phase_and_beat_membership,0,0,,0,0,,0.5,2,2,0.0,1.0,27.17098617553711
LUDB,106,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.17857142857142858,5,4,0.125,0.2857142857142857,14.184847354888916
LUDB,103,attribute_kmeans,1.0,32,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.5,2,2,0.0,0.058823529411764705,33.87413668632507
LUDB,107,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.39285714285714285,3,2,0.375,0.5333333333333333,15.634142398834229
LUDB,105,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,1.0,1,1,0.0,0.8333333333333334,31.48263168334961
RDB,rdb_AF0060,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.39285714285714285,4,1,0.5,0.13636363636363635,13.745542049407959
RDB,rdb_AF0066,attribute_kmeans,1.0,64,8,exact_phase_and_beat_membership,0,0,,0,0,,0.6428571428571429,3,1,0.625,1.0,13.54418659210205
RDB,rdb_AF0048,attribute_kmeans,1.0,32,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,1.0,1,1,0.0,0.2,16.799046516418457
RDB,rdb_AF0065,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,5,0,0.0,0,0,,0.35714285714285715,4,2,0.5,0.8181818181818182,16.619900703430176
RDB,rdb_AF0036,attribute_kmeans,1.0,16,4,exact_phase_and_beat_membership,3,0,0.0,0,0,,1.0,1,1,0.0,1.0,34.62705659866333
RDB,rdb_AF0006,attribute_kmeans,1.0,32,6,exact_phase_and_beat_membership,6,0,0.0,0,0,,0.5333333333333333,3,1,0.3333333333333333,0.375,42.17454266548157
RDB,rdb_AF0091,attribute_kmeans,1.0,32,6,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.26666666666666666,3,3,0.0,0.125,18.051413536071777
RDB,rdb_AF0093,attribute_kmeans,1.0,64,6,exact_phase_and_beat_membership,10,0,0.0,0,0,,1.0,1,1,0.0,0.44,57.83218240737915
RDB,rdb_AF0071,attribute_kmeans,1.0,64,6,exact_phase_and_beat_membership,10,2,0.2,0,0,,0.8666666666666667,2,1,1.0,0.8666666666666667,50.8097870349884
RDB,rdb_AF0058,attribute_kmeans,1.0,64,8,exact_phase_and_beat_membership,15,0,0.0,0,0,,1.0,1,1,0.0,1.0,61.04012894630432
ISP,2,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.17857142857142858,5,4,0.125,0.25,62.424039125442505
ISP,1,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,5,0,0.0,0,0,,0.35714285714285715,4,2,0.375,0.10526315789473684,70.06467771530151
ISP,5,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,6,0,0.0,0,0,,0.42857142857142855,2,2,0.0,0.21052631578947367,69.14838480949402
ISP,8,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,5,1,0.2,0,0,,0.7142857142857143,3,2,0.625,0.5185185185185185,69.61918497085571
ISP,3,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,6,0,0.0,0,0,,0.4642857142857143,3,1,0.5,0.8571428571428571,107.68853259086609
Zhejiang,1000364,attribute_kmeans,1.0,16,6,exact_phase_and_beat_membership,0,0,,2,2,1.0,0.26666666666666666,3,3,0.0,0.4444444444444444,34.9404673576355
ISP,9,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.10714285714285714,6,6,0.0,1.0,64.23785090446472
Zhejiang,1000436,attribute_kmeans,1.0,16,6,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.5333333333333333,2,1,0.5,0.875,25.29616928100586
Zhejiang,1003549,attribute_kmeans,1.0,64,8,exact_phase_and_beat_membership,3,1,0.3333333333333333,0,0,,0.6071428571428571,4,1,0.75,0.7619047619047619,37.712740421295166
Zhejiang,1003838,attribute_kmeans,1.0,16,4,exact_phase_and_beat_membership,0,0,,0,0,,0.0,4,4,0.0,1.0,31.836637258529663
Zhejiang,1009731,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.8333333333333334,2,1,0.5,0.09090909090909091,79.27482652664185
Zhejiang,1011746,attribute_kmeans,1.0,16,6,exact_phase_and_beat_membership,3,0,0.0,0,0,,1.0,1,1,0.0,0.3333333333333333,24.89440417289734
Zhejiang,1010096,attribute_kmeans,1.0,64,6,exact_phase_and_beat_membership,6,0,0.0,0,0,,0.7333333333333333,2,1,0.3333333333333333,0.5714285714285714,34.54798221588135
Zhejiang,1012874,attribute_kmeans,1.0,16,4,exact_phase_and_beat_membership,0,0,,0,0,,0.0,4,4,0.0,1.0,23.665301084518433
ISP,7,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.17857142857142858,5,4,0.25,0.2222222222222222,178.74781560897827
Zhejiang,1010240,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,10,0,0.0,0,0,,0.6785714285714286,2,1,0.375,0.4166666666666667,34.57233190536499
Zhejiang,1014397,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,2,0,0.0,0,0,,0.35714285714285715,3,1,0.375,0.3333333333333333,26.058446168899536
ISP,10,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.5,2,2,0.0,0.75,237.07220935821533
ISP,4,attribute_kmeans,1.0,128,6,exact_phase_and_beat_membership,10,0,0.0,0,0,,1.0,1,1,0.0,0.6666666666666666,326.2448260784149
ISP,6,attribute_kmeans,1.0,64,8,exact_phase_and_beat_membership,9,0,0.0,0,0,,0.5714285714285714,2,1,0.5,0.5714285714285714,163.9255096912384
