dataset,record_id,block_mode,gamma,m_star,G_star,n_null_pairs,null_rejections,type1_error,n_alt_pairs,alt_rejections,power,graph_density,n_clique_groups,n_cc_groups,overlap_fraction,edge_jaccard_30db,elapsed_sec
LUDB,1,temporal_contiguous,1.0,16,6,1,1,1.0,0,0,,0.26666666666666666,4,2,0.5,0.6666666666666666,15.191960573196411
LUDB,100,temporal_contiguous,1.0,32,6,1,1,1.0,0,0,,0.2,5,3,0.16666666666666666,0.5,16.84759545326233
LUDB,1,unblocked,1.0,16,6,1,1,1.0,0,0,,0.2,4,3,0.16666666666666666,0.75,18.099685430526733
LUDB,1,attribute_kmeans,1.0,16,6,1,1,1.0,0,0,,0.2,4,3,0.16666666666666666,0.75,18.217275619506836
LUDB,100,attribute_kmeans,1.0,32,6,1,1,1.0,0,0,,0.5333333333333333,3,2,0.8333333333333334,0.7777777777777778,19.4101779460907
LUDB,10,temporal_contiguous,1.0,16,4,0,0,,0,0,,0.16666666666666666,3,3,0.0,1.0,25.18108558654785
LUDB,10,unblocked,1.0,16,4,0,0,,0,0,,0.5,2,2,0.0,1.0,28.146551370620728
LUDB,10,attribute_kmeans,1.0,16,4,0,0,,0,0,,0.5,2,2,0.0,1.0,27.546343326568604
LUDB,100,unblocked,1.0,32,6,1,1,1.0,0,0,,0.5333333333333333,3,2,0.8333333333333334,0.7777777777777778,20.288902044296265
LUDB,102,attribute_kmeans,1.0,16,8,1,0,0.0,0,0,,0.21428571428571427,4,4,0.0,0.0,15.214373588562012
LUDB,102,temporal_contiguous,1.0,16,8,1,0,0.0,0,0,,0.14285714285714285,5,5,0.0,0.0,13.793238639831543
LUDB,101,temporal_contiguous,1.0,32,8,3,0,0.0,0,0,,0.32142857142857145,3,2,0.25,0.0,17.040213346481323
LUDB,101,attribute_kmeans,1.0,32,8,3,0,0.0,0,0,,0.5,3,1,0.25,0.0625,17.89182472229004
LUDB,102,unblocked,1.0,16,8,1,0,0.0,0,0,,0.21428571428571427,4,4,0.0,0.0,14.449194431304932
LUDB,101,unblocked,1.0,32,8,3,0,0.0,0,0,,0.5,3,1,0.25,0.0625,19.546682596206665
LUDB,104,attribute_kmeans,1.0,32,8,0,0,,0,0,,0.32142857142857145,3,3,0.0,0.1111111111111111,14.908192873001099
LUDB,104,temporal_contiguous,1.0,32,8,0,0,,0,0,,0.32142857142857145,3,3,0.0,0.06666666666666667,13.794479131698608
LUDB,104,unblocked,1.0,32,8,0,0,,0,0,,0.32142857142857145,3,3,0.0,0.1111111111111111,16.127087593078613
LUDB,103,attribute_kmeans,1.0,32,4,1,0,0.0,0,0,,0.5,2,2,0.0,0.058823529411764705,36.72141981124878
LUDB,103,temporal_contiguous,1.0,32,4,1,0,0.0,0,0,,0.5,2,2,0.0,0.06666666666666667,32.441328048706055
LUDB,103,unblocked,1.0,32,4,1,0,0.0,0,0,,0.5,2,2,0.0,0.058823529411764705,38.45124959945679
LUDB,106,attribute_kmeans,1.0,16,8,3,0,0.0,3,3,1.0,0.17857142857142858,5,4,0.125,0.2857142857142857,15.554387092590332
LUDB,106,temporal_contiguous,1.0,16,8,3,0,0.0,3,3,1.0,0.10714285714285714,6,6,0.0,0.2,11.446252346038818
LUDB,106,unblocked,1.0,16,8,3,0,0.0,3,3,1.0,0.17857142857142858,5,4,0.125,0.2857142857142857,13.411441326141357
LUDB,105,temporal_contiguous,1.0,64,4,1,0,0.0,0,0,,0.5,2,2,0.0,0.5,34.518744707107544
LUDB,105,attribute_kmeans,1.0,64,4,1,0,0.0,0,0,,1.0,1,1,0.0,0.8333333333333334,37.52949666976929
LUDB,107,attribute_kmeans,1.0,16,8,1,0,0.0,0,0,,0.39285714285714285,3,2,0.375,0.5333333333333333,15.118865966796875
LUDB,107,temporal_contiguous,1.0,16,8,1,0,0.0,0,0,,0.21428571428571427,5,5,0.0,0.3333333333333333,13.233188390731812
LUDB,107,unblocked,1.0,16,8,1,0,0.0,0,0,,0.39285714285714285,3,2,0.375,0.5333333333333333,16.0769100189209
LUDB,105,unblocked,1.0,64,4,1,0,0.0,0,0,,1.0,1,1,0.0,0.8333333333333334,37.031219482421875
RDB,rdb_AF0048,attribute_kmeans,1.0,32,4,1,0,0.0,0,0,,1.0,1,1,0.0,0.2,15.81310248374939
RDB,rdb_AF0048,temporal_contiguous,1.0,32,4,1,0,0.0,0,0,,0.3333333333333333,2,2,0.0,0.0,12.473384141921997
