dataset,permutation_scheme,n_records,total_null_pairs,null_rejections,empirical_type1_error,total_alt_pairs,alt_rejections,empirical_power,mean_edge_jaccard_30db,mean_density,mean_cliques
ISP,attribute_kmeans,10,53,1,0.018867924528301886,13,13,1.0,0.5151768309663046,0.45,3.3
ISP,temporal_contiguous,10,53,1,0.018867924528301886,13,13,1.0,0.5301830663615561,0.3488095238095238,3.8
ISP,unblocked,10,53,1,0.018867924528301886,13,13,1.0,0.5151768309663046,0.45,3.3
LUDB,attribute_kmeans,10,12,2,0.16666666666666666,3,3,1.0,0.4412593370681607,0.4340476190476191,3.0
LUDB,temporal_contiguous,10,12,2,0.16666666666666666,3,3,1.0,0.33333333333333337,0.27404761904761904,3.8
LUDB,unblocked,10,12,2,0.16666666666666666,3,3,1.0,0.44125933706816056,0.434047619047619,3.0
RDB,attribute_kmeans,10,59,2,0.03389830508474576,0,0,,0.5961212121212122,0.705952380952381,2.3
RDB,temporal_contiguous,10,59,4,0.06779661016949153,0,0,,0.5552380952380952,0.4164285714285715,3.0
RDB,unblocked,10,59,2,0.03389830508474576,0,0,,0.5961212121212122,0.705952380952381,2.3
Zhejiang,attribute_kmeans,10,43,20,0.46511627906976744,41,39,0.9512195121951219,0.1573412698412698,0.16404761904761905,4.8
Zhejiang,temporal_contiguous,10,43,23,0.5348837209302325,41,41,1.0,0.09595238095238094,0.13642857142857143,5.1
Zhejiang,unblocked,10,43,20,0.46511627906976744,41,39,0.9512195121951219,0.1573412698412698,0.16404761904761905,4.8
