dataset,record_id,block_mode,gamma,m_star,G_star,purity_rule,n_recurrence_control_pairs,recurrence_rejections,recurrence_rejection_rate,n_alt_pairs,alt_rejections,power,graph_density,n_clique_groups,n_cc_groups,overlap_fraction,edge_jaccard_30db,elapsed_sec
LUDB,1,temporal_contiguous,1.0,16,6,exact_phase_and_beat_membership,1,1,1.0,0,0,,0.26666666666666666,4,2,0.5,0.6666666666666666,15.434067249298096
LUDB,100,temporal_contiguous,1.0,32,6,exact_phase_and_beat_membership,1,1,1.0,0,0,,0.2,5,3,0.16666666666666666,0.5,16.501100778579712
LUDB,1,unblocked,1.0,16,6,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.2,4,4,0.0,1.0,16.594676971435547
LUDB,1,attribute_kmeans,1.0,16,6,exact_phase_and_beat_membership,1,1,1.0,0,0,,0.2,4,3,0.16666666666666666,0.75,17.29644751548767
LUDB,100,attribute_kmeans,1.0,32,6,exact_phase_and_beat_membership,1,1,1.0,0,0,,0.5333333333333333,3,2,0.8333333333333334,0.7777777777777778,18.009958744049072
LUDB,10,temporal_contiguous,1.0,16,4,exact_phase_and_beat_membership,0,0,,0,0,,0.16666666666666666,3,3,0.0,1.0,23.982126712799072
LUDB,10,unblocked,1.0,16,4,exact_phase_and_beat_membership,0,0,,0,0,,0.16666666666666666,3,3,0.0,1.0,24.524822473526
LUDB,10,attribute_kmeans,1.0,16,4,exact_phase_and_beat_membership,0,0,,0,0,,0.5,2,2,0.0,1.0,25.983117818832397
LUDB,100,unblocked,1.0,32,6,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.2,4,4,0.0,1.0,17.361473560333252
LUDB,102,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.21428571428571427,4,4,0.0,0.0,14.572574138641357
LUDB,102,temporal_contiguous,1.0,16,8,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.14285714285714285,5,5,0.0,0.0,12.8131422996521
LUDB,101,temporal_contiguous,1.0,32,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.32142857142857145,3,2,0.25,0.0,16.983144998550415
LUDB,102,unblocked,1.0,16,8,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.03571428571428571,7,7,0.0,0.0,15.613612174987793
