dataset,permutation_scheme,n_records,total_recurrence_control_pairs,recurrence_rejections,pooled_recurrence_rejection_rate,patient_level_mean_recurrence_rejection_rate,n_patients_with_recurrence_pairs,total_alt_pairs,alt_rejections,empirical_power,mean_edge_jaccard_30db,mean_density,mean_cliques
ISP,attribute_kmeans,10,53,1,0.018867924528301886,0.02,10,0,0,,0.5151768309663046,0.45,3.3
ISP,temporal_contiguous,10,53,1,0.018867924528301886,0.02,10,0,0,,0.5301830663615561,0.3488095238095238,3.8
ISP,unblocked,10,53,41,0.7735849056603774,0.8344444444444445,10,0,0,,0.5183333333333333,0.05833333333333333,6.6
LUDB,attribute_kmeans,10,12,2,0.16666666666666666,0.25,8,0,0,,0.4412593370681607,0.4340476190476191,3.0
LUDB,temporal_contiguous,10,12,2,0.16666666666666666,0.25,8,0,0,,0.33333333333333337,0.27404761904761904,3.8
LUDB,unblocked,10,12,5,0.4166666666666667,0.29166666666666663,8,0,0,,0.42000000000000004,0.14833333333333334,5.0
RDB,attribute_kmeans,10,56,2,0.03571428571428571,0.022222222222222223,9,0,0,,0.5961212121212122,0.705952380952381,2.3
RDB,temporal_contiguous,10,56,4,0.07142857142857142,0.0962962962962963,9,0,0,,0.5552380952380952,0.4164285714285715,3.0
RDB,unblocked,10,56,18,0.32142857142857145,0.3111111111111111,9,0,0,,0.6138655462184873,0.29,4.3
Zhejiang,attribute_kmeans,10,31,12,0.3870967741935484,0.3154761904761904,7,7,7,1.0,0.15734126984126984,0.16404761904761905,4.8
Zhejiang,temporal_contiguous,10,31,14,0.45161290322580644,0.4107142857142857,7,7,7,1.0,0.09595238095238094,0.13642857142857143,5.1
Zhejiang,unblocked,10,31,30,0.967741935483871,0.9761904761904763,7,7,7,1.0,0.9,0.0035714285714285713,6.7
