dataset,record_id,block_mode,gamma,m_star,G_star,purity_rule,n_recurrence_control_pairs,recurrence_rejections,recurrence_rejection_rate,n_alt_pairs,alt_rejections,power,graph_density,n_clique_groups,n_cc_groups,overlap_fraction,edge_jaccard_30db,elapsed_sec
LUDB,102,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.21428571428571427,4,4,0.0,0.0,15.231048822402954
LUDB,104,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,0,0,,0,0,,0.32142857142857145,3,3,0.0,0.1111111111111111,15.36126446723938
LUDB,1,attribute_kmeans,1.0,16,6,exact_phase_and_beat_membership,1,1,1.0,0,0,,0.2,4,3,0.16666666666666666,0.75,18.263111352920532
LUDB,100,attribute_kmeans,1.0,32,6,exact_phase_and_beat_membership,1,1,1.0,0,0,,0.5333333333333333,3,2,0.8333333333333334,0.7777777777777778,20.18820834159851
LUDB,101,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.5,3,1,0.25,0.0625,19.99554133415222
LUDB,10,attribute_kmeans,1.0,16,4,exact_phase_and_beat_membership,0,0,,0,0,,0.5,2,2,0.0,1.0,28.06698989868164
LUDB,106,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.17857142857142858,5,4,0.125,0.2857142857142857,13.88934874534607
LUDB,103,attribute_kmeans,1.0,32,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.5,2,2,0.0,0.058823529411764705,34.60234260559082
LUDB,107,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.39285714285714285,3,2,0.375,0.5333333333333333,17.139050245285034
LUDB,105,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,1,0,0.0,0,0,,1.0,1,1,0.0,0.8333333333333334,31.3423330783844
RDB,rdb_AF0060,attribute_kmeans,1.0,16,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.39285714285714285,4,1,0.5,0.13636363636363635,13.93839430809021
