dataset,record_id,patient_id,block_mode,pair_kind,phase_1,phase_2,beat_1,beat_2,cluster_1_size,cluster_2_size,min_cluster_size,m_star,G_star,temporal_separation_ms,heart_rate_bpm,morphology_distance,p_value,q_value,rejected_by_graph_rule
LUDB,102,LUDB:102,attribute_kmeans,recurrence_control,2,2,1,2,14,18,14,16,8,912.0,66.3716814159292,0.06883681385867312,1.0,1.0,False
LUDB,1,LUDB:1,attribute_kmeans,recurrence_control,2,2,1,2,14,16,14,16,6,1358.0,43.731778425655975,0.07157613176384227,0.004975124378109453,0.01243781094527363,True
LUDB,100,LUDB:100,attribute_kmeans,recurrence_control,2,2,2,1,14,19,14,32,6,905.0,68.02721088435374,0.16780923672081202,0.004975124378109453,0.010660980810234541,True
LUDB,101,LUDB:101,attribute_kmeans,recurrence_control,2,2,3,2,18,16,16,32,8,1012.0,71.21661721068249,0.08396482952436735,1.0,1.0,False
LUDB,101,LUDB:101,attribute_kmeans,recurrence_control,2,2,3,1,18,12,12,32,8,1682.0,71.21661721068249,0.1530607546367426,1.0,1.0,False
LUDB,101,LUDB:101,attribute_kmeans,recurrence_control,2,2,2,1,16,12,12,32,8,670.0,71.21661721068249,0.07290750853452331,1.0,1.0,False
LUDB,106,LUDB:106,attribute_kmeans,recurrence_control,2,2,1,2,43,10,10,16,8,867.0,75.85335018963339,0.3226199940518749,0.6865671641791045,0.7119955776672194,False
LUDB,106,LUDB:106,attribute_kmeans,recurrence_control,2,2,1,3,43,10,10,16,8,1577.0,75.85335018963339,0.3393037310742857,0.6268656716417911,0.6750861079219288,False
LUDB,106,LUDB:106,attribute_kmeans,recurrence_control,2,2,2,3,10,10,10,16,8,710.0,75.85335018963339,0.024542961090090805,1.0,1.0,False
LUDB,103,LUDB:103,attribute_kmeans,recurrence_control,2,2,4,2,11,12,11,32,4,917.0,112.67605633802818,0.1954198656735756,1.0,1.0,False
LUDB,107,LUDB:107,attribute_kmeans,recurrence_control,2,2,2,1,11,10,10,16,8,977.0,61.855670103092784,0.04330159671844785,1.0,1.0,False
LUDB,105,LUDB:105,attribute_kmeans,recurrence_control,2,2,1,3,14,15,14,64,4,1809.0,66.33499170812603,0.03986308522961346,1.0,1.0,False
RDB,rdb_AF0060,RDB:rdb_AF0060,attribute_kmeans,recurrence_control,2,2,4,5,25,10,10,16,8,341.0,160.0,2.266884724619659,0.1890547263681592,0.2205638474295191,False
RDB,rdb_AF0060,RDB:rdb_AF0060,attribute_kmeans,recurrence_control,2,2,4,3,25,6,6,16,8,413.0,160.0,2.5563853458772177,0.208955223880597,0.23402985074626864,False
RDB,rdb_AF0060,RDB:rdb_AF0060,attribute_kmeans,recurrence_control,2,2,5,3,10,6,6,16,8,754.0,160.0,0.3021685579442701,1.0,1.0,False
RDB,rdb_AF0048,RDB:rdb_AF0048,attribute_kmeans,recurrence_control,2,2,5,4,19,15,15,32,4,332.0,188.67924528301887,0.3278291075855871,1.0,1.0,False
RDB,rdb_AF0065,RDB:rdb_AF0065,attribute_kmeans,recurrence_control,2,2,3,2,15,17,15,16,8,842.0,73.17073170731707,0.0548156351367969,1.0,1.0,False
RDB,rdb_AF0065,RDB:rdb_AF0065,attribute_kmeans,recurrence_control,2,2,3,1,15,8,8,16,8,1663.0,73.17073170731707,1.184474264691902,1.0,1.0,False
RDB,rdb_AF0065,RDB:rdb_AF0065,attribute_kmeans,recurrence_control,2,2,3,1,15,15,15,16,8,1640.0,73.17073170731707,0.02485580272097126,1.0,1.0,False
RDB,rdb_AF0065,RDB:rdb_AF0065,attribute_kmeans,recurrence_control,2,2,2,1,17,8,8,16,8,821.0,73.17073170731707,1.1353419176362172,1.0,1.0,False
RDB,rdb_AF0065,RDB:rdb_AF0065,attribute_kmeans,recurrence_control,2,2,2,1,17,15,15,16,8,798.0,73.17073170731707,0.07340247786539823,1.0,1.0,False
RDB,rdb_AF0036,RDB:rdb_AF0036,attribute_kmeans,recurrence_control,2,2,4,2,6,7,6,16,4,1183.0,124.09513960703205,0.1735477615399787,1.0,1.0,False
RDB,rdb_AF0036,RDB:rdb_AF0036,attribute_kmeans,recurrence_control,2,2,4,5,6,5,5,16,4,417.0,124.09513960703205,0.13121125211994722,1.0,1.0,False
RDB,rdb_AF0036,RDB:rdb_AF0036,attribute_kmeans,recurrence_control,2,2,2,5,7,5,5,16,4,1600.0,124.09513960703205,0.2820476727495016,1.0,1.0,False
RDB,rdb_AF0006,RDB:rdb_AF0006,attribute_kmeans,recurrence_control,2,2,1,3,16,14,14,32,6,1308.0,85.83690987124464,0.6517431105339156,1.0,1.0,False
RDB,rdb_AF0006,RDB:rdb_AF0006,attribute_kmeans,recurrence_control,2,2,1,2,16,10,10,32,6,698.0,85.83690987124464,0.7369926385328105,1.0,1.0,False
RDB,rdb_AF0006,RDB:rdb_AF0006,attribute_kmeans,recurrence_control,2,2,1,4,16,9,9,32,6,2013.0,85.83690987124464,0.7554307355987008,1.0,1.0,False
RDB,rdb_AF0006,RDB:rdb_AF0006,attribute_kmeans,recurrence_control,2,2,3,2,14,10,10,32,6,610.0,85.83690987124464,0.6772821074517184,1.0,1.0,False
