cohort,record_id,fs,condition,geometry,kernel,m_star,G_star,graph_density,n_similarity_edges,n_clique_groups,n_cc_groups,n_maximal_cliques,overlap_fraction,is_disconnected,elapsed_sec
PTB-XL,65,500.0,C1_reference,discrete_m,fixed_c1,6,6,0.2,3,4,3,3,0.16666666666666666,0,7.429568767547607
PTB-XL,63,500.0,C1_reference,discrete_m,fixed_c1,4,6,0.2,3,4,3,3,0.16666666666666666,0,8.854648351669312
PTB-XL,75,500.0,C1_reference,discrete_m,fixed_c1,8,8,0.14285714285714285,4,5,4,4,0.25,0,8.85417914390564
PTB-XL,59,500.0,C1_reference,discrete_m,fixed_c1,4,6,0.06666666666666667,1,5,5,1,0.0,0,8.99605941772461
PTB-XL,38,500.0,C1_reference,discrete_m,fixed_c1,4,6,0.2,3,4,4,1,0.0,0,9.684154748916626
PTB-XL,57,500.0,C1_reference,discrete_m,fixed_c1,4,6,0.2,3,4,4,1,0.0,0,9.850655555725098
PTB-XL,40,500.0,C1_reference,discrete_m,fixed_c1,4,8,0.07142857142857142,2,6,6,2,0.0,0,10.124979734420776
PTB-XL,9,500.0,C1_reference,discrete_m,fixed_c1,4,6,0.13333333333333333,2,4,4,2,0.0,0,10.36796236038208
PTB-XL,76,500.0,C1_reference,discrete_m,fixed_c1,6,6,0.2,3,3,3,3,0.0,0,7.545513868331909
PTB-XL,79,500.0,C1_reference,discrete_m,fixed_c1,4,4,0.3333333333333333,2,2,2,2,0.0,0,7.511901378631592
PTB-XL,115,500.0,C1_reference,discrete_m,fixed_c1,8,6,0.2,3,4,4,1,0.0,0,7.0652735233306885
PTB-XL,93,500.0,C1_reference,discrete_m,fixed_c1,4,6,0.13333333333333333,2,5,4,2,0.16666666666666666,0,8.257758140563965
PTB-XL,112,500.0,C1_reference,discrete_m,fixed_c1,4,6,0.13333333333333333,2,5,4,2,0.16666666666666666,0,7.919600248336792
PTB-XL,117,500.0,C1_reference,discrete_m,fixed_c1,4,8,0.35714285714285715,10,4,2,4,0.5,0,9.452820539474487
PTB-XL,100,500.0,C1_reference,discrete_m,fixed_c1,4,8,0.2857142857142857,8,4,1,6,0.625,0,10.939541578292847
EchoNext,10,250.0,C1_reference,discrete_m,fixed_c1,4,6,0.4,6,2,2,2,0.0,0,5.022144794464111
