record_id,geom_1000Hz_m_ms,geom_500Hz_m_ms,geom_250Hz_m_ms,geom_density_1000,geom_density_500,geom_density_250,geom_cliques_1000,geom_cliques_500,geom_cliques_250,ari_geom_1000_500,ari_geom_1000_250,ari_geom_500_250,ari_disc_1000_500,ari_disc_1000_250,ari_disc_500_250,elapsed_sec
1,64.0,64.0,64.0,0.3333333333333333,0.5,0.3333333333333333,3,2,3,0.09885276590792774,0.10176086469865933,0.8092332480198895,0.49484272099675686,0.0486300771774974,0.03155914464432174,108.47618770599365
2,16.0,32.0,16.0,0.13333333333333333,0.26666666666666666,0.06666666666666667,4,3,5,0.9912554042224656,0.984364466675325,0.9792870808886245,0.9912554042224656,0.984364466675325,0.9792870808886245,71.97644758224487
3,32.0,32.0,32.0,0.3333333333333333,0.2,0.3333333333333333,3,4,3,0.5506357262188745,0.9885930627810963,0.5485143976423097,0.7257974503978554,0.7838776442038521,0.5485143976423097,80.97103142738342
4,64.0,64.0,64.0,0.6,0.8,1.0,3,2,1,0.9066974727664161,0.9028959719174784,0.8726500848145641,0.9860835389837453,0.02489915312083712,0.025967484089196573,176.67881512641907
5,64.0,16.0,16.0,0.6,0.16666666666666666,0.3333333333333333,2,3,3,0.538010883277952,0.9069504524799403,0.5983326572666494,0.5372040824148399,0.910312488431074,0.5983326572666494,65.92837119102478
6,16.0,16.0,16.0,0.4,0.4,0.26666666666666666,3,3,3,0.8249613485614289,0.42832423183841883,0.6096757939884797,0.8249613485614289,0.42832423183841883,0.6096757939884797,111.42425274848938
7,16.0,16.0,32.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,5,5,5,0.9913913335939363,0.9798460841324588,0.9883419258879842,0.9913913335939363,0.9798460841324588,0.9883419258879842,94.89366722106934
8,16.0,64.0,16.0,0.4,0.8,0.26666666666666666,3,2,4,0.9362086466154554,0.9866561221455347,0.9314464671469777,0.9108052967272466,0.9866561221455347,0.9058663466255491,72.13469767570496
9,16.0,16.0,16.0,0.13333333333333333,0.2,0.2,5,4,4,0.9866003645261091,0.9829200782473739,0.9812341279711788,0.9866003645261091,0.9829200782473739,0.9812341279711788,73.17072010040283
10,64.0,64.0,64.0,0.6666666666666666,0.5,0.5,2,2,2,0.8432915028041871,0.8007436128512422,0.9301280164284776,0.9882288781257065,0.021428260744146152,0.021526879238226233,150.11602997779846
