ecg_id,edge_jaccard,ari_clique,ari_cc,n_clique_base,n_clique_pert,n_cc_base,n_cc_pert,cc_collapsed,clique_collapsed,has_overlap
1,0.1111111111111111,0.0,0.0,1,3,1,3,False,False,False
101,0.16666666666666666,0.9982287037865037,0.9986805470460366,3,4,3,3,False,False,False
208,0.44,0.4765074864908612,1.0,2,3,1,1,False,False,True
308,0.4,0.9774635138244697,0.9843573148898936,4,4,3,3,False,False,True
408,0.1,0.9903650620112336,0.0,4,4,1,2,False,False,True
513,0.2,0.8194264583239017,0.8194264583239017,2,2,2,2,False,False,False
613,0.07142857142857142,0.0,0.0,4,1,3,1,True,True,True
713,0.6666666666666666,0.0,1.0,1,2,1,1,False,False,False
813,0.6666666666666666,1.0,0.0,2,2,1,2,False,False,True
913,1.0,1.0,1.0,2,2,1,1,False,False,True
1013,1.0,0.9923465825213732,0.9607913393195704,3,3,2,2,False,False,True
1113,0.21428571428571427,0.9768089968725553,0.979227096633714,5,5,4,4,False,False,True
1213,0.3,0.03366577521347089,0.0,2,3,1,3,False,False,True
1313,0.6363636363636364,0.28461226226148867,0.0,3,3,2,1,True,False,True
1413,0.5,0.9831714943508673,0.9727128281215534,5,5,4,5,False,False,True
1513,0.5,0.9350309345434668,1.0,2,3,1,1,False,False,True
1613,0.6666666666666666,0.0,1.0,2,1,1,1,False,True,True
1713,0.25,0.10496755074663612,0.8973796565172143,3,3,2,2,False,False,True
1813,0.75,0.8936894185687558,0.0,2,2,2,1,True,False,False
1913,1.0,1.0,1.0,1,1,1,1,False,False,False
