ecg_id,snr_db,edge_jaccard,ari_clique,ari_cc,cc_collapsed,clique_collapsed
1,40,0.1111111111111111,0.0,0.0,False,False
1,35,0.36363636363636365,0.0,1.0,False,False
1,30,0.1111111111111111,0.0,0.0,False,False
1,25,0.1111111111111111,0.0,0.0,False,False
1,20,0.1111111111111111,0.0,0.0,False,False
121,40,0.6,0.7990711998338611,0.0,False,False
121,35,0.4,0.8477752768048572,0.0,False,False
121,30,0.8333333333333334,0.0,1.0,False,True
121,25,0.6,0.8337448418426066,0.0,False,False
121,20,0.6,0.8209647830857959,0.0,False,False
248,40,1.0,1.0,1.0,False,False
248,35,0.7272727272727273,0.8971135666731472,0.8973408116028466,False,False
248,30,0.75,0.9001979891684926,0.9001979891684926,False,False
248,25,0.6666666666666666,0.0,0.0,True,True
248,20,0.75,0.9140032038807298,0.9140032038807298,False,False
368,40,0.7894736842105263,0.8891595141649772,1.0,False,False
368,35,0.6,0.7229638656590974,1.0,False,False
368,30,0.1,0.0,1.0,False,True
368,25,0.6190476190476191,0.8460875182585343,1.0,False,False
368,20,0.0,-0.10242857699827944,1.0,False,False
493,40,0.18181818181818182,0.8689161444333698,0.6019333395161742,False,False
493,35,0.0,0.6274963419534989,0.6274963419534989,False,False
493,30,0.0,0.6258593231924863,0.6258593231924863,False,False
493,25,0.1111111111111111,0.6285725833549687,0.6285725833549687,False,False
493,20,0.0,0.956350790775365,0.956350790775365,False,False
613,40,0.06666666666666667,0.0,0.0,True,True
613,35,0.06666666666666667,0.0,0.0,True,True
613,30,0.8,0.8651999087271075,0.7515183772672567,False,False
613,25,0.15384615384615385,0.9296766935916917,0.9920057062119904,False,False
613,20,0.06666666666666667,0.0,0.0,True,True
733,40,1.0,0.9742181636274817,0.9736998214901746,False,False
733,35,0.6,0.9764584198135683,0.9753418712481902,False,False
733,30,0.1111111111111111,0.99218591222578,0.8663156120715323,False,False
733,25,0.6,0.9821875387667421,0.9817871099588125,False,False
733,20,0.14285714285714285,0.9914109326512752,0.9944713026087522,False,False
853,40,1.0,0.9583902964455769,0.9583902964455769,False,False
853,35,1.0,0.9414973005511341,0.9414973005511341,False,False
853,30,1.0,0.9603271112175714,0.9603271112175714,False,False
853,25,1.0,0.958030196943695,0.958030196943695,False,False
853,20,1.0,0.9522119739265074,0.9522119739265074,False,False
973,40,0.2,0.9903953856616611,0.9193269584662047,False,False
973,35,0.0,0.989036224081095,0.989036224081095,False,False
973,30,0.0,0.9768491719179094,0.9768491719179094,False,False
973,25,0.0,0.5697694910400994,0.5697694910400994,False,False
973,20,0.0,0.9863212071393831,0.9863212071393831,False,False
1093,40,0.4,0.9839708935511956,-0.04108677709577349,False,False
1093,35,0.25,0.7783723606150783,0.18990638190611336,False,False
1093,30,0.25,0.7599962436657376,0.17917438334589839,False,False
1093,25,0.5,0.7439975741578113,-0.04683508631582775,False,False
1093,20,0.25,0.7640484824967072,0.18811331130871461,False,False
1213,40,0.45454545454545453,0.0,1.0,False,True
1213,35,0.6363636363636364,0.048042277434834774,1.0,False,False
1213,30,0.45454545454545453,0.06083542496473955,1.0,False,False
1213,25,0.4166666666666667,0.06632271437316402,1.0,False,False
1213,20,0.2727272727272727,0.027905990854287455,0.0,False,False
1333,40,0.2,0.9754388550434772,0.9754388550434772,False,False
1333,35,0.2,0.9928317788755617,0.9928317788755617,False,False
1333,30,0.2,0.9761167664713967,0.9761167664713967,False,False
1333,25,0.2,0.9738042142737475,0.9738042142737475,False,False
1333,20,0.2,0.974291562954432,0.974291562954432,False,False
1453,40,1.0,0.9920359845760209,0.9920359845760209,False,False
1453,35,0.0,0.8518040606857308,0.8518040606857308,False,False
1453,30,1.0,0.9916869018146371,0.9916869018146371,False,False
1453,25,0.0,0.8482325748500968,0.8482325748500968,False,False
1453,20,0.0,0.8603814022224887,0.8603814022224887,False,False
1573,40,0.0,0.9968764535368435,0.9972405139754661,False,False
1573,35,0.0,0.9119527459225394,0.5228386536961911,False,False
1573,30,0.0,0.9138639647644576,0.5243409116440599,False,False
1573,25,0.0,0.9114022389478166,0.5221946477241827,False,False
1573,20,0.25,0.9968764535368435,0.5914124837188861,False,False
1693,40,0.0,0.47886138573916304,0.619417524394265,False,False
1693,35,0.0,0.47886138573916304,0.6921387021994654,False,False
1693,30,0.0,0.47886138573916304,0.6921387021994654,False,False
1693,25,0.6666666666666666,0.9928861873195908,0.5174642327726753,False,False
1693,20,0.2,0.7828894876846945,0.3317227460554609,False,False
