record_id,native_label_length,native_lead_min_length,native_lead_max_length,corrected_length,duration_seconds,active_signal_duration_seconds,annotation_coverage_duration_seconds,tail_padding_seconds,n_qrs,median_rr_ms,median_qrs_duration_ms,unlabeled_fraction,p_fraction,qrs_fraction,t_fraction,beat_ids_monotonic,qrs_ids_contiguous,one_qrs_occurrence_per_beat,signal_label_lengths_match_native
1000364,20000,20000,20000,5000,10.0,10.0,3.404,0.0,5,711.0,80.0,0.836,0.0386,0.0454,0.08,True,True,True,True
1000436,20000,20000,20000,5000,10.0,10.0,4.626,0.0,7,696.5,144.0,0.7248,0.0286,0.0902,0.1564,True,True,True,True
1003549,20000,20000,20000,5000,10.0,10.0,5.92,0.0,10,608.0,103.0,0.6634,0.0744,0.1042,0.158,True,True,True,True
1003838,20000,20000,20000,5000,10.0,10.0,5.354,0.0,7,821.5,116.0,0.6852,0.0734,0.0868,0.1546,True,True,True,True
1009731,20000,20000,20000,5000,10.0,10.0,5.672,0.0,14,403.0,91.0,0.5788,0.0828,0.1392,0.1992,True,True,True,True
1010096,20000,20000,20000,5000,10.0,10.0,5.426,0.0,9,624.0,124.0,0.6858,0.04,0.1064,0.1678,True,True,True,True
1010240,20000,20000,20000,5000,10.0,10.0,4.872,0.0,7,736.0,98.0,0.736,0.067,0.0714,0.1256,True,True,True,True
1011746,20000,20000,20000,5000,10.0,10.0,4.96,0.0,7,760.0,134.0,0.7564,0.033,0.0832,0.1274,True,True,True,True
1012874,20000,20000,20000,5000,10.0,10.0,5.262,0.0,7,732.5,94.0,0.7486,0.0602,0.0692,0.122,True,True,True,True
1014397,20000,20000,20000,5000,10.0,10.0,5.034,0.0,10,510.0,90.0,0.6798,0.0676,0.1036,0.149,True,True,True,True
1014570,20000,20000,20000,5000,10.0,10.0,4.846,0.0,7,717.5,94.0,0.7508,0.0502,0.0766,0.1224,True,True,True,True
1015313,20000,20000,20000,5000,10.0,10.0,1.784,0.0,3,626.5,98.0,0.8888,0.0208,0.0344,0.056,True,True,True,True
1015792,20000,20000,20000,5000,10.0,10.0,5.222,0.0,7,736.5,96.0,0.757,0.0504,0.0708,0.1218,True,True,True,True
1016466,20000,20000,20000,5000,10.0,10.0,4.926,0.0,8,584.0,95.0,0.732,0.0524,0.0848,0.1308,True,True,True,True
1016888,20000,20000,20000,5000,10.0,10.0,5.482,0.0,9,616.0,98.0,0.6678,0.0862,0.0972,0.1488,True,True,True,True
1018517,20000,20000,20000,5000,10.0,10.0,4.718,0.0,7,637.0,98.0,0.7848,0.04,0.0748,0.1004,True,True,True,True
1018576,20000,20000,20000,5000,10.0,10.0,5.228,0.0,8,766.0,101.0,0.7334,0.0468,0.0962,0.1236,True,True,True,True
1018951,20000,20000,20000,5000,10.0,10.0,5.104,0.0,7,744.0,96.0,0.7508,0.0642,0.0738,0.1112,True,True,True,True
1020065,20000,20000,20000,5000,10.0,10.0,5.624,0.0,8,445.0,133.0,0.7326,0.0322,0.095,0.1402,True,True,True,True
1021446,20000,20000,20000,5000,10.0,10.0,4.528,0.0,7,669.5,156.0,0.713,0.0326,0.0978,0.1566,True,True,True,True
1022064,20000,20000,20000,5000,10.0,10.0,5.462,0.0,15,276.5,102.0,0.6042,0.0482,0.1484,0.1992,True,True,True,True
1022324,20000,20000,20000,5000,10.0,10.0,4.408,0.0,6,736.0,88.0,0.7876,0.0378,0.0606,0.114,True,True,True,True
1023765,20000,20000,20000,5000,10.0,10.0,5.358,0.0,7,799.5,98.0,0.7684,0.052,0.0708,0.1088,True,True,True,True
1024499,20000,20000,20000,5000,10.0,10.0,5.728,0.0,8,919.0,91.0,0.7618,0.0394,0.0774,0.1214,True,True,True,True
1024809,20000,20000,20000,5000,10.0,10.0,4.436,0.0,6,811.0,121.0,0.776,0.0366,0.0796,0.1078,True,True,True,True
1024883,20000,20000,20000,5000,10.0,10.0,5.144,0.0,7,790.0,148.0,0.7396,0.0344,0.0972,0.1288,True,True,True,True
1025769,20000,20000,20000,5000,10.0,10.0,5.068,0.0,10,421.0,132.0,0.675,0.0364,0.1206,0.168,True,True,True,True
1026923,20000,20000,20000,5000,10.0,10.0,5.132,0.0,7,675.5,98.0,0.7488,0.0576,0.0722,0.1214,True,True,True,True
1027733,20000,20000,20000,5000,10.0,10.0,5.784,0.0,9,644.5,106.0,0.689,0.0744,0.1004,0.1362,True,True,True,True
1029327,20000,20000,20000,5000,10.0,10.0,5.036,0.0,8,644.0,90.0,0.7362,0.0582,0.0816,0.124,True,True,True,True
1029683,20000,20000,20000,5000,10.0,10.0,3.88,0.0,6,495.0,104.0,0.7802,0.0494,0.0666,0.1038,True,True,True,True
1030919,20000,20000,20000,5000,10.0,10.0,2.108,0.0,3,716.0,114.0,0.8822,0.0192,0.0332,0.0654,True,True,True,True
1032830,20000,20000,20000,5000,10.0,10.0,1.928,0.0,3,688.5,132.0,0.8804,0.0216,0.0388,0.0592,True,True,True,True
1033064,20000,20000,20000,5000,10.0,10.0,2.946,0.0,4,760.0,110.0,0.8284,0.0366,0.0462,0.0888,True,True,True,True
1033211,20000,20000,20000,5000,10.0,10.0,2.158,0.0,3,794.5,102.0,0.8782,0.0236,0.0354,0.0628,True,True,True,True
1034448,20000,20000,20000,5000,10.0,10.0,1.9,0.0,3,678.0,116.0,0.8756,0.0238,0.0376,0.063,True,True,True,True
1034625,20000,20000,20000,5000,10.0,10.0,3.652,0.0,6,475.0,120.0,0.7796,0.021,0.0788,0.1206,True,True,True,True
1035943,20000,20000,20000,5000,10.0,10.0,1.926,0.0,4,413.0,110.0,0.8552,0.0212,0.0454,0.0782,True,True,True,True
1036425,20000,20000,20000,5000,10.0,10.0,2.836,0.0,5,497.0,84.0,0.8492,0.0192,0.0454,0.0862,True,True,True,True
1037884,20000,20000,20000,5000,10.0,10.0,4.19,0.0,6,524.0,148.0,0.7118,0.0348,0.0888,0.1646,True,True,True,True
1038743,20000,20000,20000,5000,10.0,10.0,4.31,0.0,5,965.5,96.0,0.7676,0.0396,0.058,0.1348,True,True,True,True
1039602,20000,20000,20000,5000,10.0,10.0,3.196,0.0,6,422.0,112.0,0.7742,0.0348,0.0666,0.1244,True,True,True,True
1041003,20000,20000,20000,5000,10.0,10.0,2.256,0.0,3,821.5,124.0,0.8702,0.023,0.038,0.0688,True,True,True,True
1064513,20000,20000,20000,5000,10.0,10.0,3.21,0.0,5,563.0,98.0,0.783,0.0294,0.0588,0.1288,True,True,True,True
1064886,20000,20000,20000,5000,10.0,10.0,2.734,0.0,5,521.5,84.0,0.8088,0.0408,0.0534,0.097,True,True,True,True
1067416,20000,20000,20000,5000,10.0,10.0,2.744,0.0,4,586.0,143.0,0.8228,0.0234,0.0574,0.0964,True,True,True,True
1067472,20000,20000,20000,5000,10.0,10.0,2.278,0.0,3,831.5,104.0,0.865,0.0246,0.0366,0.0738,True,True,True,True
1067551,20000,20000,20000,5000,10.0,10.0,2.97,0.0,5,567.0,96.0,0.794,0.0348,0.0596,0.1116,True,True,True,True
1067684,20000,20000,20000,5000,10.0,10.0,2.658,0.0,5,538.5,102.0,0.7852,0.029,0.0604,0.1254,True,True,True,True
1073489,20000,20000,20000,5000,10.0,10.0,2.49,0.0,4,405.0,145.0,0.8302,0.0218,0.0572,0.0908,True,True,True,True
1075188,20000,20000,20000,5000,10.0,10.0,1.788,0.0,3,630.0,90.0,0.8824,0.0182,0.0324,0.067,True,True,True,True
1076905,20000,20000,20000,5000,10.0,10.0,3.034,0.0,4,526.0,143.0,0.8284,0.0244,0.0568,0.0904,True,True,True,True
702840,20000,20000,20000,5000,10.0,10.0,2.322,0.0,4,584.0,97.0,0.8472,0.0322,0.0424,0.0782,True,True,True,True
707139,20000,20000,20000,5000,10.0,10.0,2.122,0.0,3,754.5,90.0,0.8552,0.0234,0.0396,0.0818,True,True,True,True
707971,20000,20000,20000,5000,10.0,10.0,2.216,0.0,3,837.0,86.0,0.8812,0.0308,0.0338,0.0542,True,True,True,True
708534,20000,20000,20000,5000,10.0,10.0,2.178,0.0,3,761.0,112.0,0.8548,0.0248,0.0388,0.0816,True,True,True,True
740262,20000,20000,20000,5000,10.0,10.0,2.668,0.0,4,491.0,111.0,0.829,0.0278,0.0468,0.0964,True,True,True,True
740908,20000,20000,20000,5000,10.0,10.0,2.562,0.0,3,912.5,112.0,0.8508,0.0224,0.0354,0.0914,True,True,True,True
741310,20000,20000,20000,5000,10.0,10.0,2.788,0.0,4,471.0,109.0,0.841,0.0202,0.043,0.0958,True,True,True,True
742264,20000,20000,20000,5000,10.0,10.0,2.786,0.0,5,544.0,100.0,0.799,0.0344,0.0616,0.105,True,True,True,True
743463,20000,20000,20000,5000,10.0,10.0,2.924,0.0,4,504.0,112.0,0.8236,0.0188,0.045,0.1126,True,True,True,True
744169,20000,20000,20000,5000,10.0,10.0,2.544,0.0,5,506.5,82.0,0.8164,0.0312,0.0528,0.0996,True,True,True,True
